Area,Year,Item,Area Harvested,Yield,Humidity,Wind Speed,Temperature,Production
Bangladesh,1962,Maize,6880,7384,NaN,NaN,NaN,5080
Bangladesh,1962,"Mangoes, mangosteens, guavas",44000,114545,NaN,NaN,NaN,504000
Bangladesh,1962,"Melons, other (inc.cantaloupes)",6000,166667,NaN,NaN,NaN,100000
Bangladesh,1962,Millet,61500,6439,NaN,NaN,NaN,39600
Bangladesh,1962,Oilseeds nes,4856,2092,NaN,NaN,NaN,1016
Bangladesh,1962,"Onions, dry",23500,55574,NaN,NaN,NaN,130600
Bangladesh,1962,Oranges,3000,50000,NaN,NaN,NaN,15000
Bangladesh,1962,"Peas, dry",40000,6500,NaN,NaN,NaN,26000
Bangladesh,1962,Pigeon peas,4047,7532,NaN,NaN,NaN,3048
Bangladesh,1962,Pineapples,5700,37128,NaN,NaN,NaN,21163
Bangladesh,1962,Potatoes,55847,60217,NaN,NaN,NaN,336296
Bangladesh,1962,Pulses nes,138809,6734,NaN,NaN,NaN,93472
Bangladesh,1962,"Rice, paddy",8694360,15302,NaN,NaN,NaN,13304520
Bangladesh,1962,Sesame seed,53014,4983,NaN,NaN,NaN,26416
Bangladesh,1962,Sorghum,809,12559,NaN,NaN,NaN,1016
Bangladesh,1962,Spices nes,31600,29905,NaN,NaN,NaN,94500
Bangladesh,1962,Spinach,1350,46667,NaN,NaN,NaN,6300
Bangladesh,1962,Sugar cane,117360,382472,NaN,NaN,NaN,4488688
Bangladesh,1962,Sugar crops nes,9500,368421,NaN,NaN,NaN,350000
Bangladesh,1962,Sweet potatoes,39000,89744,NaN,NaN,NaN,350000
Bangladesh,1962,"Tangerines, mandarins, clementines, satsumas",700,71429,NaN,NaN,NaN,5000
Bangladesh,1962,Tea,33000,7087,NaN,NaN,NaN,23387
Bangladesh,1962,Tobacco,43700,7277,NaN,NaN,NaN,31800
Bangladesh,1962,Tomatoes,7476,62562,NaN,NaN,NaN,46771
Bangladesh,1962,"Vegetables, fresh nes",68672,50432,NaN,NaN,NaN,346329
Bangladesh,1962,Wheat,58680,39624,NaN,NaN,NaN,6753
Bangladesh,1963,Roots and Tubers,94847,72358,NaN,NaN,NaN,686296
Bangladesh,1963,Vegetables Primary,150350,51826,NaN,NaN,NaN,779200
Bangladesh,1963,Areca nuts,82200,7169,NaN,NaN,NaN,58931
Bangladesh,1963,Bananas,34000,138059,NaN,NaN,NaN,469400
Bangladesh,1963,Barley,30756,6937,NaN,NaN,NaN,21336
Bangladesh,1963,"Bastfibres, others",31700,10779,NaN,NaN,NaN,34170
Bangladesh,1963,"Beans, dry",67988,7024,NaN,NaN,NaN,47752
Bangladesh,1963,"Beans, green",4281,36076,NaN,NaN,NaN,15444
Bangladesh,1963,Berries nes,600,50000,NaN,NaN,NaN,3000
Bangladesh,1963,Cabbages and other brassicas,5785,56360,NaN,NaN,NaN,32604
Bangladesh,1963,Castor oil seed,405,5012,NaN,NaN,NaN,203
Bangladesh,1963,Cauliflowers and broccoli,5438,49437,NaN,NaN,NaN,26884
Bangladesh,1963,Chick peas,55847,6185,NaN,NaN,NaN,34544
Bangladesh,1963,"Chillies and peppers, dry",73200,6653,NaN,NaN,NaN,48700
Bangladesh,1963,Coconuts,19400,26187,NaN,NaN,NaN,50803
Bangladesh,1963,Cucumbers and gherkins,2545,42703,NaN,NaN,NaN,10868
Bangladesh,1963,Fibre crops nes,1650,9091,NaN,NaN,NaN,1500
Bangladesh,1963,"Fruit, fresh nes",9000,66667,NaN,NaN,NaN,60000
