Area,Item,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
Bangladesh,"Rice, paddy (rice milled equivalent)",Production,tonnes,9622265,8874115,10628608,10507643,10505610,9580121,11176919,11349341,12010866,11148838,9936092,10094163,11914424,11292022,12768130,11758089,12974142,13061301,12746018,13887612,13637397,14223535,14514592,14629615,15045044,15414391,15421456,15552081,17865248,17860862,18170414,18257791,17960976,16757708,17608133,18797394,18777384,19816570,22964810,25097543,24191423,25074531,25587067,24169396,26543676,27195591,28801727,31176914,32112048,33390820,33768209,33681499,34373178,34554998,34554244,33652062,36116716,36295472,36409091
Bangladesh,"Rubber, natural",Area harvested,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000,11000,14500,12500,20500,30000,29923,29862,29842,29775,23000,57000,52000,51821,53000,52000,53000,54000,55000,57000,58000,59202,60000,,198376,183491,187138,209031,223955,226935
Bangladesh,"Rubber, natural",Yield,hg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1034,1040,1073,1000,1003,1005,1005,1008,1000,1000,1000,1003,1000,1000,1000,1000,1000,1000,1002,1005,1008,,1003,1003,1005,1005,1005,1005
Bangladesh,"Rubber, natural",Production,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1100,1500,1300,2200,3000,3000,3000,3000,3000,2300,5700,5200,5200,5300,5200,5300,5400,5500,5700,5814,5948,6045,19300,19900,18400,18800,21000,22500,22800
Bangladesh,Seed cotton,Area harvested,ha,15783,16188,15738,14164,14974,14600,14600,13800,13800,7300,11300,8900,7540,7301,6203,5310,5366,6684,6012,7595,16518,20013,17515,15528,16930,12711,11650,16994,19435,18542,18376,19868,31568,32978,34629,34556,34641,14797,14035,16188,16997,15378,15795,19877,17646,10200,12000,13000,13000,14000,14600,16200,17000,17280,17320,17341,33722,37458,23928
Bangladesh,Seed cotton,Yield,hg/ha,5794,5649,5810,6456,6107,5548,5548,5000,5870,4932,4513,4719,4484,4483,3951,3960,4898,5301,5494,6866,17773,15379,13950,11535,9099,9132,17138,20997,21055,25375,22442,23526,24139,11297,11685,11718,11865,26357,29925,25019,26475,27944,28398,23019,29789,52623,37627,27670,35411,30974,24658,32000,32471,33333,32979,34600,35289,34706,33852
Bangladesh,Seed cotton,Production,tonnes,9144,9144,9144,9144,9144,8100,8100,6900,8100,3600,5100,4200,3381,3273,2451,2103,2628,3543,3303,5215,29358,30777,24434,17911,15404,11608,19966,35682,40920,47050,41240,46742,76202,37255,40465,40492,41100,39000,42000,40500,45000,42973,44854,45755,52565,53675,45152,35971,46034,43363,36000,51840,55200,57600,57120,60000,119000,130000,81000
Bangladesh,Sesame seed,Area harvested,ha,57466,53014,52205,50991,50182,50200,52200,53000,50200,44900,47515,47723,43530,51062,54301,51568,54838,80000,95000,90000,100000,100000,102298,85566,92001,84551,81987,81487,86386,83088,80561,82487,65900,79758,80086,84200,79725,79654,37300,36800,36800,39000,39000,38900,30700,36043,33525,32932,35551,36000,37000,33331,34118,34248,38205,40320,37518,37567,34206
Bangladesh,Sesame seed,Yield,hg/ha,4597,4983,4865,4384,4859,5458,5843,5943,6076,6102,6098,5421,5846,5570,5318,5380,5463,6500,5263,5333,5500,5800,5537,5405,5839,5802,5980,5552,5706,5850,5613,5996,8801,6073,6193,5789,6137,6155,5898,5978,5978,6410,6538,9563,12769,8096,8065,8642,9087,8889,8919,8990,9078,8890,9361,9157,9062,9279,9242
Bangladesh,Sesame seed,Production,tonnes,26416,26416,25400,22352,24384,27400,30500,31500,30500,27400,28977,25869,25447,28439,28876,27743,29958,52000,50000,48000,55000,58000,56643,46251,53716,49059,49027,45239,49290,48610,45220,49463,58000,48440,49595,48745,48925,49030,22000,22000,22000,25000,25500,37200,39200,29180,27038,28461,32306,32000,33000,29965,30972,30447,35764,36921,33999,34859,31613
Bangladesh,Sheep,Stocks,Head,600000,650000,700000,892000,600000,550000,500000,500000,500000,490000,600000,750000,938000,1000000,1066000,1136000,1211000,1001000,1061000,588000,600000,615000,628000,667000,709000,739000,770000,803000,837000,873000,902000,940000,989000,1030000,1070000,1124000,1158000,1110000,1121000,1132000,1143000,1194000,1260000,1330000,1400000,1480000,1560000,1644000,1730000,1820000,1860000,1890000,1900000,2000000,2090000,2175002,2201967,2268070,2332094
Bangladesh,"Skins, goat, fresh",Yield,hg/An,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Bangladesh,"Skins, goat, fresh",Production,tonnes,8512,8904,9308,10056,10248,9184,9408,9632,9856,10144,10528,10976,11424,11872,12320,12992,13440,13818,14648,12076,10550,10792,11042,11134,16576,17784,19078,20466,22028,23556,22363,23984,25979,28000,30000,32857,35286,36000,36286,36857,36857,39143,40857,42571,44400,46400,48200,50200,52400,54599,56799,57139,58379,59600,59400,59527,63245,63551,64668
Bangladesh,"Skins, goat, fresh",Producing Animals/Slaughtered,Head,4256000,4452000,4654000,5028000,5124000,4592000,4704000,4816000,4928000,5072000,5264000,5488000,5712000,5936000,6160000,6496000,6720000,6909000,7324000,6038000,5275000,5396000,5521000,5567000,8288000,8892000,9539000,10233000,11014000,10516000,11176000,11990000,12984000,14000000,15000000,16500000,17600000,18000000,18200000,18400000,18400000,19600000,20400000,21300000,22200000,23200000,24100000,25100000,26200000,27300000,28400000,28570000,29190000,29800000,29700000,29759153,31614688,31764963,32322418
Bangladesh,"Skins, sheep, fresh",Yield,hg/An,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,13,14,13,14,14,14,13,14,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Bangladesh,"Skins, sheep, fresh",Production,tonnes,260,283,304,386,260,239,217,217,217,213,260,326,407,434,462,493,526,434,403,255,260,267,273,297,307,321,335,349,368,378,304,318,333,387,387,494,484,503,503,503,503,542,542,581,581,610,639,678,716,755,786,799,813,840,881,934,954,980,1012
Bangladesh,"Skins, sheep, fresh",Producing Animals/Slaughtered,Head,186000,202000,217000,276000,186000,171000,155000,155000,155000,152000,186000,233000,291000,310000,330000,352000,376000,310000,288000,182000,186000,191000,195000,212000,219000,229000,239000,249000,263000,218000,226000,235000,247000,280000,280000,365000,370000,370000,375000,379000,383000,400000,400000,429000,429000,450000,470000,500000,526000,557000,580000,590000,600000,620000,650000,689627,704510,723550,746549
Bangladesh,Sorghum,Area harvested,ha,809,809,809,809,809,809,809,1078,1086,1098,1028,1032,989,909,894,832,818,715,1300,1300,1300,1300,1300,1700,1697,1737,1503,1500,1553,1012,585,603,542,465,459,492,471,810,810,810,810,809,809,692,420,184,182,206,200,196,150,168,134,111,95,93,83,73,79
Bangladesh,Sorghum,Yield,hg/ha,12559,12559,12559,12559,12559,8789,7540,4712,4678,8324,7539,7219,7280,8031,7617,7368,7200,7203,7692,7692,7692,7692,7692,7647,7578,7743,7711,7667,7804,8103,8376,8988,8948,9892,9804,9959,10297,7901,12346,12346,12346,12361,12361,11633,13214,13587,13462,21505,13300,12806,14667,13452,11343,11171,10526,10968,11084,11918,11013
Bangladesh,Sorghum,Production,tonnes,1016,1016,1016,1016,1016,711,610,508,508,914,775,745,720,730,681,613,589,515,1000,1000,1000,1000,1000,1300,1286,1345,1159,1150,1212,820,490,542,485,460,450,490,485,640,1000,1000,1000,1000,1000,805,555,250,245,443,266,251,220,226,152,124,100,102,92,87,87
Bangladesh,Soybeans,Area harvested,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25810,40600,39220,39371,40177,40681,41440,40561,39403,60893,47884,50299,62870,59442,62481
Bangladesh,Soybeans,Yield,hg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14148,15144,14717,15026,14660,17090,15898,15814,14729,18397,19108,18327,15416,16604,17731
Bangladesh,Soybeans,Production,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36515,61485,57720,59158,58899,69522,65883,64143,58037,112024,91496,92181,96921,98699,110785
Bangladesh,Spices nes,Area harvested,ha,37600,31600,29500,29900,12900,13400,13400,11700,29716,29249,28270,27179,26298,25016,25345,23194,23576,23570,22888,22777,22364,22060,21127,21027,21610,21600,22416,22436,22258,23273,22711,22689,22539,22600,23100,23100,23100,23100,23067,22663,23085,24686,24686,26709,27923,28328,30881,33386,34965,34833,37607,39252,39040,40484,42087,46083,47332,46538,52133
Bangladesh,Spices nes,Yield,hg/ha,31064,29905,27559,25819,32326,29552,31119,26068,17784,17463,18353,16504,15513,14703,14816,14541,14181,14465,14546,14614,14601,14800,14606,14694,15814,16410,17474,17519,18420,18717,19037,20078,20225,20796,19481,19913,20346,20346,19942,20297,20793,19444,19444,28829,30799,34907,37798,41654,40072,36895,37167,41781,40215,38287,35878,35154,35494,37191,33348
Bangladesh,Spices nes,Production,tonnes,116800,94500,81300,77200,41700,39600,41700,30500,52848,51078,51885,44856,40796,36781,37551,33727,33432,34095,33294,33286,32654,32649,30859,30898,34175,35445,39170,39305,41000,43560,43235,45555,45585,47000,45000,46000,47000,47000,46000,46000,48000,48000,48000,77000,86000,98885,116725,139066,140113,128517,139775,164000,157000,155000,151000,162000,168000,173079,173851
