Area,Year,Item,Area Harvested,Production,Yield
Bangladesh,1970,"Groundnuts, with shell",28300,46700,16502
Bangladesh,1970,Jute,918000,1233900,13441
Bangladesh,1970,Lemons and limes,1500,4000,26667
Bangladesh,1970,Lentils,90000,63000,7000
Bangladesh,1970,Lettuce and chicory,11483,64595,56253
Bangladesh,1970,Linseed,14600,7100,4863
Bangladesh,1970,Maize,3200,3000,9375
Bangladesh,1970,"Mangoes, mangosteens, guavas",41659,399572,95915
Bangladesh,1970,"Melons, other (inc.cantaloupes)",6408,108839,169849
Bangladesh,1970,Millet,79803,62401,7819
Bangladesh,1970,Oilseeds nes,2833,1321,4663
Bangladesh,1970,"Onions, dry",32800,181900,55457
Bangladesh,1970,Oranges,1700,12200,71765
Bangladesh,1970,"Peas, dry",70000,46000,6571
Bangladesh,1970,Pigeon peas,3327,2677,8046
Bangladesh,1970,Pineapples,9737,93500,96025
Bangladesh,1970,Potatoes,85400,864700,101253
Bangladesh,1970,Pulses nes,141917,120736,8508
Bangladesh,1970,"Rice, paddy",9912800,16714900,16862
Bangladesh,1970,Sesame seed,44900,27400,6102
Bangladesh,1970,Sorghum,1098,914,8324
Bangladesh,1970,Spices nes,29249,51078,17463
Bangladesh,1970,Spinach,1600,7100,44375
Bangladesh,1970,Sugar cane,165900,7518800,453213
Bangladesh,1970,Sugar crops nes,12977,738836,569343
Bangladesh,1970,Sweet potatoes,72741,852054,117135
Bangladesh,1970,"Tangerines, mandarins, clementines, satsumas",777,4313,55508
Bangladesh,1970,Tea,45604,31295,6862
Bangladesh,1970,Tobacco,45700,41200,9015
Bangladesh,1970,Tomatoes,8529,75559,88591
Bangladesh,1970,"Vegetables, fresh nes",67727,502615,74212
Bangladesh,1970,Wheat,119800,8740,104700
Bangladesh,1970,Roots and Tubers,158141,1716754,108558
Bangladesh,1970,Vegetables Primary,171408,1153326,67285
Bangladesh,1971,Areca nuts,40100,23369,5828
Bangladesh,1971,Bananas,37984,595751,156843
Bangladesh,1971,Barley,37200,26400,7097
Bangladesh,1971,"Bastfibres, others",23316,21531,9234
Bangladesh,1971,"Beans, dry",71460,60604,8481
Bangladesh,1971,"Beans, green",4502,24162,53669
Bangladesh,1971,Berries nes,500,2200,44000
Bangladesh,1971,Cabbages and other brassicas,6119,51773,84610
Bangladesh,1971,Castor oil seed,389,243,6247
Bangladesh,1971,Cauliflowers and broccoli,5767,42593,73856
Bangladesh,1971,Chick peas,73200,61000,8333
Bangladesh,1971,"Chillies and peppers, dry",88600,64000,7223
Bangladesh,1971,Coconuts,24836,57376,23102
Bangladesh,1971,Cucumbers and gherkins,2717,17943,66040
Bangladesh,1971,Fibre crops nes,265,202,7623
Bangladesh,1971,"Fruit, fresh nes",10077,62457,61980
Bangladesh,1971,"Fruit, tropical fresh nes",17400,190000,109195
Bangladesh,1971,Garlic,13400,49800,37164
Bangladesh,1971,Ginger,5018,36600,72937
Bangladesh,1971,Grapefruit (inc. pomelos),700,3000,42857
Bangladesh,1971,"Groundnuts, with shell",26657,36390,13651
Bangladesh,1971,Jute,694000,777600,11205
Bangladesh,1971,Lemons and limes,1500,4000,26667
Bangladesh,1971,Lentils,100000,69000,6900
Bangladesh,1971,Lettuce and chicory,11367,63640,55987
Bangladesh,1971,Linseed,14600,7500,5137
Bangladesh,1971,Maize,2800,2000,7143
Bangladesh,1971,"Mangoes, mangosteens, guavas",41700,421660,101118
Bangladesh,1971,"Melons, other (inc.cantaloupes)",6698,106746,159370
Bangladesh,1971,Millet,66632,51214,7686
Bangladesh,1971,Oilseeds nes,2251,1028,4567
Bangladesh,1971,"Onions, dry",33200,178800,53855
Bangladesh,1971,Oranges,1800,10700,59444
Bangladesh,1971,"Peas, dry",80000,53000,6625
Bangladesh,1971,Pigeon peas,3337,2684,8043
Bangladesh,1971,Pineapples,9848,90982,92386
Bangladesh,1971,Potatoes,86600,862600,99607
Bangladesh,1971,Pulses nes,145718,119229,8182
Bangladesh,1971,"Rice, paddy",9297682,14896689,16022
Bangladesh,1971,Sesame seed,47515,28977,6098
Bangladesh,1971,Sorghum,1028,775,7539
Bangladesh,1971,Spices nes,28270,51885,18353
Bangladesh,1971,Spinach,1650,7200,43636
Bangladesh,1971,Sugar cane,163500,7719900,472165
Bangladesh,1971,Sugar crops nes,12700,697071,548875
Bangladesh,1971,Sweet potatoes,72735,831896,114374
Bangladesh,1971,"Tangerines, mandarins, clementines, satsumas",647,3932,60773
Bangladesh,1971,Tea,45604,12007,2633
Bangladesh,1971,Tobacco,43700,47700,10915
Bangladesh,1971,Tomatoes,8581,73151,85248
Bangladesh,1971,"Vegetables, fresh nes",67074,498078,74258
Bangladesh,1971,Wheat,125900,8880,111800
Bangladesh,1971,Roots and Tubers,159335,1694496,106348
Bangladesh,1971,Vegetables Primary,170362,1136646,66719
Bangladesh,1972,Areca nuts,37683,21448,5692
Bangladesh,1972,Bananas,37557,585987,156026
Bangladesh,1972,Barley,28700,21300,7422
Bangladesh,1972,"Bastfibres, others",24038,24012,9989
Bangladesh,1972,"Beans, dry",87000,70000,8046
Bangladesh,1972,"Beans, green",3923,20966,53444
Bangladesh,1972,Berries nes,524,2099,40057
Bangladesh,1972,Cabbages and other brassicas,5192,41048,79060
Bangladesh,1972,Castor oil seed,350,202,5771
Bangladesh,1972,Cauliflowers and broccoli,4860,33901,69755
Bangladesh,1972,Chick peas,71669,59520,8305
Bangladesh,1972,"Chillies and peppers, dry",82335,58987,7164
Bangladesh,1972,Coconuts,25101,58316,23233
Bangladesh,1972,Cucumbers and gherkins,2363,14052,59467
Bangladesh,1972,Fibre crops nes,443,242,5463
Bangladesh,1972,"Fruit, fresh nes",9392,57146,60845
Bangladesh,1972,"Fruit, tropical fresh nes",17721,192000,108346
Bangladesh,1972,Garlic,13000,43700,33615
Bangladesh,1972,Ginger,4916,34597,70376
Bangladesh,1972,Grapefruit (inc. pomelos),700,3000,42857
Bangladesh,1972,"Groundnuts, with shell",22893,31498,13759
Bangladesh,1972,Jute,896261,1201860,13410
Bangladesh,1972,Lemons and limes,1500,4000,26667
Bangladesh,1972,Lentils,120000,83000,6917
Bangladesh,1972,Lettuce and chicory,8490,41480,48857
Bangladesh,1972,Linseed,20000,9000,4500
Bangladesh,1972,Maize,2800,2000,7143
Bangladesh,1972,"Mangoes, mangosteens, guavas",41044,365692,89098
Bangladesh,1972,"Melons, other (inc.cantaloupes)",6222,99700,160238
Bangladesh,1972,Millet,67988,50802,7472
Bangladesh,1972,Oilseeds nes,1847,833,4510
Bangladesh,1972,"Onions, dry",30800,159500,51786
Bangladesh,1972,Oranges,1200,8100,67500
Bangladesh,1972,"Peas, dry",85000,59000,6941
Bangladesh,1972,Pigeon peas,2916,2162,7414
Bangladesh,1972,Pineapples,10860,99172,91319
Bangladesh,1972,Potatoes,76236,752797,98746
Bangladesh,1972,Pulses nes,200000,136000,6800
Bangladesh,1972,"Rice, paddy",9629708,15133678,15716
Bangladesh,1972,Sesame seed,47723,25869,5421
Bangladesh,1972,Sorghum,1032,745,7219
Bangladesh,1972,Spices nes,27179,44856,16504
Bangladesh,1972,Spinach,1700,7400,43529
Bangladesh,1972,Sugar cane,140421,5776860,411396
Bangladesh,1972,Sugar crops nes,12644,576471,455925
Bangladesh,1972,Sweet potatoes,67233,747117,111124
Bangladesh,1972,"Tangerines, mandarins, clementines, satsumas",841,3612,42949
Bangladesh,1972,Tea,45604,24068,5278
Bangladesh,1972,Tobacco,41066,34724,8456
Bangladesh,1972,Tomatoes,7373,61253,83077
Bangladesh,1972,"Vegetables, fresh nes",57896,410210,70853
Bangladesh,1972,Wheat,127259,9038,115012
Bangladesh,1972,Roots and Tubers,143469,1499914,104546
Bangladesh,1972,Vegetables Primary,149488,941470,62980
Bangladesh,1973,Areca nuts,37573,21550,5736
Bangladesh,1973,Bananas,37462,588181,157007
Bangladesh,1973,Barley,25900,16300,6293
Bangladesh,1973,"Bastfibres, others",21929,22558,10287
Bangladesh,1973,"Beans, dry",105000,80000,7619
Bangladesh,1973,"Beans, green",5948,22327,37537
Bangladesh,1973,Berries nes,510,2032,39843
Bangladesh,1973,Cabbages and other brassicas,4927,35973,73012
Bangladesh,1973,Castor oil seed,346,202,5838
Bangladesh,1973,Cauliflowers and broccoli,4715,30796,65315
Bangladesh,1973,Chick peas,90000,60000,6667
Bangladesh,1973,"Chillies and peppers, dry",77662,52300,6734
Bangladesh,1973,Coconuts,25204,57742,22910
Bangladesh,1973,Cucumbers and gherkins,2388,13666,57228
Bangladesh,1973,Fibre crops nes,471,273,5796
Bangladesh,1973,"Fruit, fresh nes",9832,54592,55525
Bangladesh,1973,"Fruit, tropical fresh nes",18177,197185,108480
Bangladesh,1973,Garlic,12404,41123,33153
Bangladesh,1973,Ginger,5148,35212,68399
Bangladesh,1973,Grapefruit (inc. pomelos),771,3370,43709
Bangladesh,1973,"Groundnuts, with shell",20823,28099,13494
Bangladesh,1973,Jute,888857,1115820,12553
Bangladesh,1973,Lemons and limes,1466,4024,27449
Bangladesh,1973,Lentils,150000,104000,6933
Bangladesh,1973,Lettuce and chicory,7574,34251,45222
Bangladesh,1973,Linseed,30000,14000,4667
Bangladesh,1973,Maize,2724,2382,8744
Bangladesh,1973,"Mangoes, mangosteens, guavas",41410,341698,82516
Bangladesh,1973,"Melons, other (inc.cantaloupes)",6139,94726,154302
Bangladesh,1973,Millet,66780,48443,7254
Bangladesh,1973,Oilseeds nes,1545,702,4544
Bangladesh,1973,"Onions, dry",31160,155455,49889
Bangladesh,1973,Oranges,2096,8164,38950
Bangladesh,1973,"Peas, dry",90000,59000,6556
Bangladesh,1973,Pigeon peas,2880,2083,7233
Bangladesh,1973,Pineapples,12205,111440,91307
Bangladesh,1973,Potatoes,79554,758710,95370
Bangladesh,1973,Pulses nes,200000,140000,7000
Bangladesh,1973,"Rice, paddy",9878297,17862704,18083
Bangladesh,1973,Sesame seed,43530,25447,5846
Bangladesh,1973,Sorghum,989,720,7280
Bangladesh,1973,Spices nes,26298,40796,15513
Bangladesh,1973,Spinach,1722,7564,43926
Bangladesh,1973,Sugar cane,128327,5403684,421087
Bangladesh,1973,Sugar crops nes,12679,541127,426790
Bangladesh,1973,Sweet potatoes,63704,691366,108528
Bangladesh,1973,"Tangerines, mandarins, clementines, satsumas",838,3605,43019
Bangladesh,1973,Tea,45604,27216,5968
Bangladesh,1973,Tobacco,47086,39877,8469
Bangladesh,1973,Tomatoes,6859,53180,77533
Bangladesh,1973,"Vegetables, fresh nes",58007,387816,66857
Bangladesh,1973,Wheat,120132,7572,90963
Bangladesh,1973,Roots and Tubers,143258,1450076,101221
Bangladesh,1973,Vegetables Primary,149805,885163,59088
Bangladesh,1974,Areca nuts,37116,21419,5771
Bangladesh,1974,Bananas,36830,575120,156155
Bangladesh,1974,Barley,24453,15419,6306
Bangladesh,1974,"Bastfibres, others",15402,13319,8648
Bangladesh,1974,"Beans, dry",130000,90000,6923
Bangladesh,1974,"Beans, green",5995,22229,37079
Bangladesh,1974,Berries nes,522,2433,46609
Bangladesh,1974,Cabbages and other brassicas,5006,36674,73260
Bangladesh,1974,Castor oil seed,276,150,5435
Bangladesh,1974,Cauliflowers and broccoli,4881,32331,66238
Bangladesh,1974,Chick peas,110000,75000,6818
Bangladesh,1974,"Chillies and peppers, dry",66822,44147,6607
Bangladesh,1974,Coconuts,26542,61857,23305
Bangladesh,1974,Cucumbers and gherkins,2426,13839,57045
Bangladesh,1974,Fibre crops nes,490,294,6000
Bangladesh,1974,"Fruit, fresh nes",10265,55128,53705
Bangladesh,1974,"Fruit, tropical fresh nes",18104,193451,106855
Bangladesh,1974,Garlic,12553,41222,32838
Bangladesh,1974,Ginger,5271,36223,68721
Bangladesh,1974,Grapefruit (inc. pomelos),816,3321,40699
Bangladesh,1974,"Groundnuts, with shell",19462,26356,13542
Bangladesh,1974,Jute,583000,725760,12449
Bangladesh,1974,Lemons and limes,1506,3842,25511
Bangladesh,1974,Lentils,180000,124000,6889
Bangladesh,1974,Lettuce and chicory,7638,34525,45202
Bangladesh,1974,Linseed,40000,18000,4500
Bangladesh,1974,Maize,2656,2358,8878
Bangladesh,1974,"Mangoes, mangosteens, guavas",41600,300903,72332
Bangladesh,1974,"Melons, other (inc.cantaloupes)",5937,88706,149412
Bangladesh,1974,Millet,68682,46410,6757
Bangladesh,1974,Oilseeds nes,1391,598,4299
Bangladesh,1974,"Onions, dry",30916,148916,48168
Bangladesh,1974,Oranges,2068,7712,37292
Bangladesh,1974,"Peas, dry",100000,66000,6600
Bangladesh,1974,Pigeon peas,2947,2216,7520
Bangladesh,1974,Pineapples,12863,124253,96597
Bangladesh,1974,Potatoes,80058,730067,91192
Bangladesh,1974,Pulses nes,200000,150000,7500
Bangladesh,1974,"Rice, paddy",9792191,16929568,17289
Bangladesh,1974,Sesame seed,51062,28439,5570
Bangladesh,1974,Sorghum,909,730,8031
Bangladesh,1974,Spices nes,25016,36781,14703
Bangladesh,1974,Spinach,1766,7773,44015
Bangladesh,1974,Sugar cane,147483,6443484,436897
Bangladesh,1974,Sugar crops nes,12777,544918,426484
Bangladesh,1974,Sweet potatoes,60578,636845,105128
Bangladesh,1974,"Tangerines, mandarins, clementines, satsumas",915,3675,40164
Bangladesh,1974,Tea,43162,32169,7453
Bangladesh,1974,Tobacco,46392,41599,8967
Bangladesh,1974,Tomatoes,6835,52545,76876
Bangladesh,1974,"Vegetables, fresh nes",61845,407314,65860
Bangladesh,1974,Wheat,123437,8987,110929
Bangladesh,1974,Roots and Tubers,140636,1366912,97195
Bangladesh,1974,Vegetables Primary,152851,890143,58236
Bangladesh,1975,Areca nuts,37336,22424,6006
Bangladesh,1975,Bananas,37211,578318,155416
Bangladesh,1975,Barley,25550,16367,6406
Bangladesh,1975,"Bastfibres, others",13363,13745,10286
Bangladesh,1975,"Beans, dry",140000,100000,7143
Bangladesh,1975,"Beans, green",6632,26332,39704
Bangladesh,1975,Berries nes,522,2433,46609
Bangladesh,1975,Cabbages and other brassicas,5783,44051,76173
Bangladesh,1975,Castor oil seed,282,166,5887
Bangladesh,1975,Cauliflowers and broccoli,5381,37406,69515
Bangladesh,1975,Chick peas,130000,90000,6923
Bangladesh,1975,"Chillies and peppers, dry",78856,50192,6365
Bangladesh,1975,Coconuts,26092,61903,23725
Bangladesh,1975,Cucumbers and gherkins,2307,12457,53997
Bangladesh,1975,Fibre crops nes,434,266,6129
Bangladesh,1975,"Fruit, fresh nes",9753,49010,50251
Bangladesh,1975,"Fruit, tropical fresh nes",18500,196254,106083
Bangladesh,1975,Garlic,12719,42105,33104
Bangladesh,1975,Ginger,5405,36925,68316
Bangladesh,1975,Grapefruit (inc. pomelos),866,3428,39584
Bangladesh,1975,"Groundnuts, with shell",22250,31599,14202
Bangladesh,1975,Jute,511000,788580,15432
Bangladesh,1975,Lemons and limes,1514,3589,23705
Bangladesh,1975,Lentils,200000,138000,6900
Bangladesh,1975,Lettuce and chicory,8355,37910,45374
Bangladesh,1975,Linseed,50000,23000,4600
Bangladesh,1975,Maize,2481,2239,9025
Bangladesh,1975,"Mangoes, mangosteens, guavas",40924,283732,69331
Bangladesh,1975,"Melons, other (inc.cantaloupes)",7171,104760,146088
Bangladesh,1975,Millet,64530,43939,6809
Bangladesh,1975,Oilseeds nes,1325,590,4453
Bangladesh,1975,"Onions, dry",31145,145578,46742
Bangladesh,1975,Oranges,2185,8057,36874
Bangladesh,1975,"Peas, dry",110000,73000,6636
Bangladesh,1975,Pigeon peas,5000,3600,7200
Bangladesh,1975,Pineapples,14356,138489,96468
Bangladesh,1975,Potatoes,93864,880372,93792
Bangladesh,1975,Pulses nes,200000,150000,7500
Bangladesh,1975,"Rice, paddy",10329868,19142624,18531
Bangladesh,1975,Sesame seed,54301,28876,5318
Bangladesh,1975,Sorghum,894,681,7617
Bangladesh,1975,Spices nes,25345,37551,14816
Bangladesh,1975,Spinach,1999,8986,44952
Bangladesh,1975,Sugar cane,153602,6741283,438880
Bangladesh,1975,Sugar crops nes,12535,495157,395020
Bangladesh,1975,Sweet potatoes,66557,718678,107979
Bangladesh,1975,"Tangerines, mandarins, clementines, satsumas",931,3580,38453
Bangladesh,1975,Tea,43161,29388,6809
Bangladesh,1975,Tobacco,45624,40370,8848
Bangladesh,1975,Tomatoes,7972,61430,77057
Bangladesh,1975,"Vegetables, fresh nes",64508,478468,74172
Bangladesh,1975,Wheat,126037,9260,116714
Bangladesh,1975,Roots and Tubers,160421,1599050,99678
Bangladesh,1975,Vegetables Primary,159984,990379,61905
Bangladesh,1976,Areca nuts,37049,23765,6414
Bangladesh,1976,Bananas,37735,588625,155989
Bangladesh,1976,Barley,25558,17126,6701
Bangladesh,1976,"Bastfibres, others",14542,14959,10287
Bangladesh,1976,"Beans, dry",170000,110000,6471
Bangladesh,1976,"Beans, green",6989,29108,41648
Bangladesh,1976,Berries nes,535,2515,47009
Bangladesh,1976,Cabbages and other brassicas,5917,44746,75623
Bangladesh,1976,Castor oil seed,344,189,5494
Bangladesh,1976,Cauliflowers and broccoli,5585,38441,68829
Bangladesh,1976,Chick peas,160000,112000,7000
Bangladesh,1976,"Chillies and peppers, dry",79232,52888,6675
Bangladesh,1976,Coconuts,26533,65307,24614
Bangladesh,1976,Cucumbers and gherkins,2402,12853,53510
Bangladesh,1976,Fibre crops nes,398,256,6432
Bangladesh,1976,"Fruit, fresh nes",10152,51891,51114
Bangladesh,1976,"Fruit, tropical fresh nes",18883,205887,109033
Bangladesh,1976,Garlic,11932,38501,32267
Bangladesh,1976,Ginger,5350,35684,66699
Bangladesh,1976,Grapefruit (inc. pomelos),884,3551,40170
Bangladesh,1976,"Groundnuts, with shell",20975,23336,11126
Bangladesh,1976,Jute,650000,872000,13415
Bangladesh,1976,Lemons and limes,1588,3883,24452
Bangladesh,1976,Lentils,250000,173000,6920
Bangladesh,1976,Lettuce and chicory,8871,41816,47138
Bangladesh,1976,Linseed,55000,25000,4545
Bangladesh,1976,Maize,2398,2152,8974
Bangladesh,1976,"Mangoes, mangosteens, guavas",42820,271450,63393
Bangladesh,1976,"Melons, other (inc.cantaloupes)",7746,109942,141934
Bangladesh,1976,Millet,62572,41741,6671
Bangladesh,1976,Oilseeds nes,1248,569,4559
Bangladesh,1976,"Onions, dry",33172,149975,45211
Bangladesh,1976,Oranges,2321,8581,36971
Bangladesh,1976,"Peas, dry",115000,72000,6261
Bangladesh,1976,Pigeon peas,8000,5800,7250
Bangladesh,1976,Pineapples,14644,143822,98212
Bangladesh,1976,Potatoes,95932,903025,94132
Bangladesh,1976,Pulses nes,200000,150000,7500
Bangladesh,1976,"Rice, paddy",9882050,17628320,17839
Bangladesh,1976,Sesame seed,51568,27743,5380
Bangladesh,1976,Sorghum,832,613,7368
Bangladesh,1976,Spices nes,23194,33727,14541
Bangladesh,1976,Spinach,2088,9540,45690
Bangladesh,1976,Sugar cane,133040,5980663,449539
Bangladesh,1976,Sugar crops nes,12704,484837,381641
Bangladesh,1976,Sweet potatoes,71547,790599,110501
Bangladesh,1976,"Tangerines, mandarins, clementines, satsumas",929,3580,38536
Bangladesh,1976,Tea,43099,34097,7911
Bangladesh,1976,Tobacco,49200,45176,9182
Bangladesh,1976,Tomatoes,7752,58214,75095
Bangladesh,1976,"Vegetables, fresh nes",65500,434883,66394
Bangladesh,1976,Wheat,150102,14535,218174
Bangladesh,1976,Roots and Tubers,167479,1693624,101125
Bangladesh,1976,Vegetables Primary,163146,950995,58291
Bangladesh,1977,Areca nuts,37387,25665,6865
Bangladesh,1977,Bananas,37992,589714,155221
Bangladesh,1977,Barley,23484,14744,6278
Bangladesh,1977,"Bastfibres, others",15176,16344,10770
Bangladesh,1977,"Beans, dry",175000,115000,6571
Bangladesh,1977,"Beans, green",6479,24555,37899
Bangladesh,1977,Berries nes,528,2502,47386
Bangladesh,1977,Cabbages and other brassicas,5739,43162,75208
Bangladesh,1977,Castor oil seed,372,215,5780
Bangladesh,1977,Cauliflowers and broccoli,5573,37208,66765
Bangladesh,1977,Chick peas,191000,125000,6545
Bangladesh,1977,"Chillies and peppers, dry",77069,45367,5887
Bangladesh,1977,Coconuts,26867,68497,25495
Bangladesh,1977,Cucumbers and gherkins,2351,12452,52965
Bangladesh,1977,Fibre crops nes,393,242,6158
Bangladesh,1977,"Fruit, fresh nes",10573,50198,47478
Bangladesh,1977,"Fruit, tropical fresh nes",19114,206330,107947
Bangladesh,1977,Garlic,12939,41526,32094
Bangladesh,1977,Ginger,5306,35193,66327
Bangladesh,1977,Grapefruit (inc. pomelos),933,3547,38017
Bangladesh,1977,"Groundnuts, with shell",23472,27692,11798
Bangladesh,1977,Jute,735000,972000,13224
Bangladesh,1977,Lemons and limes,1465,3449,23543
Bangladesh,1977,Lentils,291000,172000,5911
Bangladesh,1977,Lettuce and chicory,8219,37365,45462
Bangladesh,1977,Linseed,60000,28000,4667
Bangladesh,1977,Maize,2333,1961,8405
Bangladesh,1977,"Mangoes, mangosteens, guavas",43042,268339,62344
Bangladesh,1977,"Melons, other (inc.cantaloupes)",7764,105468,135842
Bangladesh,1977,Millet,64044,44243,6908
Bangladesh,1977,Oilseeds nes,1230,586,4764
Bangladesh,1977,"Onions, dry",31912,138347,43353
Bangladesh,1977,Oranges,2333,8693,37261
Bangladesh,1977,"Peas, dry",126000,79000,6270
Bangladesh,1977,Pigeon peas,10000,7200,7200
Bangladesh,1977,Pineapples,14594,143706,98469
Bangladesh,1977,Potatoes,77377,735336,95033
Bangladesh,1977,Pulses nes,200000,150000,7500
Bangladesh,1977,"Rice, paddy",10027652,19451488,19398
Bangladesh,1977,Sesame seed,54838,29958,5463
Bangladesh,1977,Sorghum,818,589,7200
Bangladesh,1977,Spices nes,23576,33432,14181
Bangladesh,1977,Spinach,2102,9536,45366
Bangladesh,1977,Sugar cane,144590,6503802,449810
Bangladesh,1977,Sugar crops nes,12849,468355,364507
Bangladesh,1977,Sweet potatoes,70590,755565,107036
Bangladesh,1977,"Tangerines, mandarins, clementines, satsumas",925,3556,38443
Bangladesh,1977,Tea,42998,37022,8610
Bangladesh,1977,Tobacco,68053,63534,9336
Bangladesh,1977,Tomatoes,7786,53399,68583
Bangladesh,1977,"Vegetables, fresh nes",63081,409969,64991
Bangladesh,1977,Wheat,160047,16211,259456
Bangladesh,1977,Roots and Tubers,147967,1490901,100759
Bangladesh,1977,Vegetables Primary,159159,896754,56343
Bangladesh,1978,Areca nuts,37118,25828,6958
Bangladesh,1978,Bananas,38211,596393,156079
Bangladesh,1978,Barley,21327,13474,6318
Bangladesh,1978,"Bastfibres, others",16062,18659,11617
Bangladesh,1978,"Beans, dry",194000,124000,6392
Bangladesh,1978,"Beans, green",6878,32930,47877
Bangladesh,1978,Berries nes,527,2291,43472
Bangladesh,1978,Cabbages and other brassicas,5743,45753,79667
Bangladesh,1978,Castor oil seed,372,203,5457
Bangladesh,1978,Cauliflowers and broccoli,5705,39311,68906
Bangladesh,1978,Chick peas,140000,105000,7500
Bangladesh,1978,"Chillies and peppers, dry",82547,49664,6016
Bangladesh,1978,Coconuts,27355,66871,24446
Bangladesh,1978,Cucumbers and gherkins,2329,12208,52417
Bangladesh,1978,Fibre crops nes,394,238,6041
Bangladesh,1978,"Fruit, fresh nes",10423,46388,44505
Bangladesh,1978,"Fruit, tropical fresh nes",19065,193467,101478
Bangladesh,1978,Garlic,12357,39419,31900
Bangladesh,1978,Ginger,5306,34842,65665
Bangladesh,1978,Grapefruit (inc. pomelos),991,3769,38032
Bangladesh,1978,"Groundnuts, with shell",24971,28023,11222
Bangladesh,1978,Jute,835000,1170000,14012
Bangladesh,1978,Lemons and limes,1451,3325,22915
Bangladesh,1978,Lentils,293000,175000,5973
Bangladesh,1978,Lettuce and chicory,8594,43304,50389
Bangladesh,1978,Linseed,65000,31000,4769
Bangladesh,1978,Maize,2215,1770,7991
Bangladesh,1978,"Mangoes, mangosteens, guavas",43292,254836,58864
Bangladesh,1978,"Melons, other (inc.cantaloupes)",8045,112084,139321
Bangladesh,1978,Millet,56253,38483,6841
Bangladesh,1978,Oilseeds nes,1170,508,4342
Bangladesh,1978,"Onions, dry",33036,147732,44718
Bangladesh,1978,Oranges,2392,8479,35447
Bangladesh,1978,"Peas, dry",100000,66000,6600
Bangladesh,1978,Pigeon peas,15000,11000,7333
Bangladesh,1978,Pineapples,14632,139627,95426
Bangladesh,1978,Potatoes,90031,913846,101503
Bangladesh,1978,Pulses nes,200000,150000,7500
Bangladesh,1978,"Rice, paddy",10101807,19582160,19385
Bangladesh,1978,Sesame seed,80000,52000,6500
Bangladesh,1978,Sorghum,715,515,7203
Bangladesh,1978,Spices nes,23570,34095,14465
Bangladesh,1978,Spinach,2078,9571,46059
Bangladesh,1978,Sugar cane,153811,6777069,440610
Bangladesh,1978,Sugar crops nes,13004,478964,368321
Bangladesh,1978,Sweet potatoes,71839,782826,108970
Bangladesh,1978,"Tangerines, mandarins, clementines, satsumas",765,2398,31346
Bangladesh,1978,Tea,43183,38305,8870
Bangladesh,1978,Tobacco,55517,49873,8983
Bangladesh,1978,Tomatoes,8227,61065,74225
Bangladesh,1978,"Vegetables, fresh nes",65179,422961,64892
Bangladesh,1978,Wheat,188938,18419,347997
Bangladesh,1978,Roots and Tubers,161870,1696672,104817
Bangladesh,1978,Vegetables Primary,163677,949758,58026
Bangladesh,1979,Areca nuts,36661,26458,7217
Bangladesh,1979,Bananas,39044,616393,157871
Bangladesh,1979,Barley,19952,12592,6311
Bangladesh,1979,"Bastfibres, others",13740,15473,11261
Bangladesh,1979,"Beans, dry",178000,114000,6404
Bangladesh,1979,"Beans, green",6866,32650,47553
Bangladesh,1979,Berries nes,617,2629,42609
Bangladesh,1979,Cabbages and other brassicas,6192,47805,77204
Bangladesh,1979,Castor oil seed,350,198,5657
Bangladesh,1979,Cauliflowers and broccoli,5939,41963,70657
Bangladesh,1979,Chick peas,127000,95000,7480
Bangladesh,1979,"Chillies and peppers, dry",83467,52523,6293
Bangladesh,1979,Coconuts,28395,71839,25300
Bangladesh,1979,Cucumbers and gherkins,2378,12375,52040
Bangladesh,1979,Fibre crops nes,415,260,6265
Bangladesh,1979,"Fruit, fresh nes",10720,45446,42394
Bangladesh,1979,"Fruit, tropical fresh nes",19708,198383,100661
Bangladesh,1979,Garlic,12505,40343,32261
Bangladesh,1979,Ginger,5625,37091,65940
Bangladesh,1979,Grapefruit (inc. pomelos),1038,4079,39297
Bangladesh,1979,"Groundnuts, with shell",24000,27000,11250
Bangladesh,1979,Jute,760000,1080000,14211
Bangladesh,1979,Lemons and limes,1518,3530,23254
Bangladesh,1979,Lentils,295000,176000,5966
Bangladesh,1979,Lettuce and chicory,8721,44625,51170
Bangladesh,1979,Linseed,70000,33000,4714
Bangladesh,1979,Maize,2004,1456,7265
Bangladesh,1979,"Mangoes, mangosteens, guavas",43213,214100,49545
Bangladesh,1979,"Melons, other (inc.cantaloupes)",8118,111092,136847
Bangladesh,1979,Millet,59959,40040,6678
Bangladesh,1979,Oilseeds nes,988,452,4575
Bangladesh,1979,"Onions, dry",31535,135527,42977
Bangladesh,1979,Oranges,2432,8606,35387
Bangladesh,1979,"Peas, dry",68000,44000,6471
Bangladesh,1979,Pigeon peas,9600,7500,7813
Bangladesh,1979,Pineapples,14779,142129,96170
Bangladesh,1979,Potatoes,96676,909319,94058
Bangladesh,1979,Pulses nes,200000,150000,7500
Bangladesh,1979,"Rice, paddy",10159848,19109472,18809
Bangladesh,1979,Sesame seed,95000,50000,5263
Bangladesh,1979,Sorghum,1300,1000,7692
Bangladesh,1979,Spices nes,22888,33294,14546
Bangladesh,1979,Spinach,2245,10251,45661
Bangladesh,1979,Sugar cane,154901,6937494,447866
Bangladesh,1979,Sugar crops nes,12964,469200,361925
Bangladesh,1979,Sweet potatoes,72901,794952,109045
