Area,Year,Item,Area Harvested,Production,Yield
Bangladesh,1962,Castor oil seed,405,203,5012
Bangladesh,1962,Cauliflowers and broccoli,5438,26884,49437
Bangladesh,1962,Chick peas,55847,34544,6185
Bangladesh,1962,"Chillies and peppers, dry",73200,48700,6653
Bangladesh,1962,Coconuts,19400,50803,26187
Bangladesh,1962,Cucumbers and gherkins,2545,10868,42703
Bangladesh,1962,Fibre crops nes,1650,1500,9091
Bangladesh,1962,"Fruit, fresh nes",9000,60000,66667
Bangladesh,1962,"Fruit, tropical fresh nes",13000,127000,97692
Bangladesh,1962,Garlic,10900,35200,32294
Bangladesh,1962,Ginger,3600,24000,66667
Bangladesh,1962,Grapefruit (inc. pomelos),600,2500,41667
Bangladesh,1962,"Groundnuts, with shell",8094,12192,15063
Bangladesh,1962,Jute,688000,1105200,16064
Bangladesh,1962,Lemons and limes,800,2000,25000
Bangladesh,1962,Lentils,72035,48768,6770
Bangladesh,1962,Lettuce and chicory,9500,54000,56842
Bangladesh,1962,Linseed,23067,11176,4845
Bangladesh,1962,Maize,5261,4064,7725
Bangladesh,1962,"Mangoes, mangosteens, guavas",41000,531000,129512
Bangladesh,1962,"Melons, other (inc.cantaloupes)",6000,100000,166667
Bangladesh,1962,Millet,51800,36600,7066
Bangladesh,1962,Oilseeds nes,5261,2032,3862
Bangladesh,1962,"Onions, dry",25500,140300,55020
Bangladesh,1962,Oranges,3500,17000,48571
Bangladesh,1962,"Peas, dry",40000,26000,6500
Bangladesh,1962,Pigeon peas,3642,3048,8369
Bangladesh,1962,Pineapples,6100,36577,59962
Bangladesh,1962,Potatoes,57871,362712,62676
Bangladesh,1962,Pulses nes,128287,89408,6969
Bangladesh,1962,"Rice, paddy",9007995,15934944,17690
Bangladesh,1962,Sesame seed,52205,25400,4865
Bangladesh,1962,Sorghum,809,1016,12559
Bangladesh,1962,Spices nes,29500,81300,27559
Bangladesh,1962,Spinach,1400,6400,45714
Bangladesh,1962,Sugar cane,128691,4824984,374928
