FinancialYear,DistrictName ,TotalArea(Acres),Production(Tons)
2003-2004,Rangamati,25680,30400
2003-2004,Sylhet,1006540,848410
2003-2004,Dhaka,464760,401450
2003-2004,Faridpur,588460,343150
2003-2004,Jamalpur,433780,339530
2003-2004,Kishoregonj,449510,397920
2003-2004,Mymensingh,674340,554420
2003-2004,Tangail,371510,265800
2003-2004,Barisal,889450,596650
2003-2004,Jessore,705500,787060
2003-2004,Khulna,871660,720670
2003-2004,Kushtia,271800,263440
2003-2004,Patuakhali,877580,536560
2003-2004,Bogra,577410,508170
2003-2004,Dinajpur,964550,725330
2003-2004,Pabna,434580,321630
2003-2004,Rajshahi,929050,791080
2003-2004,Rangpur,1397180,1209740
2004-2005,Bandarban,19360,21847
2004-2005,Chittagong,644083,665129
2004-2005,Comilla,463834,330405
2004-2005,Khagrachari,49352,54472
2004-2005,Noakhali,629025,359728
2004-2005,Rangamati,25665,29862
2004-2005,Sylhet,862036,675563
2004-2005,Dhaka,444055,290585
2004-2005,Faridpur,496334,221808
2004-2005,Jamalpur,396235,294303
2004-2005,Kishoregonj,420215,340008
2004-2005,Mymensingh,648873,500915
2004-2005,Tangail,318251,217327
2004-2005,Barisal,825445,440382
2004-2005,Jessore,649053,618543
2004-2005,Khulna,796220,651199
2004-2005,Kushtia,263785,237924
2004-2005,Patuakhali,854942,539576
2004-2005,Bogra,555775,464718
2004-2005,Dinajpur,987329,718648
2004-2005,Pabna,408199,281777
2004-2005,Rajshahi,919506,803978
2004-2005,Rangpur,1369640,1060920
2005-2006,Bandarban,18295,18693
2005-2006,Chittagong,632647,643804
2005-2006,Comilla,548692,410652
2005-2006,Khagrachari,57594,61935
2005-2006,Noakhali,650719,493400
2005-2006,Rangamati,25377,24791
2005-2006,Sylhet,951905,785891
2005-2006,Dhaka,430452,310173
2005-2006,Faridpur,467313,267363
2005-2006,Jamalpur,426002,348894
2005-2006,Kishoregonj,442954,380281
2005-2006,Mymensingh,649799,508732
2005-2006,Tangail,340212,234815
2005-2006,Barisal,874905,563456
2005-2006,Jessore,762871,757824
2005-2006,Khulna,800537,666957
2005-2006,Kushtia,294426,243711
2005-2006,Patuakhali,781416,503749
2005-2006,Bogra,540972,458407
2005-2006,Dinajpur,1008173,823558
2005-2006,Pabna,406159,294852
2005-2006,Rajshahi,959866,892830
2005-2006,Rangpur,1344335,1115308
2006-2007,Bandarban,18390,18911
2006-2007,Chittagong,459145,456501
2006-2007,Cox's Bazar,174520,188959
2006-2007,Comilla,361495,276646
2006-2007,Chandpur,117990,77183
2006-2007,Brahmanbaria,93380,69035
2006-2007,Khagrachari,58020,58698
2006-2007,Noakhali,278360,188034
2006-2007,Lakshmipur,174680,118629
2006-2007,Feni,144220,145924
2006-2007,Rangamati,22705,22788
2006-2007,Sylhet,314240,259281
2006-2007,Maulavibazar,268620,259350
2006-2007,Sunamgonj,180305,145208
2006-2007,Hobigonj,215860,168812
2006-2007,Dhaka,44170,25042
2006-2007,Gazipur,94180,82692
2006-2007,Manikgonj,78085,26581
2006-2007,Munshigonj,40345,14020
2006-2007,Narayangonj,32585,16218
2006-2007,Narsingdi,111355,97603
2006-2007,Faridpur,125510,79694
2006-2007,Rajbari,106490,80138
2006-2007,Madaripur,94770,47088
2006-2007,Gopalgonj,78755,26925
2006-2007,Shariatpur,61550,31625
2006-2007,Jamalpur,226670,208401
2006-2007,Sherpur,211255,171062
2006-2007,Kishoregonj,157635,147209
2006-2007,Netrokona,328510,281701
2006-2007,Mymenshing,648855,494337
2006-2007,Tangail,329200,258364
2006-2007,Barisal,274950,173703
2006-2007,Jhalakathi,105950,58658
2006-2007,Perojpur,181190,96163
2006-2007,Bhola,314580,198124
2006-2007,Patuakhali,459925,283360
2006-2007,Barguna,229090,155619
2006-2007,Jessore,330570,332764
2006-2007,Jhenaidah,208085,181991
2006-2007,Magura,107615,95165
2006-2007,Narail,138650,95658
2006-2007,Khulna,274505,220009
2006-2007,Bagerhat,268990,195978
2006-2007,Satkhira,245990,257794
2006-2007,Khustia,156720,142393
2006-2007,Chuadanga,89290,76724
2006-2007,Meherpur,60855,56828
2006-2007,Bogra,421930,372447
2006-2007,Joypurhat,167455,154873
2006-2007,Pabna,254545,174745
2006-2007,Sirajgonj,157620,109539
2006-2007,Rajshahi,169020,147656
2006-2007,Noagaon,488895,472186
2006-2007,Natore,158810,109097
2006-2007,Nawabgonj,120533,121182
2006-2007,Dinajpur,568075,469396
2006-2007,Thakurgaon,238560,201937
2006-2007,Panchagar,203020,145918
2006-2007,Rangpur,349160,330083
2006-2007,Gaibandha,277915,236034
2006-2007,Kurigram,258100,213481
2006-2007,Nilphamari,257115,243999
2006-2007,Lalmonirhat,192215,174705
2007-2008,Bandarban,20090,21099
2007-2008,Chittagong,450770,440316
2007-2008,Cox's Bazar,161305,174746
2007-2008,Comilla,366095,279798
2007-2008,Chandpur,84070,42389
2007-2008,Brahmanbaria,114060,72203
2007-2008,Khagrachari,71655,61395
2007-2008,Noakhali,248240,125346
2007-2008,Lakshmipur,158670,96891
2007-2008,Feni,107910,104925
2007-2008,Rangamati,18030,16982
2007-2008,Sylhet,239100,184106
2007-2008,Maulavibazar,224385,220055
2007-2008,Sunamgonj,100435,72429
2007-2008,Hobigonj,213335,166051
2007-2008,Dhaka,18330,9691
2007-2008,Gazipur,98380,93956
2007-2008,Manikgonj,21590,8389
2007-2008,Munshigonj,43110,13179
2007-2008,Narayangonj,32480,14485
2007-2008,Narsingdi,106905,93958
2007-2008,Faridpur,71050,38652
2007-2008,Rajbari,91260,80219
2007-2008,Madaripur,61265,24551
2007-2008,Gopalgonj,46205,15537
2007-2008,Shariatpur,24645,8612
2007-2008,Jamalpur,213305,152138
2007-2008,Sherpur,187975,103787
2007-2008,Kishoregonj,156400,114327
2007-2008,Netrokona,274830,221270
2007-2008,Mymenshing,624870,491413
2007-2008,Tangail,245975,170918
2007-2008,Barisal,285105,126893
2007-2008,Jhalakathi,109550,58609
2007-2008,Perojpur,189835,92791
2007-2008,Bhola,352435,199749
2007-2008,Jessore,339730,354555
2007-2008,Jhenaidah,223760,217045
2007-2008,Magura,97315,91782
2007-2008,Narail,102995,73287
2007-2008,Khulna,267735,192869
2007-2008,Bagerhat,260955,136305
2007-2008,Satkhira,243320,227075
2007-2008,Khustia,165940,159027
2007-2008,Chuadanga,87165,86416
2007-2008,Meherpur,60425,58166
2007-2008,Patuakhali,475465,195319
2007-2008,Barguna,230500,92927
2007-2008,Bogra,411435,365945
2007-2008,Joypurhat,168010,157607
2007-2008,Dinajpur,579720,553907
2007-2008,Thakurgaon,244380,246464
2007-2008,Panchagar,211535,165041
2007-2008,Pabna,249660,191689
2007-2008,Sirajgonj,58595,31250
2007-2008,Rajshahi,170430,177145
2007-2008,Noagaon,465045,484522
2007-2008,Natore,148330,114185
2007-2008,Nawabgonj,120010,140405
2007-2008,Rangpur,333875,265742
2007-2008,Gaibandha,252360,190058
2007-2008,Kurigram,224155,151496
2007-2008,Nilphamari,265395,189411
2007-2008,Lalmonirhat,181890,140696
2008-2009,Bandarban,20645,22353
2008-2009,Chittagong,474045,469112
2008-2009,Cox's Bazar,176510,212418
2008-2009,Comilla,382070,327417
2008-2009,Chandpur,118510,79282
2008-2009,Brahmanbaria,170345,135606
2008-2009,Khagrachari,72520,75935
2008-2009,Noakhali,279060,193174
2008-2009,Lakshmipur,159910,109125
2008-2009,Feni,127440,125732
2008-2009,Rangamati,24075,22333
2008-2009,Sylhet,329120,293659
2008-2009,Maulavibazar,238705,241094
2008-2009,Sunamgonj,134080,107731
2008-2009,Hobigonj,236220,207643
2008-2009,Dhaka,39990,28872
2008-2009,Gazipur,104535,105450
2008-2009,Manikgonj,32095,14175
2008-2009,Munshigonj,44400,16010
2008-2009,Narayangonj,33280,14048
2008-2009,Narsingdi,107755,89811
2008-2009,Faridpur,127510,96689
2008-2009,Rajbari,115355,93608
2008-2009,Madaripur,69030,35699
2008-2009,Gopalgonj,70375,37598
2008-2009,Shariatpur,40020,19148
2008-2009,Jamalpur,228285,198646
2008-2009,Sherpur,212145,163830
2008-2009,Kishoregonj,167310,133432
2008-2009,Netrokona,270870,239694
2008-2009,Mymenshing,647445,550642
2008-2009,Tangail,317530,232731
2008-2009,Barisal,312325,234919
2008-2009,Jhalakathi,112020,72490
2008-2009,Perojpur,171040,108860
2008-2009,Bhola,406840,299196
2008-2009,Jessore,349635,346735
2008-2009,Jhenaidah,235315,220448
2008-2009,Magura,128400,116237
2008-2009,Narail,111705,85788
2008-2009,Khulna,264390,212203
2008-2009,Bagerhat,261570,173540
2008-2009,Satkhira,272105,287569
2008-2009,Khustia,192000,183231
2008-2009,Chuadanga,97585,94440
2008-2009,Meherpur,65510,58714
2008-2009,Patuakhali,490345,267998
2008-2009,Barguna,236700,139574
2008-2009,Bogra,443735,386283
2008-2009,Joypurhat,168045,159470
2008-2009,Dinajpur,604585,602007
2008-2009,Thakurgaon,258005,251886
2008-2009,Panchagar,216200,185595
2008-2009,Pabna,213795,166484
2008-2009,Sirajgonj,167760,132163
2008-2009,Rajshahi,171015,179016
2008-2009,Noagaon,461780,481074
2008-2009,Natore,169640,148921
2008-2009,Nawabgonj,123320,135941
2008-2009,Rangpur,348050,320885
2008-2009,Gaibandha,266350,243014
2008-2009,Kurigram,240210,194546
2008-2009,Nilphamari,265440,263782
2008-2009,Lalmonirhat,188025,167463
2009-2010,Bandarban,20793,22669
2009-2010,Chittagong,469442,489931
2009-2010,Cox's Bazar,181152,224699
2009-2010,Comilla,368455,341627
2009-2010,Chandpur,129394,99443
2009-2010,Brahmanbaria,214030,163108
2009-2010,Khagrachari,77761,87202
2009-2010,Noakhali,288961,216300
2009-2010,Lakshmipur,218784,160309
2009-2010,Feni,141039,147174
2009-2010,Rangamati,23922,25537
2009-2010,Sylhet,356366,352260
2009-2010,Maulavibazar,235295,265500
2009-2010,Sunamgonj,117914,130593
2009-2010,Hobigonj,206856,220869
2009-2010,Dhaka,50121,28772
2009-2010,Gazipur,108813,125245
2009-2010,Manikgonj,81815,33690
2009-2010,Munshigonj,43375,20805
2009-2010,Narayangonj,31318,19742
2009-2010,Narsingdi,108849,109773
2009-2010,Faridpur,144020,113613
2009-2010,Rajbari,121340,115903
2009-2010,Madaripur,77286,50911
2009-2010,Gopalgonj,96463,40041
2009-2010,Shariatpur,40081,18284
2009-2010,Jamalpur,255288,207129
2009-2010,Sherpur,226859,175203
2009-2010,Kishoregonj,173694,140425
2009-2010,Netrokona,346202,279596
2009-2010,Mymenshing,653785,475919
2009-2010,Tangail,336033,250758
2009-2010,Barisal,311427,232203
2009-2010,Jhalakathi,113357,78767
2009-2010,Perojpur,198437,137785
2009-2010,Bhola,412000,288994
2009-2010,Jessore,341226,313555
2009-2010,Jhenaidah,186802,195872
2009-2010,Magura,125700,116479
2009-2010,Narail,124598,88784
2009-2010,Khulna,217912,215848
2009-2010,Bagerhat,240087,184802
2009-2010,Satkhira,207649,193309
2009-2010,Khustia,177877,175297
2009-2010,Chuadanga,113537,104373
2009-2010,Meherpur,61959,58733
2009-2010,Patuakhali,517580,348492
2009-2010,Barguna,251652,175737
2009-2010,Bogra,441965,366445
2009-2010,Joypurhat,167194,159333
2009-2010,Dinajpur,607395,581075
2009-2010,Thakurgaon,289530,354518
2009-2010,Panchagar,200177,169833
2009-2010,Pabna,238411,180500
2009-2010,Sirajgonj,190088,152724
2009-2010,Rajshahi,187090,193581
2009-2010,Noagaon,475075,500097
2009-2010,Natore,176782,161042
2009-2010,Nawabgonj,121718,125785
2009-2010,Rangpur,357770,346055
2009-2010,Gaibandha,288718,232193
2009-2010,Kurigram,245703,192536
2009-2010,Nilphamari,264085,245108
2009-2010,Lalmonirhat,193856,184277
2010-2011,Bandarban,20242,18482
2010-2011,Chittagong,458472,478656
2010-2011,Cox's Bazar,184632,207762
2010-2011,Comilla,361548,349487
2010-2011,Chandpur,129839,82066
2010-2011,Brahmanbaria,157099,127768
2010-2011,Khagrachari,75644,88001
2010-2011,Noakhali,291268,211545
2010-2011,Lakshmipur,212407,164634
2010-2011,Feni,162124,191320
2010-2011,Rangamati,23578,24352
2010-2011,Sylhet,357078,352537
2010-2011,Maulavibazar,234043,251751
2010-2011,Sunamgonj,118006,116817
2010-2011,Hobigonj,205202,198372
2010-2011,Dhaka,44927,26151
2010-2011,Gazipur,108364,125950
2010-2011,Manikgonj,85688,35234
2010-2011,Munshigonj,45484,21953
2010-2011,Narayangonj,31871,18736
2010-2011,Narsingdi,105501,103641
2010-2011,Faridpur,145794,114918
2010-2011,Rajbari,106581,91650
2010-2011,Madaripur,76472,45759
2010-2011,Gopalgonj,91754,42749
2010-2011,Shariatpur,30607,15708
2010-2011,Jamalpur,251484,221152
2010-2011,Sherpur,226858,220729
2010-2011,Kishoregonj,184956,164197
2010-2011,Netrokona,345397,315602
2010-2011,Mymenshing,675278,587762
2010-2011,Tangail,352298,285921
2010-2011,Barisal,320580,263150
2010-2011,Jhalakathi,112387,91207
2010-2011,Perojpur,166731,116921
2010-2011,Bhola,422471,327014
2010-2011,Jessore,345560,332402
2010-2011,Jhenaidah,219380,219741
2010-2011,Magura,122518,136409
2010-2011,Narail,89563,59750
2010-2011,Khulna,200321,176017
2010-2011,Bagerhat,223874,159030
2010-2011,Satkhira,251482,286059
2010-2011,Khustia,192355,223212
2010-2011,Chuadanga,109103,96142
2010-2011,Meherpur,61223,55439
2010-2011,Patuakhali,504165,347730
2010-2011,Barguna,252020,179308
2010-2011,Bogra,453517,396788
2010-2011,Joypurhat,168220,171699
2010-2011,Dinajpur,604853,637965
2010-2011,Thakurgaon,294785,368478
2010-2011,Panchagar,202338,249790
2010-2011,Pabna,237280,158628
2010-2011,Sirajgonj,194389,136775
2010-2011,Rajshahi,181820,201370
2010-2011,Noagaon,489512,532639
2010-2011,Natore,172062,115818
2010-2011,Nawabgonj,106287,112073
2010-2011,Rangpur,343825,368115
2010-2011,Gaibandha,290289,266465
2010-2011,Kurigram,262475,241414
2010-2011,Nilphamari,272632,269707
2010-2011,Lalmonirhat,182420,192881
2011-2012,Bandarban,20414,21328
2011-2012,Chittagong,455458,467750
2011-2012,Cox's Bazar,182297,213334
2011-2012,Comilla,352781,342915
2011-2012,Chandpur,108525,77592
2011-2012,Brahmanbaria,155439,130527
2011-2012,Khagrachari,76231,89607
2011-2012,Noakhali,293415,220437
2011-2012,Lakshmipur,208300,168048
2011-2012,Feni,162522,188358
2011-2012,Rangamati,24155,25746
2011-2012,Sylhet,366288,353419
2011-2012,Maulavibazar,235757,266727
2011-2012,Sunamgonj,120198,118940
2011-2012,Hobigonj,207845,201368
2011-2012,Dhaka,39280,23810
2011-2012,Gazipur,105849,116994
2011-2012,Manikgonj,76229,33381
2011-2012,Munshigonj,38604,18358
2011-2012,Narayangonj,28762,16311
2011-2012,Narsingdi,105090,107112
2011-2012,Faridpur,135648,108093
2011-2012,Rajbari,92187,78286
2011-2012,Madaripur,67571,30266
2011-2012,Gopalgonj,88891,40908
2011-2012,Shariatpur,29858,15920
2011-2012,Jamalpur,261849,238605
2011-2012,Sherpur,223772,210547
2011-2012,Kishoregonj,180622,167220
2011-2012,Netrokona,341691,321711
2011-2012,Mymenshing,668054,568546
2011-2012,Tangail,344271,266992
2011-2012,Barisal,309110,258853
2011-2012,Jhalakathi,112289,88860
2011-2012,Perojpur,157334,115904
2011-2012,Bhola,422002,337660
2011-2012,Jessore,336037,353267
2011-2012,Jhenaidah,217239,240766
2011-2012,Magura,120564,125560
2011-2012,Narail,87878,66675
2011-2012,Khulna,206177,181186
2011-2012,Bagerhat,211095,150362
2011-2012,Satkhira,207797,219388
2011-2012,Khustia,196862,221110
2011-2012,Chuadanga,107381,122987
2011-2012,Meherpur,61785,69326
2011-2012,Patuakhali,508494,339887
2011-2012,Barguna,251884,180343
2011-2012,Bogra,453143,428279
2011-2012,Joypurhat,168032,169416
2011-2012,Dinajpur,610853,606407
2011-2012,Thakurgaon,294715,302191
2011-2012,Panchagar,213092,213724
2011-2012,Pabna,212419,182107
2011-2012,Sirajgonj,196168,168070
2011-2012,Rajshahi,180053,185350
2011-2012,Noagaon,492122,525477
2011-2012,Natore,185598,168278
2011-2012,Nawabgonj,113963,115168
2011-2012,Rangpur,358971,388317
2011-2012,Gaibandha,287735,294861
2011-2012,Kurigram,264862,254520
2011-2012,Nilphamari,259704,281714
2011-2012,Lalmonirhat,185921,193099
2012-2013,Bandarban,20309,20779
2012-2013,Chittagong,444559,474409
2012-2013,Cox's Bazar,181104,221200
2012-2013,Comilla,355550,338564
2012-2013,Chandpur,116604,90938
2012-2013,Brahmanbaria,153553,129766
2012-2013,Khagrachari,76139,91560
2012-2013,Noakhali,307792,234188
2012-2013,Lakshmipur,208670,187673
2012-2013,Feni,159379,182253
2012-2013,Rangamati,24009,24566
2012-2013,Sylhet,384516,335673
2012-2013,Maulavibazar,269407,285423
2012-2013,Sunamgonj,119109,115685
2012-2013,Hobigonj,212563,203932
2012-2013,Dhaka,47145,27797
2012-2013,Gazipur,105465,111453
2012-2013,Manikgonj,75574,33834
2012-2013,Munshigonj,37503,17653
2012-2013,Narayangonj,28774,16176
2012-2013,Narsingdi,103767,89870
2012-2013,Faridpur,144018,116323
2012-2013,Rajbari,104455,92862
2012-2013,Madaripur,64131,30782
2012-2013,Gopalgonj,68984,38251
2012-2013,Shariatpur,33715,17813
2012-2013,Jamalpur,256410,229982
2012-2013,Sherpur,227906,195386
2012-2013,Kishoregonj,177659,175864
2012-2013,Netrokona,342602,325183
2012-2013,Mymenshing,657360,575001
2012-2013,Tangail,321556,241394
2012-2013,Barisal,305291,223867
2012-2013,Jhalakathi,110676,65846
2012-2013,Perojpur,154297,112594
2012-2013,Bhola,426285,318800
2012-2013,Patuakhali,507816,361170
2012-2013,Barguna,245484,182560
2012-2013,Jessore,327742,317470
2012-2013,Jhenaidah,211624,230188
2012-2013,Magura,127442,121238
2012-2013,Narail,89060,68216
2012-2013,Khulna,228120,208540
2012-2013,Bagerhat,204756,163796
2012-2013,Satkhira,230873,250523
2012-2013,Khustia,184320,195512
2012-2013,Chuadanga,107457,119763
2012-2013,Meherpur,57694,60418
2012-2013,Bogra,449903,448188
2012-2013,Joypurhat,167731,180487
2012-2013,Pabna,214421,185035
2012-2013,Sirajgonj,191021,162765
2012-2013,Rajshahi,171087,196898
2012-2013,Noagaon,505651,570639
2012-2013,Natore,176687,155911
2012-2013,Nawabgonj,114240,119715
2012-2013,Dinajpur,607702,631882
2012-2013,Thakurgaon,289748,292226
2012-2013,Panchagar,232950,232573
2012-2013,Rangpur,385735,408861
2012-2013,Gaibandha,285862,292446
2012-2013,Kurigram,259593,242266
2012-2013,Nilphamari,269633,306655
2012-2013,Lalmonirhat,192073,197929
2013-2014,Bandarban,21579,23020
2013-2014,Chittagong,440237,477130
2013-2014,Cox's Bazar,178357,179658
2013-2014,Comilla,347072,326956
2013-2014,Chandpur,91446,70130
2013-2014,Brahmanbaria,141598,135267
2013-2014,Khagrachari,67204,78135
2013-2014,Noakhali,306912,235917
2013-2014,Lakshmipur,207166,194512
2013-2014,Feni,165594,196532
2013-2014,Rangamati,24542,27076
2013-2014,Sylhet,351171,356986
2013-2014,Maulavibazar,249572,263539
2013-2014,Sunamgonj,127218,122945
2013-2014,Hobigonj,207691,195879
2013-2014,Dhaka,39810,25676
2013-2014,Gazipur,104706,97502
2013-2014,Manikgonj,81215,39699
2013-2014,Munshigonj,34972,16474
2013-2014,Narayangonj,26321,13713
2013-2014,Narsingdi,101441,88303
2013-2014,Faridpur,159560,131450
2013-2014,Rajbari,105241,102145
2013-2014,Madaripur,55938,31882
2013-2014,Gopalgonj,43006,21450
2013-2014,Shariatpur,35293,19593
2013-2014,Jamalpur,265882,251298
2013-2014,Sherpur,207851,171891
2013-2014,Kishoregonj,181400,175719
2013-2014,Netrokona,346639,315133
2013-2014,Mymenshing,634684,563878
2013-2014,Tangail,318362,259119
2013-2014,Barisal,301184,245714
2013-2014,Jhalakathi,106325,62868
2013-2014,Perojpur,144566,102025
2013-2014,Bhola,435335,340666
2013-2014,Patuakhali,96849,108973
2013-2014,Barguna,58241,61566
2013-2014,Jessore,500714,350174
2013-2014,Jhenaidah,229226,172671
2013-2014,Magura,325438,317704
2013-2014,Narail,207138,251848
2013-2014,Khulna,134596,125844
2013-2014,Bagerhat,87304,63137
2013-2014,Satkhira,239487,250786
2013-2014,Khustia,201083,176418
2013-2014,Chuadanga,227391,273828
2013-2014,Meherpur,183789,188019
2013-2014,Bogra,455471,468936
2013-2014,Joypurhat,166687,186971
2013-2014,Panchagar,167416,189894
2013-2014,Pabna,504481,579316
2013-2014,Sirajgonj,181621,163500
2013-2014,Rajshahi,117370,118453
2013-2014,Noagaon,610979,652120
2013-2014,Natore,294511,322855
2013-2014,Nawabgonj,231901,246586
2013-2014,Dinajpur,195229,166802
2013-2014,Thakurgaon,189450,171958
2013-2014,Rangpur,384166,426409
2013-2014,Gaibandha,297344,305946
2013-2014,Kurigram,267999,240339
2013-2014,Nilphamari,260619,276585
2013-2014,Lalmonirhat,192218,205795
2014-2015,Bandarban,23294,23749
2014-2015,Chittagong,437253,495198
2014-2015,Cox's Bazar,179172,175192
2014-2015,Comilla,343998,292803
2014-2015,Chandpur,105836,71142
2014-2015,Brahmanbaria,154885,146601
2014-2015,Khagrachari,68359,78366
2014-2015,Noakhali,313536,248264
2014-2015,Lakshmipur,204593,202248
2014-2015,Feni,163459,187203
2014-2015,Rangamati,24900,27810
2014-2015,Sylhet,319540,275476
2014-2015,Maulavibazar,227241,227829
2014-2015,Sunamgonj,129819,110452
2014-2015,Hobigonj,227794,190599
2014-2015,Dhaka,31759,15604
2014-2015,Gazipur,103869,101542
2014-2015,Manikgonj,98733,52046
2014-2015,Munshigonj,47162,22886
2014-2015,Narayangonj,23098,12516
2014-2015,Narsingdi,97029,91527
2014-2015,Faridpur,128015,120064
2014-2015,Rajbari,91523,93275
2014-2015,Madaripur,60917,36743
2014-2015,Gopalgonj,54197,29274
2014-2015,Shariatpur,36215,21802
2014-2015,Jamalpur,207753,214042
2014-2015,Sherpur,205805,172290
2014-2015,Kishoregonj,184012,188211
2014-2015,Netrokona,304282,287835
2014-2015,Mymenshing,638900,636761
2014-2015,Tangail,306072,263074
2014-2015,Barisal,293618,230758
2014-2015,Jhalakathi,110082,77925
2014-2015,Perojpur,151121,115192
2014-2015,Bhola,425541,334501
2014-2015,Patuakhali,502777,358070
2014-2015,Barguna,229281,163600
2014-2015,Jessore,322696,338975
2014-2015,Jhenaidah,211994,241220
2014-2015,Magura,140570,145287
2014-2015,Narail,87207,71785
2014-2015,Khulna,247129,255133
2014-2015,Bagerhat,204315,180613
2014-2015,Satkhira,230416,279166
2014-2015,Khustia,196630,207546
2014-2015,Chuadanga,90259,99997
2014-2015,Meherpur,58717,70650
2014-2015,Bogra,448004,480483
2014-2015,Joypurhat,166204,188077
2014-2015,Panchagar,220886,190075
2014-2015,Pabna,218728,210269
2014-2015,Sirajgonj,170323,199696
2014-2015,Rajshahi,527641,605457
2014-2015,Noagaon,180457,174355
2014-2015,Natore,129945,137678
2014-2015,Nababgonj,616823,614367
2014-2015,Dinajpur,300796,339766
2014-2015,Thakurgaon,228474,250306
2014-2015,Rangpur,388989,435563
2014-2015,Gaibandha,310915,322175
2014-2015,Kurigram,256283,244592
2014-2015,Nilphamari,263626,302918
2014-2015,Lalmonirhat,191750,211545
