FinancialYear,DistrictName ,TotalArea(Acres),Production(Tons)
1977-1978,Rajshahi,1064535,492325
1977-1978,Dinajpur,805740,438385
1977-1978,Rangpur,1307100,717960
1977-1978,Bogra,600340,324910
1977-1978,Pabna,546730,259180
1977-1978,Khulna,960385,485360
1977-1978,Bakergonj,914520,441480
1977-1978,Patuakhali,607165,325435
1977-1978,Jessore,653325,307545
1977-1978,Kushtia,0,72810
1978-1979,Dhaka,734595,358310
1978-1979,Kishoregonj,505210,332815
1978-1979,Mymensingh,628310,361440
1978-1979,Jamalpur,455330,226225
1978-1979,Tangail,454415,216325
1978-1979,Faridpur,724100,273335
1978-1979,Chittagong,573240,371815
1978-1979,Chittagong H. T.,65440,46415
1978-1979,Noakhali,774130,435940
1978-1979,Comilla,898490,475120
1978-1979,Sylhet,947345,466480
1978-1979,Rajshahi,1061840,485010
1978-1979,Dinajpur,807740,427875
1978-1979,Rangpur,1289800,729100
1978-1979,Bogra,597820,344630
1978-1979,Pabna,535450,247910
1978-1979,Khulna,922595,475495
1978-1979,Bakergonj,917765,449260
1978-1979,Patuakhali,621120,311795
1978-1979,Jessore,660790,303740
1978-1979,Kushtia,171650,90055
1979-1980,Bandarban,0,0
1979-1980,Chittagong,608535,422545
1979-1980,Comilla,914885,482810
1979-1980,Khagrachari,0,0
1979-1980,Noakhali,776810,359670
1979-1980,Rangamati,69010,301500
1979-1980,Sylhet,1098550,492030
1979-1980,Dhaka,696170,332765
1979-1980,Faridpur,660130,206400
1979-1980,Jamalpur,499990,254870
1979-1980,Kishoregonj,583460,297855
1979-1980,Mymensingh,640370,360075
1979-1980,Tangail,437225,194375
1979-1980,Barisal,962920,418845
1979-1980,Jessore,645155,307630
1979-1980,Khulna,977685,495335
1979-1980,Kushtia,134585,73525
1979-1980,Patuakhali,659360,303785
1979-1980,Bogra,632710,349095
1979-1980,Dinajpur,850635,433165
1979-1980,Pabna,517465,196795
1979-1980,Rajshahi,1045610,471925
1979-1980,Rangpur,1341590,797575
1980-1981,Bandarban,0,0
1980-1981,Chittagong,554020,439475
1980-1981,Comilla,915980,505480
1980-1981,Khagrachari,0,0
1980-1981,Noakhali,747285,419850
1980-1981,Rangamati,60425,54790
1980-1981,Sylhet,1142490,568470
1980-1981,Dhaka,655420,337585
1980-1981,Faridpur,686535,193680
1980-1981,Jamalpur,537515,267115
1980-1981,Kishoregonj,580300,351570
1980-1981,Mymensingh,648460,379105
1980-1981,Tangail,454715,197820
1980-1981,Barisal,926545,455425
1980-1981,Jessore,668185,293055
1980-1981,Khulna,989470,508675
1980-1981,Kushtia,141075,75370
1980-1981,Patuakhali,685735,336925
1980-1981,Bogra,623220,389105
1980-1981,Dinajpur,884660,497605
1980-1981,Pabna,533160,197995
1980-1981,Rajshahi,1087435,515835
1980-1981,Rangpur,1395255,851910
1981-1982,Bandarban,0,0
1981-1982,Chittagong,551645,352320
1981-1982,Comilla,912050,441920
1981-1982,Khagrachari,0,0
1981-1982,Noakhali,717150,306850
1981-1982,Rangamati,87095,50380
1981-1982,Sylhet,1137590,509035
1981-1982,Dhaka,652610,315175
1981-1982,Faridpur,683590,210275
1981-1982,Jamalpur,535210,228110
1981-1982,Kishoregonj,577810,307220
1981-1982,Mymensingh,645685,312085
1981-1982,Tangail,452765,184640
1981-1982,Barisal,922570,405310
1981-1982,Jessore,665235,267640
1981-1982,Khulna,985225,465370
1981-1982,Kushtia,140470,68640
1981-1982,Patuakhali,682795,313075
1981-1982,Bogra,620545,351155
1981-1982,Dinajpur,880865,442845
1981-1982,Pabna,530875,227290
