FinancialYear,DistrictName ,TotalArea(Acres),Production(Tons)
1977-1978,Rajshahi,104650,95995
1977-1978,Dinajpur,14680,13960
1977-1978,Rangpur,58760,46265
1977-1978,Bogra,54570,55210
1977-1978,Pabna,38580,36735
1977-1978,Khulna,44885,32285
1977-1978,Bakergonj,118075,109495
1977-1978,Patuakhali,27450,24895
1977-1978,Jessore,23550,26600
1977-1978,Kushtia,3565,2755
1978-1979,Dhaka,254850,226625
1978-1979,Kishoregonj,413000,252095
1978-1979,Mymensingh,106840,70165
1978-1979,Jamalpur,67695,44890
1978-1979,Tangail,102000,80585
1978-1979,Faridpur,55530,56875
1978-1979,Chittagong,223760,216485
1978-1979,Chittagong H.T.,20745,15845
1978-1979,Noakhali,141545,119675
1978-1979,Comilla,241330,198465
1978-1979,Sylhet,558550,273905
1978-1979,Rajshahi,92665,70305
1978-1979,Dinajpur,12845,10820
1978-1979,Rangpur,80085,52765
1978-1979,Bogra,55670,61360
1978-1979,Pabna,37400,24760
1978-1979,Khulna,44510,30720
1978-1979,Bakergonj,88000,77995
1978-1979,Patuakhali,31770,24470
1978-1979,Jessore,17190,18060
1978-1979,Kushtia,3405,2480
1979-1980,Chittagong,240500,268215
1979-1980,Chittagong H.T.,21080,22730
1979-1980,Comilla,240530,244525
1979-1980,Noakhali,144480,207375
1979-1980,Sylhet,645000,460655
1979-1980,Dhaka,255180,259455
1979-1980,Faridpur,58250,60820
1979-1980,Jamalpur,75665,50020
1979-1980,Kishoregonj,444100,330900
1979-1980,Mymensingh,89055,70050
1979-1980,Tangail,100555,98850
1979-1980,Barisal,107090,99125
1979-1980,Jessore,20815,17465
1979-1980,Khulna,53360,38685
1979-1980,Kushtia,9180,4965
1979-1980,Patuakhali,27290,28615
1979-1980,Bogra,57445,64020
1979-1980,Dinajpur,17420,18455
1979-1980,Pabna,36880,28570
1979-1980,Rajshahi,95605,84205
1979-1980,Rangpur,79310,79010
1980-1981,Bandarban,0,0
1980-1981,Chittagong,244555,266795
1980-1981,Comilla,250375,241460
1980-1981,Khagrachari,0,0
1980-1981,Noakhali,121820,113400
1980-1981,Rangamati,19305,20260
1980-1981,Sylhet,655130,492330
1980-1981,Dhaka,260075,293350
1980-1981,Faridpur,68540,55525
1980-1981,Jamalpur,77665,61785
1980-1981,Kishoregonj,451445,373095
1980-1981,Mymensingh,113070,70725
1980-1981,Tangail,121315,130685
1980-1981,Barisal,104110,86730
1980-1981,Jessore,31005,25955
1980-1981,Khulna,53885,39145
1980-1981,Kushtia,5200,4020
1980-1981,Patuakhali,14185,10460
1980-1981,Bogra,58995,69935
1980-1981,Dinajpur,18155,20675
1980-1981,Pabna,41655,40840
1980-1981,Rajshahi,85165,96040
1980-1981,Rangpur,71735,75435
1981-1982,Bandarban,0,0
1981-1982,Chittagong,232815,278965
1981-1982,Comilla,265520,303775
1981-1982,Khagrachari,0,0
1981-1982,Noakhali,147160,130315
1981-1982,Rangamati,22265,23035
1981-1982,Sylhet,628755,389705
1981-1982,Dhaka,283635,315785
1981-1982,Faridpur,94310,104420
1981-1982,Jamalpur,109275,113315
1981-1982,Kishoregonj,454155,447775
1981-1982,Mymensingh,140590,112645
1981-1982,Tangail,179350,206430
1981-1982,Barisal,99075,96340
1981-1982,Jessore,59510,62275
1981-1982,Khulna,53545,40500
1981-1982,Kushtia,8840,7205
1981-1982,Patuakhali,19440,15770
1981-1982,Bogra,91830,108390
1981-1982,Dinajpur,23405,25545
1981-1982,Pabna,90595,100825
1981-1982,Rajshahi,112885,113360
1981-1982,Rangpur,101490,105770
1982-1983,Bandarban,0,0
1982-1983,Chittagong,280130,294330
1982-1983,Comilla,298795,330880
1982-1983,Khagrachari,0,0
1982-1983,Noakhali,171555,190305
1982-1983,Rangamati,26745,27885
1982-1983,Sylhet,626800,411585
1982-1983,Dhaka,319215,354745
1982-1983,Faridpur,107115,130740
1982-1983,Jamalpur,119425,129410
1982-1983,Kishoregonj,460990,424780
