FinancialYear,DistrictName ,TotalArea(Acres),Production(Tons)
2003-2004,Jamalpur,379810,503020
2003-2004,Kishoregonj,602050,749790
2003-2004,Mymensingh,476690,626800
2003-2004,Tangail,348950,515620
2003-2004,Barisal,187810,224590
2003-2004,Jessore,667170,968640
2003-2004,Khulna,294350,355860
2003-2004,Kushtia,193550,286780
2003-2004,Patuakhali,2120,1260
2003-2004,Bogra,678480,908890
2003-2004,Dinajpur,504990,640880
2003-2004,Pabna,426900,582690
2003-2004,Rajshahi,881360,1201000
2003-2004,Rangpur,871190,1147470
2004-2005,Bandarban,4699,5799
2004-2005,Chittagong,273854,313277
2004-2005,Comilla,832248,1157012
2004-2005,Khagrachari,13070,15744
2004-2005,Noakhali,249138,342958
2004-2005,Rangamati,17120,21817
2004-2005,Sylhet,878905,961232
2004-2005,Dhaka,608500,938662
2004-2005,Faridpur,459354,719617
2004-2005,Jamalpur,381963,519782
2004-2005,Kishoregonj,649351,902634
2004-2005,Mymensingh,486507,651081
2004-2005,Tangail,362201,532521
2004-2005,Barisal,220955,281120
2004-2005,Jessore,667629,1008922
2004-2005,Khulna,270302,334953
2004-2005,Kushtia,202920,301038
2004-2005,Patuakhali,2038,1437
2004-2005,Bogra,661263,901785
2004-2005,Dinajpur,557836,764233
2004-2005,Pabna,444306,657656
2004-2005,Rajshahi,886941,1274843
2004-2005,Rangpur,910930,1228937
2005-2006,Bandarban,4650,5023
2005-2006,Chittagong,288450,333753
2005-2006,Comilla,802980,1147205
2005-2006,Khagrachari,13130,15762
2005-2006,Noakhali,225865,294267
2005-2006,Rangamati,17345,19630
2005-2006,Sylhet,862160,934297
2005-2006,Dhaka,597595,862236
2005-2006,Faridpur,469215,745974
2005-2006,Jamalpur,391615,543871
2005-2006,Kishoregonj,712655,1029226
2005-2006,Mymensingh,488850,637748
2005-2006,Tangail,367250,552594
2005-2006,Barisal,237600,312835
2005-2006,Jessore,676805,1008640
2005-2006,Khulna,284240,374823
2005-2006,Kushtia,182550,269374
2005-2006,Patuakhali,1580,874
2005-2006,Bogra,650095,881387
2005-2006,Dinajpur,548980,782231
2005-2006,Pabna,434620,658775
2005-2006,Rajshahi,866455,1274558
2005-2006,Rangpur,922335,1290234
2006-2007,Bandarban,7370,8630
2006-2007,Chittagong,173745,188662
2006-2007,Cox's Bazar,98315,120848
2006-2007,Comilla,393100,557585
2006-2007,Chandpur,160920,205306
2006-2007,Brahmanbaria,242330,321416
2006-2007,Khagrachari,20915,27770
2006-2007,Noakhali,109930,156504
2006-2007,Lakshmipur,63610,86665
2006-2007,Feni,70650,94490
2006-2007,Rangamati,17755,20631
2006-2007,Sylhet,137470,111088
2006-2007,Maulavibazar,88880,83984
2006-2007,Sunamgonj,411590,411471
2006-2007,Hobigonj,225915,242283
2006-2007,Dhaka,119520,183144
2006-2007,Gazipur,137120,182560
2006-2007,Manikgonj,124770,178427
2006-2007,Munshigonj,56360,82274
2006-2007,Narayangonj,71235,92794
2006-2007,Narsingdi,124840,162292
2006-2007,Faridpur,74980,114975
2006-2007,Rajbari,46505,75533
2006-2007,Madaripur,98475,148538
2006-2007,Gopalgonj,172280,286069
2006-2007,Shariatpur,82080,114575
2006-2007,Jamalpur,266035,407950
2006-2007,Sherpur,184450,264829
2006-2007,Kishoregonj,366940,493375
2006-2007,Netrokona,373340,510685
2006-2007,Mymensingh,511440,661023
2006-2007,Tangail,375000,580080
2006-2007,Barisal,133230,175096
2006-2007,Jhalakathi,19565,25718
2006-2007,Perojpur,34940,44419
2006-2007,Bhola,102715,126807
2006-2007,Patuakhali,6095,3557
2006-2007,Barguna,605,377
2006-2007,Jessore,339140,591955
2006-2007,Jhenaidah,183745,293827
2006-2007,Magura,76215,116812
2006-2007,Narail,77610,112351
2006-2007,Khulna,85440,113713
2006-2007,Bagerhat,76710,89507
2006-2007,Satkhira,140060,216233
2006-2007,Khustia,71200,102880
2006-2007,Chuadanga,77735,116240
2006-2007,Meherpur,52040,80731
2006-2007,Bogra,464335,677991
2006-2007,Joypurhat,167375,273585
2006-2007,Dinajpur,397155,603367
2006-2007,Thakurgaon,129970,190419
2006-2007,Panchagar,81375,111872
2006-2007,Pabna,156535,261351
2006-2007,Sirajgonj,318920,514252
2006-2007,Rajshahi,178155,288762
2006-2007,Noagaon,429800,636438
2006-2007,Natore,166460,264712
2006-2007,Nawabgonj,108200,171529
2006-2007,Dinajpur,397155,603367
2006-2007,Thakurgaon,129970,190419
2006-2007,Panchagar,81375,111872
2006-2007,Rangpur,285785,429051
2006-2007,Gaibandha,252585,393009
2006-2007,Kurigram,209180,332317
2006-2007,Nilphamari,176525,253619
2006-2007,Lalmonirhat,114365,176102
2007-2008,Bandarban,10150,13528
2007-2008,Chittagong,189150,260882
2007-2008,Cox's Bazar,128250,176572
2007-2008,Comilla,396225,610166
2007-2008,Chandpur,168430,252391
2007-2008,Brahmanbaria,259980,411111
2007-2008,Khagrachari,23155,32335
2007-2008,Noakhali,134640,222981
2007-2008,Lakshmipur,64445,100273
2007-2008,Feni,85410,129323
2007-2008,Rangamati,16395,23936
2007-2008,Sylhet,158200,153247
2007-2008,Maulavibazar,98225,115819
2007-2008,Sunamgonj,454845,544804
2007-2008,Hobigonj,252850,385975
2007-2008,Dhaka,130385,233939
2007-2008,Gazipur,144880,208434
2007-2008,Manikgonj,129525,218504
2007-2008,Munshigonj,61855,98741
2007-2008,Narayangonj,83030,129390
2007-2008,Narsingdi,132465,207669
2007-2008,Faridpur,89370,142230
2007-2008,Rajbari,51250,83916
2007-2008,Madaripur,95110,151244
2007-2008,Gopalgonj,183925,325191
2007-2008,Shariatpur,81170,127232
2007-2008,Jamalpur,277680,449677
2007-2008,Sherpur,192570,300939
2007-2008,Kishoregonj,399720,679546
2007-2008,Netrokona,401280,618431
2007-2008,Mymensingh,594160,812189
2007-2008,Tangail,401230,672851
2007-2008,Barisal,153150,229620
2007-2008,Jhalakathi,21335,29727
2007-2008,Perojpur,42095,58223
2007-2008,Bhola,121205,170357
2007-2008,Jessore,374070,584947
2007-2008,Jhenaidah,213905,264271
2007-2008,Magura,89250,124394
2007-2008,Narail,82500,144380
2007-2008,Khulna,95835,149530
2007-2008,Bagerhat,87870,115500
2007-2008,Satkhira,158255,234407
2007-2008,Khustia,81000,129268
2007-2008,Chuadanga,88510,141753
2007-2008,Meherpur,61095,100164
2007-2008,Patuakhali,8420,5542
2007-2008,Barguna,815,1007
2007-2008,Bogra,469185,759711
2007-2008,Joypurhat,169670,294952
2007-2008,Dinajpur,417325,670664
2007-2008,Thakurgaon,139310,257018
2007-2008,Panchagar,98140,157844
2007-2008,Pabna,172335,300708
2007-2008,Sirajgonj,322270,555424
2007-2008,Rajshahi,193860,341679
2007-2008,Noagaon,456955,775270
2007-2008,Natore,164465,304231
2007-2008,Nawabgonj,127260,206666
2007-2008,Rangpur,299335,472357
2007-2008,Gaibandha,260430,437799
2007-2008,Kurigram,216485,345137
2007-2008,Nilphamari,184055,295254
2007-2008,Lalmonirhat,125570,210511
2008-2009,Bandarban,10226,12501
2008-2009,Chittagong,158431,209701
2008-2009,Cox's Bazar,124899,157830
2008-2009,Comilla,397944,598873
2008-2009,Chandpur,164888,229990
2008-2009,Brahmanbaria,267327,417369
2008-2009,Khagrachari,24090,28557
2008-2009,Noakhali,133128,214076
2008-2009,Lakshmipur,64128,97952
2008-2009,Feni,78201,117168
2008-2009,Rangamati,17017,25032
2008-2009,Sylhet,171338,155751
2008-2009,Maulavibazar,104705,126273
2008-2009,Sunamgonj,463146,529063
2008-2009,Hobigonj,251463,363905
2008-2009,Dhaka,126004,217990
2008-2009,Gazipur,146044,217819
2008-2009,Manikgonj,135248,212350
2008-2009,Munshigonj,57086,86756
2008-2009,Narayangonj,78650,118218
2008-2009,Narsingdi,137572,212482
2008-2009,Faridpur,94108,156931
2008-2009,Rajbari,55460,83410
2008-2009,Madaripur,97753,158186
2008-2009,Gopalgonj,184092,331198
2008-2009,Shariatpur,82236,133527
2008-2009,Jamalpur,273063,435651
2008-2009,Sherpur,189408,289593
2008-2009,Kishoregonj,422098,679655
2008-2009,Netrokona,422466,651599
2008-2009,Mymensingh,595874,801190
2008-2009,Tangail,407099,637268
2008-2009,Barisal,154387,232363
2008-2009,Jhalakathi,22214,31514
2008-2009,Perojpur,47984,64524
2008-2009,Bhola,134495,191237
2008-2009,Jessore,375624,600007
2008-2009,Jhenaidah,225505,308909
2008-2009,Magura,101738,161483
2008-2009,Narail,90162,146614
2008-2009,Khulna,98333,139626
2008-2009,Bagerhat,95134,140389
2008-2009,Satkhira,166257,238982
2008-2009,Khustia,85519,138365
2008-2009,Chuadanga,104716,167878
2008-2009,Meherpur,65806,107397
2008-2009,Patuakhali,7968,5186
2008-2009,Barguna,776,938
2008-2009,Bogra,466761,782885
2008-2009,Joypurhat,171860,278439
2008-2009,Dinajpur,435497,671440
2008-2009,Thakurgaon,168678,283786
2008-2009,Panchagar,114892,190344
2008-2009,Pabna,173530,286172
2008-2009,Sirajgonj,333756,537738
2008-2009,Rajshahi,195615,326367
2008-2009,Noagaon,455670,758334
2008-2009,Natore,172189,298569
2008-2009,Nawabgonj,125730,197015
2008-2009,Rangpur,304290,483725
2008-2009,Gaibandha,276160,443945
2008-2009,Kurigram,221395,353901
2008-2009,Nilphamari,188666,310839
2008-2009,Lalmonirhat,138120,222266
2009-2010,Bandarban,7811,10864
2009-2010,Chittagong,169489,233924
2009-2010,Cox's Bazar,125575,160382
2009-2010,Comilla,407809,640814
2009-2010,Chandpur,162475,270438
2009-2010,Brahmanbaria,269765,402121
2009-2010,Khagrachari,27888,33551
2009-2010,Noakhali,142813,219398
2009-2010,Lakshmipur,72707,103381
2009-2010,Feni,78097,102311
2009-2010,Rangamati,18186,27491
2009-2010,Sylhet,144976,168841
2009-2010,Maulavibazar,98999,130035
2009-2010,Sunamgonj,276677,353393
2009-2010,Hobigonj,317233,483918
2009-2010,Dhaka,124904,203305
2009-2010,Gazipur,144801,247999
2009-2010,Manikgonj,139618,242134
2009-2010,Munshigonj,64161,109687
2009-2010,Narayangonj,73316,111879
2009-2010,Narsingdi,146935,229264
2009-2010,Faridpur,95283,149965
2009-2010,Rajbari,48934,78921
2009-2010,Madaripur,111105,175041
2009-2010,Gopalgonj,192535,330598
2009-2010,Shariatpur,76820,115361
2009-2010,Jamalpur,324229,518931
2009-2010,Sherpur,212656,334072
2009-2010,Kishoregonj,388959,621424
2009-2010,Netrokona,384419,580298
2009-2010,Mymensingh,637360,908157
2009-2010,Tangail,406308,645116
2009-2010,Barisal,157386,220620
2009-2010,Jhalakathi,20645,31716
2009-2010,Perojpur,46870,65626
2009-2010,Bhola,135122,180951
2009-2010,Jessore,386873,627644
2009-2010,Jhenaidah,225229,356080
2009-2010,Magura,96016,140582
2009-2010,Narail,98028,171183
2009-2010,Khulna,106157,158228
2009-2010,Bagerhat,112334,165431
2009-2010,Satkhira,179856,263082
2009-2010,Khustia,76753,124432
2009-2010,Chuadanga,105278,174804
2009-2010,Meherpur,63552,110056
2009-2010,Patuakhali,11282,10622
2009-2010,Barguna,1049,999
2009-2010,Bogra,463370,747627
2009-2010,Joypurhat,175081,290514
2009-2010,Dinajpur,435378,665415
2009-2010,Thakurgaon,158756,272946
2009-2010,Panchagar,114865,182305
2009-2010,Pabna,169054,267512
2009-2010,Sirajgonj,332161,515026
2009-2010,Rajshahi,176055,272891
2009-2010,Noagaon,459985,768087
2009-2010,Natore,163249,287990
2009-2010,Nawabgonj,120874,168530
2009-2010,Rangpur,314804,515483
2009-2010,Gaibandha,284275,466204
2009-2010,Kurigram,231721,378907
2009-2010,Nilphamari,187941,301573
2009-2010,Lalmonirhat,128318,212876
2010-2011,Bandarban,8142,9459
2010-2011,Chittagong,171963,233916
2010-2011,Cox's Bazar,125430,165411
2010-2011,Comilla,401849,632742
2010-2011,Chandpur,164887,258904
2010-2011,Brahmanbaria,270043,439584
2010-2011,Khagrachari,25722,36266
2010-2011,Noakhali,144502,228637
2010-2011,Lakshmipur,71336,104752
2010-2011,Feni,77123,109236
2010-2011,Rangamati,20376,30774
2010-2011,Sylhet,160776,195290
2010-2011,Maulavibazar,105247,131539
2010-2011,Sunamgonj,471144,657326
2010-2011,Hobigonj,248031,335824
2010-2011,Dhaka,126255,226879
2010-2011,Gazipur,142772,220675
2010-2011,Manikgonj,140046,224307
2010-2011,Munshigonj,59456,90154
2010-2011,Narayangonj,73221,118127
2010-2011,Narsingdi,133399,223980
2010-2011,Faridpur,93556,156985
2010-2011,Rajbari,47804,80974
2010-2011,Madaripur,109342,182732
2010-2011,Gopalgonj,188352,352866
2010-2011,Shariatpur,75555,128536
2010-2011,Jamalpur,315824,516448
2010-2011,Sherpur,212238,372775
2010-2011,Kishoregonj,430006,731186
2010-2011,Netrokona,400383,657433
2010-2011,Mymensingh,637921,925937
2010-2011,Tangail,407347,652732
2010-2011,Barisal,149550,227852
2010-2011,Jhalakathi,22242,28587
2010-2011,Perojpur,49695,68965
2010-2011,Bhola,138907,195826
2010-2011,Jessore,384554,647016
2010-2011,Jhenaidah,221346,348935
2010-2011,Magura,96687,157416
2010-2011,Narail,96483,156165
2010-2011,Khulna,107614,162899
2010-2011,Bagerhat,112587,150872
2010-2011,Satkhira,180942,260274
2010-2011,Khustia,80184,133659
2010-2011,Chuadanga,102732,157103
2010-2011,Meherpur,63174,93932
2010-2011,Patuakhali,10929,11456
2010-2011,Barguna,1085,959
2010-2011,Bogra,461051,696400
2010-2011,Joypurhat,172478,294826
2010-2011,Dinajpur,435223,667421
2010-2011,Thakurgaon,158297,267893
2010-2011,Panchagar,113231,183316
2010-2011,Pabna,168127,287189
2010-2011,Sirajgonj,332689,582944
2010-2011,Rajshahi,180307,292510
2010-2011,Noagaon,461448,796884
2010-2011,Natore,151044,288242
2010-2011,Nawabgonj,124795,190666
2010-2011,Rangpur,316099,480287
2010-2011,Gaibandha,284219,441922
2010-2011,Kurigram,231337,379119
2010-2011,Nilphamari,189918,309887
2010-2011,Lalmonirhat,128956,222972
2011-2012,Bandarban,8182,10753
2011-2012,Chittagong,166150,227322
2011-2012,Cox's Bazar,123621,168045
2011-2012,Comilla,401980,623052
2011-2012,Chandpur,162771,254239
2011-2012,Brahmanbaria,272317,434775
2011-2012,Khagrachari,26134,35650
2011-2012,Noakhali,146257,229450
2011-2012,Lakshmipur,71332,105522
2011-2012,Feni,85113,119962
2011-2012,Rangamati,20016,27126
2011-2012,Sylhet,167393,190093
2011-2012,Maulavibazar,105827,128647
2011-2012,Sunamgonj,466510,643271
2011-2012,Hobigonj,253281,353705
2011-2012,Dhaka,120156,204100
2011-2012,Gazipur,147028,250778
2011-2012,Manikgonj,146672,255207
2011-2012,Munshigonj,60364,96933
2011-2012,Narayangonj,72692,125444
2011-2012,Narsingdi,132723,220941
2011-2012,Faridpur,90667,172527
2011-2012,Rajbari,46531,77534
2011-2012,Madaripur,104600,181402
2011-2012,Gopalgonj,192005,372428
2011-2012,Shariatpur,76529,131917
2011-2012,Jamalpur,315809,514704
2011-2012,Sherpur,216118,364441
2011-2012,Kishoregonj,422093,704645
2011-2012,Netrokona,394942,638865
2011-2012,Mymensingh,646190,966869
2011-2012,Tangail,412733,658508
2011-2012,Barisal,152309,243112
2011-2012,Jhalakathi,22555,28390
2011-2012,Perojpur,49041,63243
2011-2012,Bhola,139325,194221
2011-2012,Jessore,385042,649269
2011-2012,Jhenaidah,230025,378627
2011-2012,Magura,101500,158388
2011-2012,Narail,91540,159371
2011-2012,Khulna,118943,171587
2011-2012,Bagerhat,115417,157143
2011-2012,Satkhira,182071,265357
2011-2012,Khustia,84182,140213
2011-2012,Chuadanga,99496,154396
2011-2012,Meherpur,61956,95044
2011-2012,Patuakhali,9542,9494
2011-2012,Barguna,1084,1037
2011-2012,Bogra,458069,692543
2011-2012,Joypurhat,172028,300424
2011-2012,Dinajpur,430005,660743
2011-2012,Thakurgaon,156902,260918
2011-2012,Panchagar,115564,179736
2011-2012,Pabna,169421,284993
2011-2012,Sirajgonj,335367,580508
2011-2012,Rajshahi,189045,311571
2011-2012,Noagaon,469541,787873
2011-2012,Natore,154186,298320
2011-2012,Nawabgonj,131407,202009
2011-2012,Rangpur,326938,497748
2011-2012,Gaibandha,292282,440969
2011-2012,Kurigram,235599,371557
2011-2012,Nilphamari,199055,314327
2011-2012,Lalmonirhat,131879,217227
2012-2013,Bandarban,7974,9650
2012-2013,Chittagong,165897,251413
2012-2013,Cox's Bazar,122233,169475
2012-2013,Comilla,395077,635359
2012-2013,Chandpur,161352,233621
2012-2013,Brahmanbaria,264131,383782
2012-2013,Khagrachari,25383,33326
2012-2013,Noakhali,144759,232474
2012-2013,Lakshmipur,74241,121887
2012-2013,Feni,82007,121705
2012-2013,Rangamati,11832,16623
2012-2013,Sylhet,167275,206323
2012-2013,Maulavibazar,115537,135954
2012-2013,Sunamgonj,470806,641455
2012-2013,Hobigonj,252774,346432
2012-2013,Dhaka,117168,190647
2012-2013,Gazipur,147644,237235
2012-2013,Manikgonj,148279,255036
2012-2013,Munshigonj,60783,96940
2012-2013,Narayangonj,73421,119075
2012-2013,Narsingdi,132958,228106
2012-2013,Faridpur,79710,145573
2012-2013,Rajbari,42257,70020
2012-2013,Madaripur,100243,168079
2012-2013,Gopalgonj,189748,357827
2012-2013,Shariatpur,68602,115805
2012-2013,Jamalpur,310802,529120
2012-2013,Sherpur,216200,346450
2012-2013,Kishoregonj,417272,706897
2012-2013,Netrokona,412627,718844
2012-2013,Mymensingh,647526,936015
2012-2013,Tangail,404361,658469
2012-2013,Barisal,150147,241504
2012-2013,Jhalakathi,22414,30140
2012-2013,Perojpur,47508,60771
2012-2013,Bhola,136307,202303
2012-2013,Patuakhali,7760,7746
2012-2013,Barguna,658,812
2012-2013,Jessore,381693,644883
2012-2013,Jhenaidah,217579,364831
2012-2013,Magura,91789,138430
2012-2013,Narail,87128,146989
2012-2013,Khulna,115081,172068
2012-2013,Bagerhat,113653,172397
2012-2013,Satkhira,178811,270255
2012-2013,Khustia,88576,154365
2012-2013,Chuadanga,96867,149012
2012-2013,Meherpur,55292,96182
2012-2013,Bogra,454736,730444
2012-2013,Joypurhat,174505,310277
2012-2013,Pabna,174473,298243
2012-2013,Sirajgonj,339588,571337
2012-2013,Rajshahi,184627,302833
2012-2013,Noagaon,476744,812180
2012-2013,Natore,143397,247123
2012-2013,Nawabgonj,124832,198404
2012-2013,Dinajpur,425555,696518
2012-2013,Thakurgaon,155083,218564
2012-2013,Panchagar,106179,171096
2012-2013,Rangpur,326753,537696
2012-2013,Gaibandha,290998,479830
2012-2013,Kurigram,230262,393727
2012-2013,Nilphamari,200793,319184
2012-2013,Lalmonirhat,131905,218392
2013-2014,Bandarban,8761,10621
2013-2014,Chittagong,156762,213771
2013-2014,Cox's Bazar,123297,177172
2013-2014,Comilla,397271,615555
2013-2014,Chandpur,158722,210305
2013-2014,Brahmanbaria,265204,404163
2013-2014,Khagrachari,25280,34202
2013-2014,Noakhali,152793,259655
2013-2014,Lakshmipur,68304,114550
2013-2014,Feni,81950,121469
2013-2014,Rangamati,18759,30629
2013-2014,Sylhet,170795,199833
2013-2014,Maulavibazar,118060,146683
2013-2014,Sunamgonj,460322,649667
2013-2014,Hobigonj,253443,335085
2013-2014,Dhaka,116425,200561
2013-2014,Gazipur,149429,228161
2013-2014,Manikgonj,146376,256514
2013-2014,Munshigonj,61263,100077
2013-2014,Narayangonj,69119,117576
2013-2014,Narsingdi,132769,205812
2013-2014,Faridpur,79968,139741
2013-2014,Rajbari,41014,68464
2013-2014,Madaripur,99970,164460
2013-2014,Gopalgonj,190461,353127
2013-2014,Shariatpur,72567,126113
2013-2014,Jamalpur,318134,506840
2013-2014,Sherpur,215189,353366
2013-2014,Kishoregonj,411155,673689
2013-2014,Netrokona,431989,707864
2013-2014,Mymensingh,646955,1076409
2013-2014,Tangail,410639,682506
2013-2014,Barisal,150047,226890
2013-2014,Jhalakathi,27694,44775
2013-2014,Perojpur,48557,70660
2013-2014,Bhola,131006,171108
2013-2014,Patuakhali,6688,6380
2013-2014,Barguna,1077,1277
2013-2014,Jessore,392454,654035
2013-2014,Jhenaidah,216308,364891
2013-2014,Magura,96647,154191
2013-2014,Narail,85464,121432
2013-2014,Khulna,121589,198721
2013-2014,Bagerhat,117362,178202
2013-2014,Satkhira,186159,287339
2013-2014,Khustia,87037,142749
2013-2014,Chuadanga,101707,150362
2013-2014,Meherpur,53849,86868
2013-2014,Bogra,461593,756043
2013-2014,Joypurhat,170458,313101
2013-2014,Pabna,173743,294646
2013-2014,Sirajgonj,342373,569664
2013-2014,Rajshahi,180726,286351
2013-2014,Noagaon,476060,863446
2013-2014,Natore,139970,249564
2013-2014,Nawabgonj,125329,196834
2013-2014,Dinajpur,431169,717878
2013-2014,Thakurgaon,156955,244862
2013-2014,Panchagar,99324,153027
2013-2014,Rangpur,331530,572403
2013-2014,Gaibandha,295808,484925
2013-2014,Kurigram,239508,410475
2013-2014,Nilphamari,204352,331808
2013-2014,Lalmonirhat,131646,217658
2014-2015,Bandarban,10978,14829
2014-2015,Chittagong,163493,230000
2014-2015,Cox's Bazar,122336,168002
2014-2015,Comilla,391810,576496
2014-2015,Chandpur,159197,221831
2014-2015,Brahmanbaria,268431,417043
2014-2015,Khagrachari,25537,35101
2014-2015,Noakhali,147811,262472
2014-2015,Lakshmipur,65474,100316
2014-2015,Feni,77898,111634
2014-2015,Rangamati,18786,29896
2014-2015,Sylhet,179747,212738
2014-2015,Maulavibazar,124905,165083
2014-2015,Sunamgonj,476190,695856
2014-2015,Hobigonj,278283,405436
2014-2015,Dhaka,115814,205638
2014-2015,Gazipur,149509,231718
2014-2015,Manikgonj,144337,265448
2014-2015,Munshigonj,61265,104440
2014-2015,Narayangonj,66127,101838
2014-2015,Narsingdi,125561,196927
2014-2015,Faridpur,72886,120612
2014-2015,Rajbari,43161,74343
2014-2015,Madaripur,96993,166069
2014-2015,Gopalgonj,199907,369965
2014-2015,Shariatpur,67611,118593
2014-2015,Kishoregonj,322547,503034
2014-2015,Tangail,220475,349133
2014-2015,Jamalpur,439222,702751
2014-2015,Sherpur,654973,1080151
2014-2015,Netrokona,418797,729912
2014-2015,Mymensingh,3619419,6034268
2014-2015,Barisal,23398,36356
2014-2015,Jhalakathi,52295,79712
2014-2015,Perojpur,139313,173804
2014-2015,Bhola,5327,4842
2014-2015,Patuakhali,726,851
2014-2015,Barguna,361086,499126
2014-2015,Jessore,214866,368316
2014-2015,Jhenaidah,94172,148980
2014-2015,Magura,92021,148926
2014-2015,Narail,118687,178971
2014-2015,Khulna,121130,190876
2014-2015,Bagerhat,185172,293943
2014-2015,Satkhira,90214,141938
2014-2015,Khustia,10978,14829
2014-2015,Chuadanga,96880,147069
2014-2015,Meherpur,53706,92927
2014-2015,Bogra,469850,688437
2014-2015,Joypurhat,170996,283056
2014-2015,Pabna,171494,277632
2014-2015,Sirajgonj,343735,591063
2014-2015,Rajshahi,179050,298819
2014-2015,Noagaon,500960,844183
2014-2015,Natore,136334,253141
2014-2015,Nawabgonj,120452,182010
2014-2015,Dinajpur,442342,735364
2014-2015,Thakurgaon,157505,250353
2014-2015,Panchagar,101897,168532
2014-2015,Rangpur,333970,605244
2014-2015,Gaibandha,307024,480520
2014-2015,Kurigram,249683,416497
2014-2015,Nilphamari,203087,359308
2014-2015,Lalmonirhat,125607,204704
