DistrictName ,FinancialYear,TotalArea(Acres),Production(Tons)
Chittagong,1977-1978,219450,208665
Chittagong,1978-1979,223760,216485
Chittagong,1979-1980,240500,268215
Chittagong,1980-1981,244555,266795
Chittagong,1981-1982,232815,278965
Chittagong,1982-1983,280130,294330
Chittagong,1983-1984,275430,303560
Chittagong,1984-1985,320695,292210
Chittagong,1985-1986,304860,292510
Chittagong,1986-1987,291045,284355
Chittagong,1987-1988,262853,264849
Chittagong,1988-1989,274660,266950
Chittagong,1989-1990,286370,290260
Chittagong,1990-1991,298570,196620
Chittagong,1991-1992,305820,293840
Chittagong,1992-1993,307400,282470
Chittagong,1993-1994,278530,271820
Chittagong,1994-1995,276670,269000
Chittagong,1995-1996,277930,300320
Chittagong,1996-1997,264100,251090
Chittagong,1997-1998,295450,289490
Chittagong,1998-1999,352130,376170
Chittagong,1999-2000,328010,362880
Chittagong,2000-2001,327860,360410
Chittagong,2001-2002,272930,307470
Chittagong,2002-2003,276510,336580
Chittagong,2003-2004,280980,322320
Chittagong,2004-2005,273854,313277
Chittagong,2005-2006,288450,333753
Chittagong,2006-2007,173745,188662
Chittagong,2007-2008,189150,260882
Chittagong,2008-2009,158431,209701
Chittagong,2009-2010,169489,233924
Chittagong,2010-2011,171963,233916
Chittagong,2011-2012,166150,227322
Chittagong,2012-2013,165897,251413
Chittagong,2013-2014,156762,213771
Chittagong,2014-2015,163493,230000
Chittagong H.T.,1969-1970,31520,30090
Chittagong H.T.,1970-1971,29190,25340
Chittagong H.T.,1971-1972,21365,17020
Chittagong H.T.,1972-1973,19600,15235
Chittagong H.T.,1973-1974,19590,16605
Chittagong H.T.,1974-1975,25670,21865
Chittagong H.T.,1975-1976,20650,14995
Chittagong H.T.,1976-1977,28050,24145
Chittagong H.T.,1977-1978,25220,20100
Chittagong H.T.,1978-1979,20745,15845
Chittagong H.T.,1979-1980,21080,22730
Chuadanga,2006-2007,77735,116240
Chuadanga,2007-2008,88510,141753
Chuadanga,2008-2009,104716,167878
Chuadanga,2009-2010,105278,174804
Chuadanga,2010-2011,102732,157103
Chuadanga,2011-2012,99496,154396
Chuadanga,2012-2013,96867,149012
Chuadanga,2013-2014,101707,150362
Chuadanga,2014-2015,96880,147069
Comilla,1969-1970,168750,162470
Comilla,1970-1971,187455,184035
Comilla,1971-1972,167470,137410
Comilla,1972-1973,174750,150820
Comilla,1973-1974,241720,227295
Comilla,1974-1975,248565,220010
Comilla,1975-1976,239990,218920
Comilla,1976-1977,208290,177030
Comilla,1977-1978,208600,187195
Comilla,1978-1979,241330,198465
Comilla,1979-1980,240530,244525
Comilla,1980-1981,250375,241460
Comilla,1981-1982,265520,303775
Comilla,1982-1983,298795,330880
Comilla,1983-1984,280435,283000
Comilla,1984-1985,283695,317739
Comilla,1985-1986,288665,302109
Comilla,1986-1987,283025,304015
Comilla,1987-1988,395225,436746
Comilla,1988-1989,523485,577150
Comilla,1989-1990,520140,592700
Comilla,1990-1991,499010,555360
Comilla,1991-1992,543480,615970
Comilla,1992-1993,561330,610430
Comilla,1993-1994,551140,630450
Comilla,1994-1995,566320,570770
Comilla,1995-1996,578250,613730
Comilla,1996-1997,584280,636150
Comilla,1997-1998,553210,638610
Comilla,1998-1999,634390,802910
Comilla,1999-2000,658750,849410
Comilla,2000-2001,675310,876830
Comilla,2001-2002,743890,965880
Comilla,2002-2003,819520,1031060
Comilla,2003-2004,828660,1087310
Comilla,2004-2005,832248,1157012
Comilla,2005-2006,802980,1147205
Comilla,2006-2007,393100,557585
Comilla,2007-2008,396225,610166
Comilla,2008-2009,397944,598873
Comilla,2009-2010,407809,640814
Comilla,2010-2011,401849,632742
Comilla,2011-2012,401980,623052
Comilla,2012-2013,395077,635359
Comilla,2013-2014,397271,615555
Comilla,2014-2015,391810,576496
Cox's Bazar,2006-2007,98315,120848
Cox's Bazar,2007-2008,128250,176572
Cox's Bazar,2008-2009,124899,157830
Cox's Bazar,2009-2010,125575,160382
Cox's Bazar,2010-2011,125430,165411
Cox's Bazar,2011-2012,123621,168045
Cox's Bazar,2012-2013,122233,169475
Cox's Bazar,2013-2014,123297,177172
Cox's Bazar,2014-2015,122336,168002
Dhaka,1969-1970,178455,161180
Dhaka,1970-1971,179600,167805
Dhaka,1971-1972,186300,177115
Dhaka,1972-1973,206735,211130
Dhaka,1973-1974,205780,215770
Dhaka,1974-1975,240985,191975
Dhaka,1975-1976,231935,216165
Dhaka,1976-1977,233740,203730
Dhaka,1977-1978,238700,214495
Dhaka,1978-1979,254850,226625
Dhaka,1979-1980,255180,259455
Dhaka,1980-1981,260075,293350
Dhaka,1981-1982,283635,315785
Dhaka,1982-1983,319215,354745
Dhaka,1983-1984,269945,296485
Dhaka,1984-1985,273800,298560
Dhaka,1985-1986,241085,263778
Dhaka,1986-1987,261495,309850
Dhaka,1987-1988,345988,330768
Dhaka,1988-1989,440640,430850
Dhaka,1989-1990,482740,512220
Dhaka,1990-1991,499730,580800
Dhaka,1991-1992,485920,566960
Dhaka,1992-1993,502710,552590
Dhaka,1993-1994,487660,544810
Dhaka,1994-1995,464590,481820
Dhaka,1995-1996,477460,535750
Dhaka,1996-1997,483470,552780
Dhaka,1997-1998,497840,608920
Dhaka,1998-1999,504440,678180
Dhaka,1999-2000,573180,736570
Dhaka,2000-2001,583020,809320
Dhaka,2001-2002,585640,849220
Dhaka,2002-2003,604270,863620
Dhaka,2003-2004,597900,866170
Dhaka,2004-2005,608500,938662
Dhaka,2005-2006,597595,862236
Dhaka,2006-2007,119520,183144
Dhaka,2007-2008,130385,233939
Dhaka,2008-2009,126004,217990
Dhaka,2009-2010,124904,203305
Dhaka,2010-2011,126255,226879
Dhaka,2011-2012,120156,204100
Dhaka,2012-2013,117168,190647
Dhaka,2013-2014,116425,200561
Dhaka,2014-2015,115814,205638
Dinajpur,1969-1970,6995,6800
Dinajpur,1970-1971,13350,9220
Dinajpur,1971-1972,3685,3295
Dinajpur,1972-1973,11500,13975
Dinajpur,1973-1974,13195,14065
Dinajpur,1974-1975,21965,20535
Dinajpur,1975-1976,11870,10235
Dinajpur,1976-1977,12485,11215
Dinajpur,1977-1978,14680,13960
Dinajpur,1978-1979,12845,10820
Dinajpur,1979-1980,17420,18455
Dinajpur,1980-1981,18155,20675
Dinajpur,1981-1982,23405,25545
Dinajpur,1982-1983,28185,31225
Dinajpur,1983-1984,30850,34625
Dinajpur,1984-1985,34930,38405
Dinajpur,1985-1986,57325,52585
Dinajpur,1986-1987,74195,71300
Dinajpur,1987-1988,86615,87211
Dinajpur,1988-1989,151090,142895
Dinajpur,1989-1990,155710,166120
Dinajpur,1990-1991,152550,169890
Dinajpur,1991-1992,180480,204730
Dinajpur,1992-1993,149300,172400
Dinajpur,1993-1994,223960,267210
Dinajpur,1994-1995,268070,272140
Dinajpur,1995-1996,282310,293840
Dinajpur,1996-1997,271920,290350
Dinajpur,1997-1998,281960,313190
Dinajpur,1998-1999,463010,510360
Dinajpur,1999-2000,493730,547180
Dinajpur,2000-2001,492910,613610
Dinajpur,2001-2002,497490,581610
Dinajpur,2002-2003,487880,581670
Dinajpur,2003-2004,504990,640880
Dinajpur,2004-2005,557836,764233
Dinajpur,2005-2006,548980,782231
Dinajpur,2006-2007,397155,603367
Dinajpur,2006-2007,397155,603367
Dinajpur,2007-2008,417325,670664
Dinajpur,2008-2009,435497,671440
Dinajpur,2009-2010,435378,665415
Dinajpur,2010-2011,435223,667421
Dinajpur,2011-2012,430005,660743
Dinajpur,2012-2013,425555,696518
Dinajpur,2013-2014,431169,717878
Dinajpur,2014-2015,442342,735364
Faridpur,1969-1970,31695,31510
Faridpur,1970-1971,46300,49885
Faridpur,1971-1972,43760,42400
Faridpur,1972-1973,57335,67260
Faridpur,1973-1974,60540,70700
Faridpur,1974-1975,73305,67705
