DistrictName,Financial Year,TotalArea(Acres),TotalProduction(Tons)
Kushtia,2014-2015,87950,87903
Lakshmipur,2006-2007,64305,45088
Lakshmipur,2007-2008,77890,47022
Lakshmipur,2008-2009,78770,49669
Lakshmipur,2009-2010,70437,44473
Lakshmipur,2010-2011,87452,56982
Lakshmipur,2011-2012,87488,61901
Lakshmipur,2012-2013,84594,62770
Lakshmipur,2013-2014,82454,57894
Lakshmipur,2014-2015,80036,57799
Lalmonirhat,2006-2007,0,0
Lalmonirhat,2007-2008,0,0
Lalmonirhat,2008-2009,180,154
Lalmonirhat,2009-2010,0,0
Lalmonirhat,2010-2011,0,0
Lalmonirhat,2011-2012,0,0
Lalmonirhat,2012-2013,0,0
Lalmonirhat,2013-2014,0,0
Lalmonirhat,2014-2015,0,0
Madaripur,2006-2007,20350,6707
Madaripur,2007-2008,5590,2064
Madaripur,2008-2009,8535,3858
Madaripur,2009-2010,9877,3998
Madaripur,2010-2011,6389,2317
Madaripur,2011-2012,4742,1784
Madaripur,2012-2013,5394,1998
Madaripur,2013-2014,5650,3341
Madaripur,2014-2015,3755,2031
Magura,2006-2007,13310,9135
Magura,2007-2008,8650,5490
Magura,2008-2009,14940,9858
Magura,2009-2010,16729,13751
Magura,2010-2011,29603,26635
Magura,2011-2012,24287,28041
Magura,2012-2013,100933,92290
Magura,2013-2014,97520,105021
Magura,2014-2015,18244,14961
Manikgonj,2006-2007,6425,1090
Manikgonj,2007-2008,3375,661
Manikgonj,2008-2009,1025,228
Manikgonj,2009-2010,874,244
Manikgonj,2010-2011,785,220
Manikgonj,2011-2012,954,463
Manikgonj,2012-2013,803,359
Manikgonj,2013-2014,1158,960
Manikgonj,2014-2015,1977,1622
Maulavibazar,2006-2007,53980,42444
Maulavibazar,2007-2008,58785,46604
Maulavibazar,2008-2009,46570,37638
Maulavibazar,2009-2010,44378,39324
Maulavibazar,2010-2011,69243,59875
Maulavibazar,2011-2012,58017,58390
Maulavibazar,2012-2013,66940,64335
Maulavibazar,2013-2014,69615,75584
Maulavibazar,2014-2015,76890,81801
Meherpur,2006-2007,9390,6985
Meherpur,2007-2008,9785,6720
Meherpur,2008-2009,12165,8294
Meherpur,2009-2010,16402,12770
Meherpur,2010-2011,13658,12310
Meherpur,2011-2012,17907,19436
Meherpur,2012-2013,97202,84560
Meherpur,2013-2014,91970,92602
Meherpur,2014-2015,20979,25465
Munshigonj,2006-2007,8015,2668
Munshigonj,2007-2008,5970,2582
Munshigonj,2008-2009,3085,1319
Munshigonj,2009-2010,3553,2676
Munshigonj,2010-2011,1458,684
Munshigonj,2011-2012,1304,713
Munshigonj,2012-2013,1587,1187
Munshigonj,2013-2014,1550,1418
Munshigonj,2014-2015,865,821
Mymensingh,1969-1970,1089970,325685
Mymensingh,1970-1971,9935,709830
Mymensingh,1971-1972,720075,222270
Mymensingh,1972-1973,729060,198725
Mymensingh,1973-1974,759010,276755
Mymensingh,1974-1975,767605,319040
Mymensingh,1975-1976,782910,330305
Mymensingh,1976-1977,752800,338320
Mymensingh,1977-1978,714730,304055
Mymensingh,1978-1979,722490,328815
Mymensingh,1979-1980,400835,218210
Mymensingh,1980-1981,423400,233880
Mymensingh,1981-1982,6070,450075
Mymensingh,1982-1983,478370,227570
Mymensingh,1983-1984,472820,228020
Mymensingh,1984-1985,473915,215394
Mymensingh,1985-1986,440630,217721
Mymensingh,1986-1987,430700,206995
Mymensingh,1987-1988,1810,446685
Mymensingh,1988-1989,411745,182555
Mymensingh,1989-1990,328765,154895
Mymensingh,1990-1991,316070,141370
Mymensingh,1991-1992,316670,148400
Mymensingh,1992-1993,316670,148400
Mymensingh,1993-1994,252440,122270
Mymensingh,1994-1995,258460,105170
Mymensingh,1995-1996,127530,90210
Mymensingh,1996-1997,262340,131170
Mymensingh,1997-1998,243370,134620
Mymensingh,1998-1999,216520,106660
Mymensingh,1999-2000,194930,100660
Mymensingh,2000-2001,186180,116570
Mymensingh,2001-2002,169220,114840
Mymensingh,2002-2003,168720,104440
Mymensingh,2003-2004,161460,112890
Mymensingh,2004-2005,134710,84190
Mymensingh,2005-2006,131882,86758
Mymensingh,2006-2007,131785,91233
Mymensingh,2007-2008,127325,88198
Mymensingh,2008-2009,147495,106457
Mymensingh,2009-2010,123129,71548
Mymensingh,2010-2011,139151,103901
Mymensingh,2011-2012,133521,108383
Mymensingh,2012-2013,96697,75085
Mymensingh,2013-2014,75564,63482
Mymensingh,2014-2015,65658,62928
Narail,2006-2007,20925,9708
Narail,2007-2008,18520,8803
Narail,2008-2009,20325,10123
Narail,2009-2010,16998,8603
Narail,2010-2011,12053,5859
Narail,2011-2012,12742,6182
Narail,2012-2013,53156,51147
Narail,2013-2014,52767,61503
Narail,2014-2015,11430,6880
Narayangonj,2006-2007,1490,774
Narayangonj,2007-2008,2570,1617
Narayangonj,2008-2009,2525,1591
Narayangonj,2009-2010,1947,2220
Narayangonj,2010-2011,1195,1003
Narayangonj,2011-2012,523,383
Narayangonj,2012-2013,440,328
Narayangonj,2013-2014,370,344
Narayangonj,2014-2015,51,49
Narsingdi,2006-2007,1605,531
Narsingdi,2007-2008,1085,484
Narsingdi,2008-2009,1050,530
Narsingdi,2009-2010,1022,516
Narsingdi,2010-2011,1012,517
Narsingdi,2011-2012,818,609
Narsingdi,2012-2013,648,493
Narsingdi,2013-2014,664,419
Narsingdi,2014-2015,739,474
Natore,2006-2007,19975,11140
Natore,2007-2008,22360,11419
Natore,2008-2009,27120,16321
Natore,2009-2010,21774,11795
Natore,2010-2011,27399,16963
Natore,2011-2012,26101,21442
Natore,2012-2013,4499,3916
Natore,2013-2014,3377,3353
Natore,2014-2015,19096,16122
Nawabgonj,2006-2007,80660,65724
Nawabgonj,2007-2008,102135,74924
Nawabgonj,2008-2009,121330,81055
Nawabgonj,2009-2010,106005,74854
Nawabgonj,2010-2011,129951,101865
Nawabgonj,2011-2012,128176,99807
Nawabgonj,2012-2013,8,4
Nawabgonj,2013-2014,2,1
Nawabgonj,2014-2015,111406,108316
Netrokona,2006-2007,15740,11522
Netrokona,2007-2008,11475,8082
Netrokona,2008-2009,10925,6613
Netrokona,2009-2010,5086,2785
Netrokona,2010-2011,4542,3468
Netrokona,2011-2012,2285,1598
Netrokona,2012-2013,1767,1418
Netrokona,2013-2014,1804,1253
Netrokona,2014-2015,532,330
Nilphamari,2006-2007,0,0
Nilphamari,2007-2008,0,0
Nilphamari,2008-2009,0,0
Nilphamari,2009-2010,0,0
Nilphamari,2010-2011,0,0
Nilphamari,2011-2012,0,0
Nilphamari,2012-2013,0,0
Nilphamari,2013-2014,0,0
Nilphamari,2014-2015,0,0
Noagaon,2006-2007,52895,45572
Noagaon,2007-2008,72605,65714
Noagaon,2008-2009,85715,80586
Noagaon,2009-2010,75283,55776
Noagaon,2010-2011,135378,136237
Noagaon,2011-2012,137516,117474
Noagaon,2012-2013,11891,10333
Noagaon,2013-2014,9484,8411
Noagaon,2014-2015,127603,144321
Noakhali,1969-1970,478290,154690
Noakhali,1970-1971,6265,489270
Noakhali,1971-1972,463375,143625
Noakhali,1972-1973,436350,158530
Noakhali,1973-1974,417350,149690
Noakhali,1974-1975,288995,93545
Noakhali,1975-1976,395450,166325
Noakhali,1976-1977,386670,208840
Noakhali,1977-1978,312290,166645
Noakhali,1978-1979,329880,170765
Noakhali,1979-1980,360095,153860
Noakhali,1980-1981,297360,177570
Noakhali,1981-1982,105,261970
Noakhali,1982-1983,306995,139880
Noakhali,1983-1984,307440,161610
Noakhali,1984-1985,281960,141752
Noakhali,1985-1986,314540,149770
Noakhali,1986-1987,441345,204515
Noakhali,1987-1988,30,358530
Noakhali,1988-1989,464220,224765
Noakhali,1989-1990,372485,172705
Noakhali,1990-1991,293110,128080
Noakhali,1991-1992,275600,106980
Noakhali,1992-1993,275600,106980
Noakhali,1993-1994,175820,70400
Noakhali,1994-1995,242260,99010
Noakhali,1995-1996,108820,72950
Noakhali,1996-1997,241090,117480
Noakhali,1997-1998,225370,105670
Noakhali,1998-1999,195890,82860
Noakhali,1999-2000,221980,125550
Noakhali,2000-2001,219240,122050
Noakhali,2001-2002,218990,129980
Noakhali,2002-2003,224800,133980
Noakhali,2003-2004,213550,123190
Noakhali,2004-2005,208050,119320
Noakhali,2005-2006,210436,128835
Noakhali,2006-2007,82155,56648
Noakhali,2007-2008,98060,47722
Noakhali,2008-2009,100010,50873
Noakhali,2009-2010,110616,67155
Noakhali,2010-2011,146057,91366
Noakhali,2011-2012,145880,96321
Noakhali,2012-2013,141596,94064
Noakhali,2013-2014,142964,93622
Noakhali,2014-2015,132752,93409
Pabna,1969-1970,414815,145150
Pabna,1970-1971,175,324480
Pabna,1971-1972,324625,88315
Pabna,1972-1973,293915,89755
Pabna,1973-1974,239815,67255
Pabna,1974-1975,292380,86510
Pabna,1975-1976,342900,105410
Pabna,1976-1977,376580,113110
Pabna,1977-1978,367750,113160
Pabna,1978-1979,387125,129340
Pabna,1979-1980,343425,108760
Pabna,1980-1981,350110,127705
Pabna,1981-1982,0,339990
Pabna,1982-1983,380260,99160
Pabna,1983-1984,368205,106025
Pabna,1984-1985,369935,104791
Pabna,1985-1986,340350,103930
Pabna,1986-1987,262040,97380
Pabna,1987-1988,0,206465
Pabna,1988-1989,197140,62715
Pabna,1989-1990,145870,55260
Pabna,1990-1991,135160,41690
Pabna,1991-1992,107870,34880
Pabna,1992-1993,107870,34880
Pabna,1993-1994,100440,32120
Pabna,1994-1995,93770,24630
Pabna,1995-1996,710,290
Pabna,1996-1997,70120,21480
Pabna,1997-1998,65900,23090
Pabna,1998-1999,67500,22940
Pabna,1999-2000,54970,21880
Pabna,2000-2001,60460,22870
Pabna,2001-2002,62860,23710
Pabna,2002-2003,70520,29450
Pabna,2003-2004,71570,32280
Pabna,2004-2005,51210,19960
Pabna,2005-2006,59975,30713
Pabna,2006-2007,50180,17732
Pabna,2007-2008,45795,16038
Pabna,2008-2009,54065,24011
Pabna,2009-2010,49000,18061
Pabna,2010-2011,54112,22009
Pabna,2011-2012,55507,33050
Pabna,2012-2013,125252,130208
Pabna,2013-2014,124382,142396
Pabna,2014-2015,50573,33782
Panchagar,2006-2007,0,0
Panchagar,2007-2008,0,0
Panchagar,2008-2009,0,0
Panchagar,2009-2010,0,0
Panchagar,2010-2011,0,0
Panchagar,2011-2012,11,5
Panchagar,2012-2013,93465,95161
Panchagar,2013-2014,92072,95889
Panchagar,2014-2015,0,0
Patuakhali,1969-1970,126740,39200
Patuakhali,1970-1971,7100,127670
Patuakhali,1971-1972,101145,29925
Patuakhali,1972-1973,98450,31860
Patuakhali,1973-1974,103710,39095
Patuakhali,1974-1975,132320,29265
Patuakhali,1975-1976,113145,36530
Patuakhali,1976-1977,124450,49675
Patuakhali,1977-1978,139115,47395
Patuakhali,1978-1979,140565,49670
Patuakhali,1979-1980,100545,36588
Patuakhali,1980-1981,179930,73860
Patuakhali,1981-1982,0,168495
Patuakhali,1982-1983,157170,68120
Patuakhali,1983-1984,183135,80915
Patuakhali,1984-1985,186595,57150
Patuakhali,1985-1986,207760,70645
Patuakhali,1986-1987,258005,88220
Patuakhali,1987-1988,0,298585
Patuakhali,1988-1989,288825,90675
Patuakhali,1989-1990,175200,68270
Patuakhali,1990-1991,196730,81120
Patuakhali,1991-1992,176960,67930
Patuakhali,1992-1993,176960,67930
Patuakhali,1993-1994,146300,66360
Patuakhali,1994-1995,162040,71320
Patuakhali,1995-1996,38160,28540
Patuakhali,1996-1997,202020,101980
Patuakhali,1997-1998,209680,96660
Patuakhali,1998-1999,213740,104040
Patuakhali,1999-2000,223510,111820
Patuakhali,2000-2001,253490,146690
Patuakhali,2001-2002,248180,138170
Patuakhali,2002-2003,253360,152210
Patuakhali,2003-2004,252060,157160
Patuakhali,2004-2005,272970,170340
Patuakhali,2005-2006,258479,181349
Patuakhali,2006-2007,149595,83625
Patuakhali,2007-2008,159430,85233
Patuakhali,2008-2009,165350,105189
Patuakhali,2009-2010,150498,94870
Patuakhali,2010-2011,164908,116945
Patuakhali,2011-2012,165639,132169
Patuakhali,2012-2013,36180,34671
Patuakhali,2013-2014,53095,57826
Patuakhali,2014-2015,144419,115113
Perojpur,2006-2007,50180,29723
Perojpur,2007-2008,45310,26584
Perojpur,2008-2009,54025,36111
Perojpur,2009-2010,58077,40949
Perojpur,2010-2011,69446,54770
Perojpur,2011-2012,76704,61796
Perojpur,2012-2013,67379,53089
Perojpur,2013-2014,67451,50344
Perojpur,2014-2015,65031,54668
Rajbari,2006-2007,30270,9625
Rajbari,2007-2008,10870,4206
Rajbari,2008-2009,11165,6460
Rajbari,2009-2010,23581,8113
Rajbari,2010-2011,15573,5592
Rajbari,2011-2012,11573,3617
Rajbari,2012-2013,10167,3982
Rajbari,2013-2014,8080,4096
Rajbari,2014-2015,5265,2465
Rajshahi,1969-1970,474080,173860
Rajshahi,1970-1971,1010,463400
Rajshahi,1971-1972,442885,132530
Rajshahi,1972-1973,437000,142845
Rajshahi,1973-1974,451420,150530
Rajshahi,1974-1975,425855,154075
Rajshahi,1975-1976,454860,163535
Rajshahi,1976-1977,497060,177765
Rajshahi,1977-1978,477060,181435
Rajshahi,1978-1979,483970,171035
Rajshahi,1979-1980,429340,131785
Rajshahi,1980-1981,313970,113980
Rajshahi,1981-1982,0,462170
Rajshahi,1982-1983,360350,117665
Rajshahi,1983-1984,532165,196795
Rajshahi,1984-1985,520520,180072
Rajshahi,1985-1986,434905,154829
Rajshahi,1986-1987,384145,168770
Rajshahi,1987-1988,320,295115
Rajshahi,1988-1989,386550,161665
Rajshahi,1989-1990,359165,156050
Rajshahi,1990-1991,340160,137150
Rajshahi,1991-1992,305210,155500
Rajshahi,1992-1993,305210,155500
Rajshahi,1993-1994,285680,144330
Rajshahi,1994-1995,219490,107490
Rajshahi,1995-1996,89660,72560
Rajshahi,1996-1997,227220,129970
Rajshahi,1997-1998,229670,131960
Rajshahi,1998-1999,177290,97920
Rajshahi,1999-2000,174110,104380
Rajshahi,2000-2001,161010,99140
Rajshahi,2001-2002,144650,91240
Rajshahi,2002-2003,184020,118070
Rajshahi,2003-2004,185920,125120
Rajshahi,2004-2005,172210,127490
Rajshahi,2005-2006,214255,175489
Rajshahi,2006-2007,76925,67169
Rajshahi,2007-2008,105520,84331
Rajshahi,2008-2009,123455,115356
Rajshahi,2009-2010,76695,63960
Rajshahi,2010-2011,97528,85089
Rajshahi,2011-2012,107702,106330
Rajshahi,2012-2013,117019,102336
Rajshahi,2013-2014,117246,103380
Rajshahi,2014-2015,96094,111467
Rangamati,1979-1980,77445,27280
Rangamati,1980-1981,73035,33470
Rangamati,1981-1982,1425,75655
Rangamati,1982-1983,64535,25790
Rangamati,1983-1984,59070,29905
Rangamati,1984-1985,15500,9353
Rangamati,1985-1986,14280,9796
Rangamati,1986-1987,14250,9020
Rangamati,1987-1988,35,12320
Rangamati,1988-1989,12495,7350
Rangamati,1989-1990,12595,7845
Rangamati,1990-1991,13300,8160
Rangamati,1991-1992,14170,8340
Rangamati,1992-1993,14170,8340
Rangamati,1993-1994,14930,8840
Rangamati,1994-1995,14000,6230
Rangamati,1995-1996,3970,3580
Rangamati,1996-1997,11210,7290
Rangamati,1997-1998,10230,6050
Rangamati,1998-1999,10740,6650
Rangamati,1999-2000,11370,7320
Rangamati,2000-2001,11430,7360
Rangamati,2001-2002,11110,6680
Rangamati,2002-2003,12680,7190
Rangamati,2003-2004,11850,7860
Rangamati,2004-2005,14260,7810
Rangamati,2005-2006,13668,9894
Rangamati,2006-2007,12790,7989
Rangamati,2007-2008,15435,8723
Rangamati,2008-2009,16345,9965
Rangamati,2009-2010,15118,9203
Rangamati,2010-2011,14254,9280
Rangamati,2011-2012,15515,9890
Rangamati,2012-2013,16131,9899
Rangamati,2013-2014,14036,9968
Rangamati,2014-2015,17241,11414
Rangpur,1969-1970,906800,324985
Rangpur,1970-1971,1975,916840
Rangpur,1971-1972,916865,278480
Rangpur,1972-1973,827775,247375
Rangpur,1973-1974,882970,294095
Rangpur,1974-1975,989435,295575
Rangpur,1975-1976,1045000,327575
Rangpur,1976-1977,994935,334430
Rangpur,1977-1978,976000,329220
Rangpur,1978-1979,996550,349205
Rangpur,1979-1980,884060,272940
Rangpur,1980-1981,819000,291190
Rangpur,1981-1982,0,880780
Rangpur,1982-1983,932190,315835
Rangpur,1983-1984,820325,275110
Rangpur,1984-1985,841710,275837
Rangpur,1985-1986,791700,290305
Rangpur,1986-1987,615535,245305
Rangpur,1987-1988,495,576225
Rangpur,1988-1989,489665,216580
Rangpur,1989-1990,356415,156665
Rangpur,1990-1991,372690,154960
Rangpur,1991-1992,372740,152660
Rangpur,1992-1993,372740,152660
Rangpur,1993-1994,263500,113490
Rangpur,1994-1995,212060,77750
Rangpur,1995-1996,60480,32010
Rangpur,1996-1997,165250,65250
Rangpur,1997-1998,144570,62350
Rangpur,1998-1999,127930,55250
Rangpur,1999-2000,46500,21440
Rangpur,2000-2001,31700,13690
Rangpur,2001-2002,24790,9980
Rangpur,2002-2003,27330,17780
Rangpur,2003-2004,20450,12040
Rangpur,2004-2005,8560,4080
Rangpur,2005-2006,6975,3612
Rangpur,2006-2007,0,0
Rangpur,2007-2008,0,0
Rangpur,2008-2009,0,0
Rangpur,2009-2010,0,0
Rangpur,2010-2011,0,0
Rangpur,2011-2012,1250,1004
Rangpur,2012-2013,1200,1068
Rangpur,2013-2014,0,0
Rangpur,2014-2015,3275,3438
Satkhira,2006-2007,3720,3606
Satkhira,2007-2008,3175,2955
Satkhira,2008-2009,6080,4559
Satkhira,2009-2010,8467,7425
Satkhira,2010-2011,21273,20849
Satkhira,2011-2012,22237,23451
Satkhira,2012-2013,11817,6733
Satkhira,2013-2014,9763,5621
Satkhira,2014-2015,20051,20133
Shariatpur,2006-2007,39330,13829
Shariatpur,2007-2008,20590,7028
Shariatpur,2008-2009,28740,12336
Shariatpur,2009-2010,25330,7911
Shariatpur,2010-2011,23736,7668
Shariatpur,2011-2012,19812,6678
Shariatpur,2012-2013,20111,8581
Shariatpur,2013-2014,18518,10327
Shariatpur,2014-2015,22532,12043
Sherpur,2006-2007,21885,12482
Sherpur,2007-2008,22375,13744
Sherpur,2008-2009,23860,15763
Sherpur,2009-2010,8913,4719
Sherpur,2010-2011,17120,13172
Sherpur,2011-2012,18342,14273
Sherpur,2012-2013,13832,11733
Sherpur,2013-2014,15490,13630
Sherpur,2014-2015,13338,10937
Sirajgonj,2006-2007,1570,855
Sirajgonj,2007-2008,4525,2932
Sirajgonj,2008-2009,10905,6247
Sirajgonj,2009-2010,13039,7578
Sirajgonj,2010-2011,11611,7691
Sirajgonj,2011-2012,13971,10389
Sirajgonj,2012-2013,25161,18747
Sirajgonj,2013-2014,21109,17047
Sirajgonj,2014-2015,16600,15405
Sunamgonj,2006-2007,9250,5655
Sunamgonj,2007-2008,7695,3825
Sunamgonj,2008-2009,7925,4646
Sunamgonj,2009-2010,6719,4100
Sunamgonj,2010-2011,8181,4484
Sunamgonj,2011-2012,6221,3973
Sunamgonj,2012-2013,4942,3228
Sunamgonj,2013-2014,7623,7915
Sunamgonj,2014-2015,11180,11595
Sylhet,1969-1970,360260,164960
Sylhet,1970-1971,14285,355030
Sylhet,1971-1972,329135,132080
Sylhet,1972-1973,248635,82385
Sylhet,1973-1974,342630,144580
Sylhet,1974-1975,396310,200985
Sylhet,1975-1976,469030,251605
Sylhet,1976-1977,200000,61270
Sylhet,1977-1978,350000,174110
Sylhet,1978-1979,387890,182770
Sylhet,1979-1980,374035,156070
Sylhet,1980-1981,422195,206060
Sylhet,1981-1982,3975,502330
Sylhet,1982-1983,501775,199785
Sylhet,1983-1984,476845,175600
Sylhet,1984-1985,393100,157785
Sylhet,1985-1986,417490,163149
Sylhet,1986-1987,473830,230180
Sylhet,1987-1988,5270,353015
Sylhet,1988-1989,421555,226820
Sylhet,1989-1990,527020,263215
Sylhet,1990-1991,479180,268980
Sylhet,1991-1992,332370,182690
Sylhet,1992-1993,332370,182690
Sylhet,1993-1994,356370,184600
Sylhet,1994-1995,503190,286410
Sylhet,1995-1996,177920,140660
Sylhet,1996-1997,445670,262240
Sylhet,1997-1998,446380,273410
Sylhet,1998-1999,375070,192880
Sylhet,1999-2000,349950,212600
Sylhet,2000-2001,396940,245440
Sylhet,2001-2002,323550,215120
Sylhet,2002-2003,339500,219070
Sylhet,2003-2004,291360,213460
Sylhet,2004-2005,226650,121760
Sylhet,2005-2006,294787,230565
Sylhet,2006-2007,107250,81782
Sylhet,2007-2008,93905,65463
Sylhet,2008-2009,104500,74520
Sylhet,2009-2010,85561,70719
Sylhet,2010-2011,51682,40787
Sylhet,2011-2012,85426,78066
Sylhet,2012-2013,86351,77673
Sylhet,2013-2014,91034,100550
Sylhet,2014-2015,93589,98593
Tangail,1969-1970,0,0
Tangail,1970-1971,535,198640
Tangail,1971-1972,199870,67905
Tangail,1972-1973,282070,79785
Tangail,1973-1974,205305,64865
Tangail,1974-1975,302880,100895
Tangail,1975-1976,309360,93580
Tangail,1976-1977,301480,108230
Tangail,1977-1978,289310,114690
Tangail,1978-1979,290100,121060
Tangail,1979-1980,290300,118935
Tangail,1980-1981,363300,113505
Tangail,1981-1982,0,313615
Tangail,1982-1983,306635,109590
Tangail,1983-1984,241475,92330
Tangail,1984-1985,224575,71039
Tangail,1985-1986,219195,75990
Tangail,1986-1987,240320,79140
Tangail,1987-1988,0,193050
Tangail,1988-1989,202500,64040
Tangail,1989-1990,159440,49350
Tangail,1990-1991,154140,47250
Tangail,1991-1992,139560,37600
Tangail,1992-1993,139560,37600
Tangail,1993-1994,123170,38680
Tangail,1994-1995,126510,34490
Tangail,1995-1996,10310,4820
Tangail,1996-1997,115920,32180
Tangail,1997-1998,107080,29350
Tangail,1998-1999,83170,20430
Tangail,1999-2000,71400,26660
Tangail,2000-2001,62210,22500
Tangail,2001-2002,58830,19790
Tangail,2002-2003,56160,33760
Tangail,2003-2004,54990,32330
Tangail,2004-2005,22020,8530
Tangail,2005-2006,7013,3412
Tangail,2006-2007,7195,3120
Tangail,2007-2008,980,447
Tangail,2008-2009,2770,1163
Tangail,2009-2010,2610,907
Tangail,2010-2011,2434,865
Tangail,2011-2012,2160,1003
Tangail,2012-2013,1258,709
Tangail,2013-2014,2905,2130
Tangail,2014-2015,902,546
Thakurgaon,2006-2007,0,0
Thakurgaon,2007-2008,0,0
Thakurgaon,2008-2009,0,0
Thakurgaon,2009-2010,0,0
Thakurgaon,2010-2011,205,227
Thakurgaon,2011-2012,4606,3968
Thakurgaon,2012-2013,13975,10078
Thakurgaon,2013-2014,15380,14875
Thakurgaon,2014-2015,7558,6884
