DistrictName,Financial Year,TotalArea(Acres),TotalProduction(Tons)
Chittagong,1975-1976,207375,137855
Chittagong,1976-1977,124050,64520
Chittagong,1977-1978,224980,163640
Chittagong,1978-1979,217115,154065
Chittagong,1979-1980,187360,106850
Chittagong,1980-1981,178215,118335
Chittagong,1981-1982,0,217485
Chittagong,1982-1983,189495,114730
Chittagong,1983-1984,183810,116210
Chittagong,1984-1985,180025,110965
Chittagong,1985-1986,160170,103573
Chittagong,1986-1987,144595,80500
Chittagong,1987-1988,3875,170545
Chittagong,1988-1989,99944,54785
Chittagong,1989-1990,113005,73215
Chittagong,1990-1991,119380,87790
Chittagong,1991-1992,109740,92890
Chittagong,1992-1993,109740,92890
Chittagong,1993-1994,99580,76110
Chittagong,1994-1995,87280,54700
Chittagong,1995-1996,44780,38580
Chittagong,1996-1997,88910,58230
Chittagong,1997-1998,106710,63990
Chittagong,1998-1999,112700,77210
Chittagong,1999-2000,106060,80160
Chittagong,2000-2001,106640,86960
Chittagong,2001-2002,113580,90730
Chittagong,2002-2003,118190,99430
Chittagong,2003-2004,126820,108360
Chittagong,2004-2005,112250,100830
Chittagong,2005-2006,86645,82878
Chittagong,2006-2007,91835,86859
Chittagong,2007-2008,99600,93523
Chittagong,2008-2009,103450,102177
Chittagong,2009-2010,104473,102418
Chittagong,2010-2011,108306,102394
Chittagong,2011-2012,111671,108080
Chittagong,2012-2013,108712,107343
Chittagong,2013-2014,109163,110758
Chittagong,2014-2015,108575,108026
Chittagong H.T.,1969-1970,128710,60160
Chittagong H.T.,1970-1971,4600,121610
Chittagong H.T.,1971-1972,117335,44420
Chittagong H.T.,1972-1973,101890,30915
Chittagong H.T.,1973-1974,99170,37775
Chittagong H.T.,1974-1975,93770,37935
Chittagong H.T.,1975-1976,103130,43725
Chittagong H.T.,1976-1977,72855,32940
Chittagong H.T.,1977-1978,73560,34750
Chittagong H.T.,1978-1979,90675,38480
Chuadanga,2006-2007,20660,15796
Chuadanga,2007-2008,27555,19851
Chuadanga,2008-2009,33950,27860
Chuadanga,2009-2010,25372,19735
Chuadanga,2010-2011,28466,23164
Chuadanga,2011-2012,35404,37880
Chuadanga,2012-2013,20271,20089
Chuadanga,2013-2014,20873,22977
Chuadanga,2014-2015,63034,70287
Comilla,1969-1970,566325,224045
Comilla,1970-1971,16335,564220
Comilla,1971-1972,502410,169950
Comilla,1972-1973,493115,157780
Comilla,1973-1974,499815,246235
Comilla,1974-1975,255630,93930
Comilla,1975-1976,477490,193045
Comilla,1976-1977,441140,182840
Comilla,1977-1978,459425,220465
Comilla,1978-1979,464690,237135
Comilla,1979-1980,470095,215295
Comilla,1980-1981,460465,217225
Comilla,1981-1982,0,488535
Comilla,1982-1983,488145,233480
Comilla,1983-1984,478180,235975
Comilla,1984-1985,406795,178169
Comilla,1985-1986,413310,160545
Comilla,1986-1987,429945,202280
Comilla,1987-1988,0,454210
Comilla,1988-1989,356485,209070
Comilla,1989-1990,309255,161980
Comilla,1990-1991,306800,177220
Comilla,1991-1992,282430,173430
Comilla,1992-1993,282430,173430
Comilla,1993-1994,237870,126790
Comilla,1994-1995,217770,100090
Comilla,1995-1996,127280,94540
Comilla,1996-1997,308210,162080
Comilla,1997-1998,305630,162450
Comilla,1998-1999,241660,119600
Comilla,1999-2000,218400,117650
Comilla,2000-2001,266460,197330
Comilla,2001-2002,271060,199690
Comilla,2002-2003,248920,182030
Comilla,2003-2004,229040,165300
Comilla,2004-2005,207260,140460
Comilla,2005-2006,209025,154405
Comilla,2006-2007,116225,90069
Comilla,2007-2008,77375,50677
Comilla,2008-2009,124460,99278
Comilla,2009-2010,160828,137086
Comilla,2010-2011,161742,141448
Comilla,2011-2012,172231,157418
Comilla,2012-2013,166611,161670
Comilla,2013-2014,172392,189004
Comilla,2014-2015,169961,172306
Cox's Bazar,2006-2007,1725,1897
Cox's Bazar,2007-2008,1765,1837
Cox's Bazar,2008-2009,1785,1871
Cox's Bazar,2009-2010,1632,2209
Cox's Bazar,2010-2011,12494,13572
Cox's Bazar,2011-2012,7804,8779
Cox's Bazar,2012-2013,5676,5690
Cox's Bazar,2013-2014,5347,4747
Cox's Bazar,2014-2015,4405,4110
Dhaka,1969-1970,499125,185035
Dhaka,1970-1971,3100,400750
Dhaka,1971-1972,406315,150285
Dhaka,1972-1973,360745,104565
Dhaka,1973-1974,385775,138340
Dhaka,1974-1975,428705,154415
Dhaka,1975-1976,414945,152100
Dhaka,1976-1977,406025,154110
Dhaka,1977-1978,394620,162935
Dhaka,1978-1979,380420,160060
Dhaka,1979-1980,376830,149470
Dhaka,1980-1981,432070,162670
Dhaka,1981-1982,1890,417890
Dhaka,1982-1983,405185,181500
Dhaka,1983-1984,428525,192720
Dhaka,1984-1985,385010,159694
Dhaka,1985-1986,282855,123688
Dhaka,1986-1987,329715,143855
Dhaka,1987-1988,1310,283530
Dhaka,1988-1989,324355,108760
Dhaka,1989-1990,263270,109475
Dhaka,1990-1991,224780,89550
Dhaka,1991-1992,188450,73170
Dhaka,1992-1993,188450,73170
Dhaka,1993-1994,169980,61690
Dhaka,1994-1995,161180,55010
Dhaka,1995-1996,14490,8120
Dhaka,1996-1997,138610,49120
Dhaka,1997-1998,141200,45980
Dhaka,1998-1999,117890,37360
Dhaka,1999-2000,123520,40990
Dhaka,2000-2001,117280,44170
Dhaka,2001-2002,114850,48540
Dhaka,2002-2003,108390,42490
Dhaka,2003-2004,107500,46340
Dhaka,2004-2005,57420,22780
Dhaka,2005-2006,35870,17518
Dhaka,2006-2007,3490,1239
Dhaka,2007-2008,1960,804
Dhaka,2008-2009,2780,1492
Dhaka,2009-2010,2227,1353
Dhaka,2010-2011,1607,912
Dhaka,2011-2012,1552,927
Dhaka,2012-2013,1241,752
Dhaka,2013-2014,1178,947
Dhaka,2014-2015,1711,1413
Dinajpur,1969-1970,484460,187185
Dinajpur,1970-1971,8185,489920
Dinajpur,1971-1972,303370,103045
Dinajpur,1972-1973,274650,82835
Dinajpur,1973-1974,422110,162525
