FinancialYear,District Name,TotalArea(Acres),TotalProduction(Tons)
1977-1978,Bogra,289425,103635
1977-1978,Pabna,367750,113160
1977-1978,Khulna,109320,46255
1977-1978,Bakergonj,402265,144810
1977-1978,Patuakhali,139115,47395
1977-1978,Jessore,637130,273115
1977-1978,Kushtia,351520,135620
1978-1979,Dhaka,380420,160060
1978-1979,Kishoregonj,205575,83750
1978-1979,Mymensingh,722490,328815
1978-1979,Tangail,290100,121060
1978-1979,Faridpur,551100,150380
1978-1979,Chittagong,217115,154065
1978-1979,Chittagong H.T.,90675,38480
1978-1979,Noakhali,329880,170765
1978-1979,Comilla,464690,237135
1978-1979,Sylhet,387890,182770
1978-1979,Rajshahi,483970,171035
1978-1979,Dinajpur,497925,201895
1978-1979,Rangpur,996550,349205
1978-1979,Bogra,292100,120680
1978-1979,Pabna,387125,129340
1978-1979,Khulna,110175,50365
1978-1979,Bakergonj,457465,176125
1978-1979,Patuakhali,140565,49670
1978-1979,Jessore,619325,261270
1978-1979,Kushtia,370125,151070
1979-1980,Bandarban,0,0
1979-1980,Chittagong,187360,106850
1979-1980,Comilla,470095,215295
1979-1980,Khagrachari,0,0
1979-1980,Noakhali,360095,153860
1979-1980,Rangamati,77445,27280
1979-1980,Sylhet,374035,156070
1979-1980,Dhaka,376830,149470
1979-1980,Faridpur,531140,122995
1979-1980,Jamalpur,295850,117860
1979-1980,Kishoregonj,221670,78830
1979-1980,Mymensingh,400835,218210
1979-1980,Tangail,290300,118935
1979-1980,Barisal,441125,158180
1979-1980,Jessore,577205,207870
1979-1980,Khulna,106240,46675
1979-1980,Kushtia,315905,107760
1979-1980,Patuakhali,100545,36588
1979-1980,Bogra,260115,106790
1979-1980,Dinajpur,441005,163610
1979-1980,Pabna,343425,108760
1979-1980,Rajshahi,429340,131785
1979-1980,Rangpur,884060,272940
1980-1981,Bandarban,0,0
1980-1981,Chittagong,178215,118335
1980-1981,Comilla,460465,217225
1980-1981,Khagrachari,0,0
1980-1981,Noakhali,297360,177570
1980-1981,Rangamati,73035,33470
1980-1981,Sylhet,422195,206060
1980-1981,Dhaka,432070,162670
1980-1981,Faridpur,427805,121725
1980-1981,Jamalpur,332705,134955
1980-1981,Kishoregonj,283930,114710
1980-1981,Mymensingh,423400,233880
1980-1981,Tangail,363300,113505
1980-1981,Barisal,494995,225875
1980-1981,Jessore,574185,224330
1980-1981,Khulna,176710,80420
1980-1981,Kushtia,343565,141530
1980-1981,Patuakhali,179930,73860
1980-1981,Bogra,258430,133915
1980-1981,Dinajpur,483205,187700
1980-1981,Pabna,350110,127705
1980-1981,Rajshahi,313970,113980
1980-1981,Rangpur,819000,291190
1981-1982,Bandarban,0,0
1981-1982,Chittagong,0,217485
1981-1982,Comilla,0,488535
1981-1982,Khagrachari,0,0
1981-1982,Noakhali,105,261970
1981-1982,Rangamati,1425,75655
1981-1982,Sylhet,3975,502330
1981-1982,Dhaka,1890,417890
1981-1982,Faridpur,0,517000
1981-1982,Jamalpur,65,301530
1981-1982,Kishoregonj,1270,309765
1981-1982,Mymensingh,6070,450075
1981-1982,Tangail,0,313615
1981-1982,Barisal,0,374880
1981-1982,Jessore,0,538100
1981-1982,Khulna,5,114030
1981-1982,Kushtia,0,360190
1981-1982,Patuakhali,0,168495
1981-1982,Bogra,0,263170
1981-1982,Dinajpur,0,416430
1981-1982,Pabna,0,339990
1981-1982,Rajshahi,0,462170
1981-1982,Rangpur,0,880780
1982-1983,Bandarban,0,0
1982-1983,Chittagong,189495,114730
1982-1983,Comilla,488145,233480
1982-1983,Khagrachari,0,0
1982-1983,Noakhali,306995,139880
1982-1983,Rangamati,64535,25790
1982-1983,Sylhet,501775,199785
1982-1983,Dhaka,405185,181500
1982-1983,Faridpur,542225,146155
1982-1983,Jamalpur,316910,137880
1982-1983,Kishoregonj,325670,128285
1982-1983,Mymensingh,478370,227570
1982-1983,Tangail,306635,109590
1982-1983,Barisal,412110,170275
1982-1983,Jessore,516390,172050
1982-1983,Khulna,124055,57430
1982-1983,Kushtia,360230,95340
1982-1983,Patuakhali,157170,68120
1982-1983,Bogra,254580,116215
1982-1983,Dinajpur,381675,160800
1982-1983,Pabna,380260,99160
1982-1983,Rajshahi,360350,117665
1982-1983,Rangpur,932190,315835
1983-1984,Bandarban,0,0
1983-1984,Chittagong,183810,116210
1983-1984,Comilla,478180,235975
1983-1984,Khagrachari,0,0
1983-1984,Noakhali,307440,161610
1983-1984,Rangamati,59070,29905
1983-1984,Sylhet,476845,175600
1983-1984,Dhaka,428525,192720
1983-1984,Faridpur,545530,157765
1983-1984,Jamalpur,304010,127990
1983-1984,Kishoregonj,295580,144000
1983-1984,Mymensingh,472820,228020
1983-1984,Tangail,241475,92330
1983-1984,Barisal,442275,189065
1983-1984,Jessore,510865,165360
1983-1984,Khulna,124525,57070
1983-1984,Kushtia,308445,134345
1983-1984,Patuakhali,183135,80915
1983-1984,Bogra,246355,110890
1983-1984,Dinajpur,426560,192885
1983-1984,Pabna,368205,106025
1983-1984,Rajshahi,532165,196795
1983-1984,Rangpur,820325,275110
1984-1985,Bandarban,17900,10579
1984-1985,Chittagong,180025,110965
1984-1985,Comilla,406795,178169
1984-1985,Khagrachari,21075,11943
1984-1985,Noakhali,281960,141752
1984-1985,Rangamati,15500,9353
1984-1985,Sylhet,393100,157785
1984-1985,Dhaka,385010,159694
1984-1985,Faridpur,467190,107464
1984-1985,Jamalpur,301940,122234
1984-1985,Kishoregonj,286135,140330
1984-1985,Mymensingh,473915,215394
1984-1985,Tangail,224575,71039
1984-1985,Barisal,439460,144967
1984-1985,Jessore,443880,161406
1984-1985,Khulna,73860,28084
1984-1985,Kushtia,330700,172190
1984-1985,Patuakhali,186595,57150
1984-1985,Bogra,217360,94717
1984-1985,Dinajpur,433295,194113
1984-1985,Pabna,369935,104791
1984-1985,Rajshahi,520520,180072
1984-1985,Rangpur,841710,275837
1985-1986,Bandarban,16685,10510
1985-1986,Chittagong,160170,103573
1985-1986,Comilla,413310,160545
1985-1986,Khagrachari,19105,11945
1985-1986,Noakhali,314540,149770
1985-1986,Rangamati,14280,9796
1985-1986,Sylhet,417490,163149
1985-1986,Dhaka,282855,123688
1985-1986,Faridpur,560900,149845
1985-1986,Jamalpur,283310,119840
1985-1986,Kishoregonj,264660,125830
1985-1986,Mymensingh,440630,217721
1985-1986,Tangail,219195,75990
1985-1986,Barisal,478875,171965
1985-1986,Jessore,396590,156665
1985-1986,Khulna,83680,32150
1985-1986,Kushtia,327915,170345
1985-1986,Patuakhali,207760,70645
1985-1986,Bogra,178675,84285
1985-1986,Dinajpur,382540,169910
1985-1986,Pabna,340350,103930
1985-1986,Rajshahi,434905,154829
1985-1986,Rangpur,791700,290305
1986-1987,Bandarban,20285,13340
1986-1987,Chittagong,144595,80500
1986-1987,Comilla,429945,202280
1986-1987,Khagrachari,11820,8195
1986-1987,Noakhali,441345,204515
1986-1987,Rangamati,14250,9020
1986-1987,Sylhet,473830,230180
1986-1987,Dhaka,329715,143855
1986-1987,Faridpur,602530,211660
1986-1987,Jamalpur,232775,108055
1986-1987,Kishoregonj,246735,124735
1986-1987,Mymensingh,430700,206995
1986-1987,Tangail,240320,79140
1986-1987,Barisal,518090,215605
1986-1987,Jessore,532090,240375
1986-1987,Khulna,84365,37430
1986-1987,Kushtia,396250,197805
1986-1987,Patuakhali,258005,88220
1986-1987,Bogra,188455,90920
1986-1987,Dinajpur,315110,145675
1986-1987,Pabna,262040,97380
1986-1987,Rajshahi,384145,168770
1986-1987,Rangpur,615535,245305
1987-1988,Bandarban,0,23235
1987-1988,Chittagong,3875,170545
1987-1988,Comilla,0,454210
1987-1988,Khagrachari,890,10630
1987-1988,Noakhali,30,358530
1987-1988,Rangamati,35,12320
1987-1988,Sylhet,5270,353015
1987-1988,Dhaka,1310,283530
1987-1988,Faridpur,0,649690
1987-1988,Jamalpur,0,203925
1987-1988,Kishoregonj,0,285670
1987-1988,Mymensingh,1810,446685
1987-1988,Tangail,0,193050
1987-1988,Barisal,0,576285
1987-1988,Jessore,0,552800
1987-1988,Khulna,0,102505
1987-1988,Kushtia,0,418935
1987-1988,Patuakhali,0,298585
1987-1988,Bogra,0,77900
1987-1988,Dinajpur,0,340840
1987-1988,Pabna,0,206465
1987-1988,Rajshahi,320,295115
1987-1988,Rangpur,495,576225
1988-1989,Bandarban,19500,10720
1988-1989,Chittagong,99944,54785
1988-1989,Comilla,356485,209070
1988-1989,Khagrachari,8375,4570
1988-1989,Noakhali,464220,224765
1988-1989,Rangamati,12495,7350
1988-1989,Sylhet,421555,226820
1988-1989,Dhaka,324355,108760
1988-1989,Faridpur,688820,232700
1988-1989,Jamalpur,171525,69625
1988-1989,Kishoregonj,138640,70240
1988-1989,Mymensingh,411745,182555
1988-1989,Tangail,202500,64040
1988-1989,Barisal,545415,212825
1988-1989,Jessore,517310,229615
1988-1989,Khulna,123975,58115
1988-1989,Kushtia,389420,193575
1988-1989,Patuakhali,288825,90675
1988-1989,Bogra,57730,31165
1988-1989,Dinajpur,314955,133035
1988-1989,Pabna,197140,62715
1988-1989,Rajshahi,386550,161665
1988-1989,Rangpur,489665,216580
1989-1990,Bandarban,23095,14685
1989-1990,Chittagong,113005,73215
1989-1990,Comilla,309255,161980
1989-1990,Khagrachari,5090,3010
1989-1990,Noakhali,372485,172705
1989-1990,Rangamati,12595,7845
1989-1990,Sylhet,527020,263215
1989-1990,Dhaka,263270,109475
1989-1990,Faridpur,588790,206795
1989-1990,Jamalpur,157090,60625
1989-1990,Kishoregonj,189485,99270
1989-1990,Mymensingh,328765,154895
1989-1990,Tangail,159440,49350
1989-1990,Barisal,459060,202790
1989-1990,Jessore,380225,172115
1989-1990,Khulna,102320,46045
1989-1990,Kushtia,306975,149965
1989-1990,Patuakhali,175200,68270
1989-1990,Bogra,40500,20965
1989-1990,Dinajpur,215110,82140
1989-1990,Pabna,145870,55260
1989-1990,Rajshahi,359165,156050
1989-1990,Rangpur,356415,156665
1990-1991,Bandarban,24520,15410
1990-1991,Chittagong,119380,87790
1990-1991,Comilla,306800,177220
1990-1991,Khagrachari,5330,3870
1990-1991,Noakhali,293110,128080
1990-1991,Rangamati,13300,8160
1990-1991,Sylhet,479180,268980
1990-1991,Dhaka,224780,89550
1990-1991,Faridpur,497050,139140
1990-1991,Jamalpur,161000,58830
1990-1991,Kishoregonj,165880,87710
1990-1991,Mymensingh,316070,141370
1990-1991,Tangail,154140,47250
1990-1991,Barisal,440580,181510
1990-1991,Jessore,324580,150680
1990-1991,Khulna,92660,48270
1990-1991,Kushtia,296170,166380
1990-1991,Patuakhali,196730,81120
1990-1991,Bogra,41730,24170
1990-1991,Dinajpur,215360,88510
1990-1991,Pabna,135160,41690
1990-1991,Rajshahi,340160,137150
1990-1991,Rangpur,372690,154960
1991-1992,Bandarban,25540,16290
1991-1992,Chittagong,109740,92890
1991-1992,Comilla,282430,173430
1991-1992,Khagrachari,5870,3990
1991-1992,Noakhali,275600,106980
1991-1992,Rangamati,14170,8340
1991-1992,Sylhet,332370,182690
1991-1992,Dhaka,188450,73170
1991-1992,Faridpur,420190,131010
1991-1992,Jamalpur,150440,55060
1991-1992,Kishoregonj,167490,93530
1991-1992,Mymensingh,316670,148400
1991-1992,Tangail,139560,37600
1991-1992,Barisal,437330,169760
1991-1992,Jessore,357200,189030
1991-1992,Khulna,86110,57100
1991-1992,Kushtia,263360,140570
1991-1992,Patuakhali,176960,67930
1991-1992,Bogra,19210,9960
1991-1992,Dinajpur,180670,77750
1991-1992,Pabna,107870,34880
1991-1992,Rajshahi,305210,155500
1991-1992,Rangpur,372740,152660
1992-1993,Bandarban,25540,16290
1992-1993,Chittagong,109740,92890
1992-1993,Comilla,282430,173430
1992-1993,Khagrachari,5870,3990
1992-1993,Noakhali,275600,106980
1992-1993,Rangamati,14170,8340
1992-1993,Sylhet,332370,182690
1992-1993,Dhaka,188450,73170
1992-1993,Faridpur,420190,131010
1992-1993,Jamalpur,150440,55060
1992-1993,Kishoregonj,167490,93530
1992-1993,Mymensingh,316670,148400
1992-1993,Tangail,139560,37600
1992-1993,Barisal,437330,169760
1992-1993,Jessore,357200,189030
1992-1993,Khulna,86110,57100
1992-1993,Kushtia,263360,140570
1992-1993,Patuakhali,176960,67930
1992-1993,Bogra,19210,9960
1992-1993,Dinajpur,180670,77750
1992-1993,Pabna,107870,34880
1992-1993,Rajshahi,305210,155500
1992-1993,Rangpur,372740,152660
1993-1994,Bandarban,25620,15690
1993-1994,Chittagong,99580,76110
1993-1994,Comilla,237870,126790
1993-1994,Khagrachari,4090,2870
1993-1994,Noakhali,175820,70400
1993-1994,Rangamati,14930,8840
1993-1994,Sylhet,356370,184600
1993-1994,Dhaka,169980,61690
1993-1994,Faridpur,433360,134670
1993-1994,Jamalpur,136160,53840
1993-1994,Kishoregonj,170730,104860
1993-1994,Mymensingh,252440,122270
1993-1994,Tangail,123170,38680
1993-1994,Barisal,354180,121660
1993-1994,Jessore,246970,112100
1993-1994,Khulna,104290,64210
1993-1994,Kushtia,249370,137410
1993-1994,Patuakhali,146300,66360
1993-1994,Bogra,9760,4180
1993-1994,Dinajpur,115790,53090
1993-1994,Pabna,100440,32120
1993-1994,Rajshahi,285680,144330
1993-1994,Rangpur,263500,113490
1994-1995,Bandarban,26120,13430
1994-1995,Chittagong,87280,54700
1994-1995,Comilla,217770,100090
1994-1995,Khagrachari,3950,2930
1994-1995,Noakhali,242260,99010
1994-1995,Rangamati,14000,6230
1994-1995,Sylhet,503190,286410
1994-1995,Dhaka,161180,55010
1994-1995,Faridpur,448740,162210
1994-1995,Jamalpur,158960,54870
1994-1995,Kishoregonj,159260,81100
1994-1995,Mymensingh,258460,105170
1994-1995,Tangail,126510,34490
1994-1995,Barisal,365640,130140
1994-1995,Jessore,231300,116180
1994-1995,Khulna,93930,56710
1994-1995,Kushtia,212880,117090
1994-1995,Patuakhali,162040,71320
1994-1995,Bogra,8490,2700
1994-1995,Dinajpur,110150,31070
1994-1995,Pabna,93770,24630
1994-1995,Rajshahi,219490,107490
1994-1995,Rangpur,212060,77750
1995-1996,Bandarban,5760,5170
1995-1996,Chittagong,44780,38580
1995-1996,Comilla,127280,94540
1995-1996,Khagrachari,2820,2330
1995-1996,Noakhali,108820,72950
1995-1996,Rangamati,3970,3580
1995-1996,Sylhet,177920,140660
1995-1996,Dhaka,14490,8120
1995-1996,Faridpur,1390,1240
1995-1996,Jamalpur,19270,11760
1995-1996,Kishoregonj,103420,62850
1995-1996,Mymensingh,127530,90210
1995-1996,Tangail,10310,4820
1995-1996,Barisal,52250,31260
1995-1996,Jessore,50610,45130
1995-1996,Khulna,27580,22200
1995-1996,Kushtia,19110,18100
1995-1996,Patuakhali,38160,28540
1995-1996,Bogra,29800,20700
1995-1996,Dinajpur,53900,31270
1995-1996,Pabna,710,290
1995-1996,Rajshahi,89660,72560
1995-1996,Rangpur,60480,32010
1996-1997,Bandarban,29270,16690
1996-1997,Chittagong,88910,58230
1996-1997,Comilla,308210,162080
1996-1997,Khagrachari,4190,3050
1996-1997,Noakhali,241090,117480
1996-1997,Rangamati,11210,7290
1996-1997,Sylhet,445670,262240
1996-1997,Dhaka,138610,49120
1996-1997,Faridpur,408260,149770
1996-1997,Jamalpur,125250,44000
1996-1997,Kishoregonj,142730,77710
1996-1997,Mymensingh,262340,131170
1996-1997,Tangail,115920,32180
1996-1997,Barisal,378560,129920
1996-1997,Jessore,200840,110800
1996-1997,Khulna,57310,36250
1996-1997,Kushtia,182680,98690
1996-1997,Patuakhali,202020,101980
1996-1997,Bogra,33970,22110
1996-1997,Dinajpur,95090,43290
1996-1997,Pabna,70120,21480
1996-1997,Rajshahi,227220,129970
1996-1997,Rangpur,165250,65250
1997-1998,Bandarban,30620,17120
1997-1998,Chittagong,106710,63990
1997-1998,Comilla,305630,162450
1997-1998,Khagrachari,5870,4150
1997-1998,Noakhali,225370,105670
1997-1998,Rangamati,10230,6050
1997-1998,Sylhet,446380,273410
1997-1998,Dhaka,141200,45980
1997-1998,Faridpur,393480,122450
1997-1998,Jamalpur,111410,41710
1997-1998,Kishoregonj,142570,79940
1997-1998,Mymensingh,243370,134620
1997-1998,Tangail,107080,29350
1997-1998,Barisal,355600,134800
1997-1998,Jessore,237110,143420
1997-1998,Khulna,55050,35760
1997-1998,Kushtia,178890,97250
1997-1998,Patuakhali,209680,96660
1997-1998,Bogra,31210,20290
1997-1998,Dinajpur,90370,41960
1997-1998,Pabna,65900,23090
1997-1998,Rajshahi,229670,131960
1997-1998,Rangpur,144570,62350
1998-1999,Bandarban,30250,17000
1998-1999,Chittagong,112700,77210
1998-1999,Comilla,241660,119600
1998-1999,Khagrachari,3040,1670
1998-1999,Noakhali,195890,82860
1998-1999,Rangamati,10740,6650
1998-1999,Sylhet,375070,192880
1998-1999,Dhaka,117890,37360
1998-1999,Faridpur,378610,117650
1998-1999,Jamalpur,89160,31990
1998-1999,Kishoregonj,135850,61650
1998-1999,Mymensingh,216520,106660
1998-1999,Tangail,83170,20430
1998-1999,Barisal,354310,125450
1998-1999,Jessore,247250,143410
1998-1999,Khulna,46960,32120
1998-1999,Kushtia,183420,105650
1998-1999,Patuakhali,213740,104040
1998-1999,Bogra,26640,16870
1998-1999,Dinajpur,83890,39620
1998-1999,Pabna,67500,22940
1998-1999,Rajshahi,177290,97920
1998-1999,Rangpur,127930,55250
1999-2000,Bandarban,31610,17580
1999-2000,Chittagong,106060,80160
1999-2000,Comilla,218400,117650
1999-2000,Khagrachari,2700,1680
1999-2000,Noakhali,221980,125550
1999-2000,Rangamati,11370,7320
1999-2000,Sylhet,349950,212600
1999-2000,Dhaka,123520,40990
1999-2000,Faridpur,373810,133270
1999-2000,Jamalpur,73760,28300
1999-2000,Kishoregonj,131680,81420
1999-2000,Mymensingh,194930,100660
1999-2000,Tangail,71400,26660
