DistrictName ,FinancialYear,TotalArea(Acres),Production(Tons)
Kushtia,1992-1993,239530,199020
Kushtia,1993-1994,243000,178100
Kushtia,1994-1995,243080,170840
Kushtia,1995-1996,269270,196900
Kushtia,1996-1997,257750,211370
Kushtia,1997-1998,259720,211720
Kushtia,1998-1999,259010,206610
Kushtia,1999-2000,266600,262220
Kushtia,2000-2001,255720,225210
Kushtia,2001-2002,261910,261910
Kushtia,2002-2003,269620,243820
Kushtia,2003-2004,271800,263440
Kushtia,2004-2005,263785,237924
Kushtia,2005-2006,294426,243711
Lakshmipur,2006-2007,174680,118629
Lakshmipur,2007-2008,158670,96891
Lakshmipur,2008-2009,159910,109125
Lakshmipur,2009-2010,218784,160309
Lakshmipur,2010-2011,212407,164634
Lakshmipur,2011-2012,208300,168048
Lakshmipur,2012-2013,208670,187673
Lakshmipur,2013-2014,207166,194512
Lakshmipur,2014-2015,204593,202248
Lalmonirhat,2006-2007,192215,174705
Lalmonirhat,2007-2008,181890,140696
Lalmonirhat,2008-2009,188025,167463
Lalmonirhat,2009-2010,193856,184277
Lalmonirhat,2010-2011,182420,192881
Lalmonirhat,2011-2012,185921,193099
Lalmonirhat,2012-2013,192073,197929
Lalmonirhat,2013-2014,192218,205795
Lalmonirhat,2014-2015,191750,211545
Madaripur,2006-2007,94770,47088
Madaripur,2007-2008,61265,24551
Madaripur,2008-2009,69030,35699
Madaripur,2009-2010,77286,50911
Madaripur,2010-2011,76472,45759
Madaripur,2011-2012,67571,30266
Madaripur,2012-2013,64131,30782
Madaripur,2013-2014,55938,31882
Madaripur,2014-2015,60917,36743
Magura,2006-2007,107615,95165
Magura,2007-2008,97315,91782
Magura,2008-2009,128400,116237
Magura,2009-2010,125700,116479
Magura,2010-2011,122518,136409
Magura,2011-2012,120564,125560
Magura,2012-2013,127442,121238
Magura,2013-2014,325438,317704
Magura,2014-2015,140570,145287
Manikgonj,2006-2007,78085,26581
Manikgonj,2007-2008,21590,8389
Manikgonj,2008-2009,32095,14175
Manikgonj,2009-2010,81815,33690
Manikgonj,2010-2011,85688,35234
Manikgonj,2011-2012,76229,33381
Manikgonj,2012-2013,75574,33834
Manikgonj,2013-2014,81215,39699
Manikgonj,2014-2015,98733,52046
Maulavibazar,2006-2007,268620,259350
Maulavibazar,2007-2008,224385,220055
Maulavibazar,2008-2009,238705,241094
Maulavibazar,2009-2010,235295,265500
Maulavibazar,2010-2011,234043,251751
Maulavibazar,2011-2012,235757,266727
Maulavibazar,2012-2013,269407,285423
Maulavibazar,2013-2014,249572,263539
Maulavibazar,2014-2015,227241,227829
Meherpur,2006-2007,60855,56828
Meherpur,2007-2008,60425,58166
Meherpur,2008-2009,65510,58714
Meherpur,2009-2010,61959,58733
Meherpur,2010-2011,61223,55439
Meherpur,2011-2012,61785,69326
Meherpur,2012-2013,57694,60418
Meherpur,2013-2014,183789,188019
Meherpur,2014-2015,58717,70650
Munshigonj,2006-2007,40345,14020
Munshigonj,2007-2008,43110,13179
Munshigonj,2008-2009,44400,16010
Munshigonj,2009-2010,43375,20805
Munshigonj,2010-2011,45484,21953
Munshigonj,2011-2012,38604,18358
Munshigonj,2012-2013,37503,17653
Munshigonj,2013-2014,34972,16474
Munshigonj,2014-2015,47162,22886
Mymensingh,1969-1970,1501670,687190
Mymensingh,1970-1971,1051810,450930
Mymensingh,1971-1972,1045000,530070
Mymensingh,1972-1973,1082500,478155
Mymensingh,1973-1974,1075255,620570
Mymensingh,1974-1975,409695,173205
Mymensingh,1975-1976,1068510,622035
Mymensingh,1976-1977,5,531460
Mymensingh,1977-1978,1084605,566470
Mymensingh,1978-1979,628310,361440
Mymensingh,1979-1980,640370,360075
Mymensingh,1980-1981,648460,379105
Mymensingh,1981-1982,645685,312085
Mymensingh,1982-1983,649100,350950
Mymensingh,1983-1984,644795,342825
Mymensingh,1984-1985,651985,373395
Mymensingh,1985-1986,673940,435315
Mymensingh,1986-1987,639760,382480
Mymensingh,1987-1988,577835,378395
Mymensingh,1988-1989,509685,289265
Mymensingh,1989-1990,584820,385390
Mymensingh,1990-1991,611070,339460
Mymensingh,1991-1992,578100,344280
Mymensingh,1992-1993,581350,379660
Mymensingh,1993-1994,578700,412510
Mymensingh,1994-1995,569780,368540
Mymensingh,1995-1996,591570,346300
Mymensingh,1996-1997,615079,400240
Mymensingh,1997-1998,534180,242760
Mymensingh,1998-1999,477100,236200
Mymensingh,1999-2000,612230,467410
Mymensingh,2000-2001,655150,538040
Mymensingh,2001-2002,657900,657900
Mymensingh,2002-2003,646390,480370
Mymensingh,2003-2004,674340,554420
Mymensingh,2004-2005,648873,500915
Mymensingh,2005-2006,649799,508732
Mymensingh,2006-2007,648855,494337
Mymensingh,2007-2008,624870,491413
Mymensingh,2008-2009,647445,550642
Mymensingh,2009-2010,653785,475919
Mymensingh,2010-2011,675278,587762
Mymensingh,2011-2012,668054,568546
Mymensingh,2012-2013,657360,575001
Mymensingh,2013-2014,634684,563878
Mymensingh,2014-2015,638900,636761
Nababgonj,2014-2015,616823,614367
Narail,2006-2007,138650,95658
Narail,2007-2008,102995,73287
Narail,2008-2009,111705,85788
Narail,2009-2010,124598,88784
Narail,2010-2011,89563,59750
Narail,2011-2012,87878,66675
Narail,2012-2013,89060,68216
Narail,2013-2014,207138,251848
Narail,2014-2015,87207,71785
Narayangonj,2006-2007,32585,16218
Narayangonj,2007-2008,32480,14485
Narayangonj,2008-2009,33280,14048
Narayangonj,2009-2010,31318,19742
Narayangonj,2010-2011,31871,18736
Narayangonj,2011-2012,28762,16311
Narayangonj,2012-2013,28774,16176
Narayangonj,2013-2014,26321,13713
Narayangonj,2014-2015,23098,12516
Narsingdi,2006-2007,111355,97603
Narsingdi,2007-2008,106905,93958
Narsingdi,2008-2009,107755,89811
Narsingdi,2009-2010,108849,109773
Narsingdi,2010-2011,105501,103641
Narsingdi,2011-2012,105090,107112
Narsingdi,2012-2013,103767,89870
Narsingdi,2013-2014,101441,88303
Narsingdi,2014-2015,97029,91527
Natore,2006-2007,158810,109097
Natore,2007-2008,148330,114185
Natore,2008-2009,169640,148921
Natore,2009-2010,176782,161042
Natore,2010-2011,172062,115818
Natore,2011-2012,185598,168278
Natore,2012-2013,176687,155911
Natore,2013-2014,294511,322855
Natore,2014-2015,129945,137678
Nawabgonj,2006-2007,120533,121182
Nawabgonj,2007-2008,120010,140405
Nawabgonj,2008-2009,123320,135941
Nawabgonj,2009-2010,121718,125785
Nawabgonj,2010-2011,106287,112073
Nawabgonj,2011-2012,113963,115168
Nawabgonj,2012-2013,114240,119715
Nawabgonj,2013-2014,231901,246586
Netrokona,2006-2007,328510,281701
Netrokona,2007-2008,274830,221270
Netrokona,2008-2009,270870,239694
Netrokona,2009-2010,346202,279596
Netrokona,2010-2011,345397,315602
Netrokona,2011-2012,341691,321711
Netrokona,2012-2013,342602,325183
Netrokona,2013-2014,346639,315133
Netrokona,2014-2015,304282,287835
Nilphamari,2006-2007,257115,243999
Nilphamari,2007-2008,265395,189411
Nilphamari,2008-2009,265440,263782
Nilphamari,2009-2010,264085,245108
Nilphamari,2010-2011,272632,269707
Nilphamari,2011-2012,259704,281714
Nilphamari,2012-2013,269633,306655
Nilphamari,2013-2014,260619,276585
Nilphamari,2014-2015,263626,302918
Noagaon,2006-2007,488895,472186
Noagaon,2007-2008,465045,484522
Noagaon,2008-2009,461780,481074
Noagaon,2009-2010,475075,500097
Noagaon,2010-2011,489512,532639
Noagaon,2011-2012,492122,525477
Noagaon,2012-2013,505651,570639
Noagaon,2013-2014,610979,652120
Noagaon,2014-2015,180457,174355
Noakhali,1969-1970,726660,332125
Noakhali,1970-1971,612048,218300
Noakhali,1971-1972,736150,281485
Noakhali,1972-1973,711710,277315
Noakhali,1973-1974,745450,297315
Noakhali,1974-1975,633920,259475
Noakhali,1975-1976,710485,320755
Noakhali,1976-1977,731215,395385
Noakhali,1977-1978,725785,452260
Noakhali,1978-1979,774130,435940
Noakhali,1979-1980,776810,359670
Noakhali,1980-1981,747285,419850
Noakhali,1981-1982,717150,306850
Noakhali,1982-1983,698420,336245
Noakhali,1983-1984,701895,367575
Noakhali,1984-1985,733905,423035
Noakhali,1985-1986,781080,418640
Noakhali,1986-1987,731965,418945
Noakhali,1987-1988,600730,316665
Noakhali,1988-1989,674335,372470
Noakhali,1989-1990,657420,379270
Noakhali,1990-1991,660150,303790
Noakhali,1991-1992,653750,368800
Noakhali,1992-1993,651130,381760
Noakhali,1993-1994,652340,391270
Noakhali,1994-1995,647260,370400
Noakhali,1995-1996,679960,398220
Noakhali,1996-1997,685600,416310
Noakhali,1997-1998,585410,313070
Noakhali,1998-1999,514030,304930
Noakhali,1999-2000,658540,466820
Noakhali,2000-2001,675760,543080
Noakhali,2001-2002,686420,686420
Noakhali,2002-2003,697270,552520
Noakhali,2003-2004,706710,551230
Noakhali,2004-2005,629025,359728
Noakhali,2005-2006,650719,493400
Noakhali,2006-2007,278360,188034
Noakhali,2007-2008,248240,125346
Noakhali,2008-2009,279060,193174
Noakhali,2009-2010,288961,216300
Noakhali,2010-2011,291268,211545
Noakhali,2011-2012,293415,220437
Noakhali,2012-2013,307792,234188
Noakhali,2013-2014,306912,235917
Noakhali,2014-2015,313536,248264
Pabna,1969-1970,567080,232810
Pabna,1970-1971,493655,163220
Pabna,1971-1972,479555,140690
Pabna,1972-1973,468950,143400
Pabna,1973-1974,386430,134545
Pabna,1974-1975,446800,147320
Pabna,1975-1976,533595,216385
Pabna,1976-1977,583325,226230
Pabna,1977-1978,546730,259180
Pabna,1978-1979,535450,247910
Pabna,1979-1980,517465,196795
Pabna,1980-1981,533160,197995
Pabna,1981-1982,530875,227290
Pabna,1982-1983,520260,228215
Pabna,1983-1984,519180,243100
Pabna,1984-1985,414165,157730
Pabna,1985-1986,458100,212475
Pabna,1986-1987,470540,203635
Pabna,1987-1988,261755,99250
Pabna,1988-1989,251465,109185
Pabna,1989-1990,297125,173840
Pabna,1990-1991,331000,203800
Pabna,1991-1992,307090,194260
Pabna,1992-1993,378380,234040
Pabna,1993-1994,326110,149470
Pabna,1994-1995,348710,172010
Pabna,1995-1996,324570,179180
Pabna,1996-1997,372020,208420
Pabna,1997-1998,374870,212800
Pabna,1998-1999,313940,165760
Pabna,1999-2000,365320,239230
Pabna,2000-2001,416760,321200
Pabna,2001-2002,417320,417320
Pabna,2002-2003,425880,302180
Pabna,2003-2004,434580,321630
Pabna,2004-2005,408199,281777
Pabna,2005-2006,406159,294852
Pabna,2006-2007,254545,174745
Pabna,2007-2008,249660,191689
Pabna,2008-2009,213795,166484
Pabna,2009-2010,238411,180500
Pabna,2010-2011,237280,158628
Pabna,2011-2012,212419,182107
Pabna,2012-2013,214421,185035
Pabna,2013-2014,504481,579316
Pabna,2014-2015,218728,210269
Panchagar,2006-2007,203020,145918
Panchagar,2007-2008,211535,165041
Panchagar,2008-2009,216200,185595
Panchagar,2009-2010,200177,169833
Panchagar,2010-2011,202338,249790
Panchagar,2011-2012,213092,213724
Panchagar,2012-2013,232950,232573
Panchagar,2013-2014,167416,189894
Panchagar,2014-2015,220886,190075
Patuakhali,1969-1970,0,0
Patuakhali,1970-1971,690675,139215
Patuakhali,1971-1972,606070,221715
Patuakhali,1972-1973,655175,233550
Patuakhali,1973-1974,588305,136430
Patuakhali,1974-1975,587250,232465
Patuakhali,1975-1976,607385,299115
Patuakhali,1976-1977,609500,303550
Patuakhali,1977-1978,607165,325435
Patuakhali,1978-1979,621120,311795
Patuakhali,1979-1980,659360,303785
Patuakhali,1980-1981,685735,336925
Patuakhali,1981-1982,682795,313075
Patuakhali,1982-1983,688520,328275
Patuakhali,1983-1984,697755,365480
Patuakhali,1984-1985,721875,363885
Patuakhali,1985-1986,751210,396315
Patuakhali,1986-1987,775400,379240
Patuakhali,1987-1988,776035,411050
Patuakhali,1988-1989,786065,311490
Patuakhali,1989-1990,769080,394960
Patuakhali,1990-1991,768630,332770
Patuakhali,1991-1992,774550,391020
Patuakhali,1992-1993,762100,406720
Patuakhali,1993-1994,770440,430490
Patuakhali,1994-1995,777220,348230
Patuakhali,1995-1996,812490,428060
Patuakhali,1996-1997,815010,372190
Patuakhali,1997-1998,809120,287450
Patuakhali,1998-1999,790300,422600
Patuakhali,1999-2000,822480,518740
Patuakhali,2000-2001,862300,591110
Patuakhali,2001-2002,809750,809750
Patuakhali,2002-2003,790100,476420
Patuakhali,2003-2004,877580,536560
Patuakhali,2004-2005,854942,539576
Patuakhali,2005-2006,781416,503749
Patuakhali,2006-2007,459925,283360
Patuakhali,2007-2008,475465,195319
Patuakhali,2008-2009,490345,267998
Patuakhali,2009-2010,517580,348492
Patuakhali,2010-2011,504165,347730
Patuakhali,2011-2012,508494,339887
Patuakhali,2012-2013,507816,361170
Patuakhali,2013-2014,96849,108973
Patuakhali,2014-2015,502777,358070
Perojpur,2006-2007,181190,96163
Perojpur,2007-2008,189835,92791
Perojpur,2008-2009,171040,108860
Perojpur,2009-2010,198437,137785
Perojpur,2010-2011,166731,116921
Perojpur,2011-2012,157334,115904
Perojpur,2012-2013,154297,112594
Perojpur,2013-2014,144566,102025
Perojpur,2014-2015,151121,115192
Rajbari,2006-2007,106490,80138
Rajbari,2007-2008,91260,80219
Rajbari,2008-2009,115355,93608
Rajbari,2009-2010,121340,115903
Rajbari,2010-2011,106581,91650
Rajbari,2011-2012,92187,78286
Rajbari,2012-2013,104455,92862
Rajbari,2013-2014,105241,102145
Rajbari,2014-2015,91523,93275
Rajshahi,1969-1970,1111420,544415
Rajshahi,1970-1971,1142560,584540
Rajshahi,1971-1972,928840,349600
Rajshahi,1972-1973,1114080,405005
Rajshahi,1973-1974,973630,404810
Rajshahi,1974-1975,1074320,449695
Rajshahi,1975-1976,1069450,454840
Rajshahi,1976-1977,1085795,472285
Rajshahi,1977-1978,1064535,492325
Rajshahi,1978-1979,1061840,485010
Rajshahi,1979-1980,1045610,471925
Rajshahi,1980-1981,1087435,515835
Rajshahi,1981-1982,1082770,513660
Rajshahi,1982-1983,1061115,508275
Rajshahi,1983-1984,1066310,551660
Rajshahi,1984-1985,1013430,525265
Rajshahi,1985-1986,1035080,557255
Rajshahi,1986-1987,991505,510140
Rajshahi,1987-1988,858180,421215
Rajshahi,1988-1989,777010,450810
Rajshahi,1989-1990,1008425,675610
Rajshahi,1990-1991,1011270,730970
Rajshahi,1991-1992,978820,710750
Rajshahi,1992-1993,997810,766840
Rajshahi,1993-1994,967010,708430
Rajshahi,1994-1995,940960,609980
Rajshahi,1995-1996,924810,576970
Rajshahi,1996-1997,980020,676540
Rajshahi,1997-1998,991830,720270
Rajshahi,1998-1999,915420,732660
Rajshahi,1999-2000,970660,800330
Rajshahi,2000-2001,971600,853070
Rajshahi,2001-2002,959560,959560
Rajshahi,2002-2003,939810,818810
Rajshahi,2003-2004,929050,791080
Rajshahi,2004-2005,919506,803978
Rajshahi,2005-2006,959866,892830
Rajshahi,2006-2007,169020,147656
Rajshahi,2007-2008,170430,177145
Rajshahi,2008-2009,171015,179016
Rajshahi,2009-2010,187090,193581
Rajshahi,2010-2011,181820,201370
Rajshahi,2011-2012,180053,185350
Rajshahi,2012-2013,171087,196898
Rajshahi,2013-2014,117370,118453
Rajshahi,2014-2015,527641,605457
Rangamati,1979-1980,69010,301500
Rangamati,1980-1981,60425,54790
Rangamati,1981-1982,87095,50380
Rangamati,1982-1983,81320,54360
Rangamati,1983-1984,72070,49485
Rangamati,1984-1985,15540,13305
Rangamati,1985-1986,17015,14895
Rangamati,1986-1987,16240,15005
Rangamati,1987-1988,15660,15675
Rangamati,1988-1989,15655,11560
Rangamati,1989-1990,16270,13160
Rangamati,1990-1991,17420,15100
Rangamati,1991-1992,21600,17970
Rangamati,1992-1993,22300,18650
Rangamati,1993-1994,19000,16580
Rangamati,1994-1995,21710,19770
Rangamati,1995-1996,23470,18970
Rangamati,1996-1997,23570,20900
Rangamati,1997-1998,20190,19530
Rangamati,1998-1999,21110,20180
Rangamati,1999-2000,24080,21650
Rangamati,2000-2001,24110,27370
Rangamati,2001-2002,25140,25140
Rangamati,2002-2003,25570,29960
Rangamati,2003-2004,25680,30400
Rangamati,2004-2005,25665,29862
Rangamati,2005-2006,25377,24791
Rangamati,2006-2007,22705,22788
Rangamati,2007-2008,18030,16982
Rangamati,2008-2009,24075,22333
Rangamati,2009-2010,23922,25537
Rangamati,2010-2011,23578,24352
Rangamati,2011-2012,24155,25746
Rangamati,2012-2013,24009,24566
Rangamati,2013-2014,24542,27076
Rangamati,2014-2015,24900,27810
Rangpur,1969-1970,1209490,622025
Rangpur,1970-1971,1286790,731755
Rangpur,1971-1972,1294500,751570
Rangpur,1972-1973,1298620,631115
Rangpur,1973-1974,1298830,775020
Rangpur,1974-1975,1276235,692540
Rangpur,1975-1976,1317170,702755
Rangpur,1976-1977,1302095,683845
Rangpur,1977-1978,1307100,717960
Rangpur,1978-1979,1289800,729100
Rangpur,1979-1980,1341590,797575
Rangpur,1980-1981,1395255,851910
Rangpur,1981-1982,1389270,821520
Rangpur,1982-1983,1381250,852665
Rangpur,1983-1984,1385700,871875
Rangpur,1984-1985,1386395,927940
Rangpur,1985-1986,1408610,930040
Rangpur,1986-1987,1391705,887815
Rangpur,1987-1988,1382000,868350
Rangpur,1988-1989,1308645,844570
Rangpur,1989-1990,1458990,1070760
Rangpur,1990-1991,1522980,112230
Rangpur,1991-1992,1560020,129180
Rangpur,1992-1993,1532490,131990
Rangpur,1993-1994,1541410,159020
Rangpur,1994-1995,1278560,953840
Rangpur,1995-1996,1390210,968300
Rangpur,1996-1997,1469520,1169040
Rangpur,1997-1998,1441770,1139290
Rangpur,1998-1999,1268330,762280
Rangpur,1999-2000,1435000,1181190
Rangpur,2000-2001,1430750,1221120
Rangpur,2001-2002,1385080,1385080
Rangpur,2002-2003,1442120,1171790
Rangpur,2003-2004,1397180,1209740
Rangpur,2004-2005,1369640,1060920
Rangpur,2005-2006,1344335,1115308
Rangpur,2006-2007,349160,330083
Rangpur,2007-2008,333875,265742
Rangpur,2008-2009,348050,320885
Rangpur,2009-2010,357770,346055
Rangpur,2010-2011,343825,368115
Rangpur,2011-2012,358971,388317
Rangpur,2012-2013,385735,408861
Rangpur,2013-2014,384166,426409
Rangpur,2014-2015,388989,435563
Satkhira,2006-2007,245990,257794
Satkhira,2007-2008,243320,227075
Satkhira,2008-2009,272105,287569
Satkhira,2009-2010,207649,193309
Satkhira,2010-2011,251482,286059
Satkhira,2011-2012,207797,219388
Satkhira,2012-2013,230873,250523
Satkhira,2013-2014,239487,250786
Satkhira,2014-2015,230416,279166
Shariatpur,2006-2007,61550,31625
Shariatpur,2007-2008,24645,8612
Shariatpur,2008-2009,40020,19148
Shariatpur,2009-2010,40081,18284
Shariatpur,2010-2011,30607,15708
Shariatpur,2011-2012,29858,15920
Shariatpur,2012-2013,33715,17813
Shariatpur,2013-2014,35293,19593
Shariatpur,2014-2015,36215,21802
Sherpur,2006-2007,211255,171062
Sherpur,2007-2008,187975,103787
Sherpur,2008-2009,212145,163830
Sherpur,2009-2010,226859,175203
Sherpur,2010-2011,226858,220729
Sherpur,2011-2012,223772,210547
Sherpur,2012-2013,227906,195386
Sherpur,2013-2014,207851,171891
Sherpur,2014-2015,205805,172290
Sirajgonj,2006-2007,157620,109539
Sirajgonj,2007-2008,58595,31250
Sirajgonj,2008-2009,167760,132163
Sirajgonj,2009-2010,190088,152724
Sirajgonj,2010-2011,194389,136775
Sirajgonj,2011-2012,196168,168070
Sirajgonj,2012-2013,191021,162765
Sirajgonj,2013-2014,181621,163500
Sirajgonj,2014-2015,170323,199696
Sunamgonj,2006-2007,180305,145208
Sunamgonj,2007-2008,100435,72429
Sunamgonj,2008-2009,134080,107731
Sunamgonj,2009-2010,117914,130593
Sunamgonj,2010-2011,118006,116817
Sunamgonj,2011-2012,120198,118940
Sunamgonj,2012-2013,119109,115685
Sunamgonj,2013-2014,127218,122945
Sunamgonj,2014-2015,129819,110452
Sylhet,1969-1970,1223850,629510
Sylhet,1970-1971,1241590,645600
Sylhet,1971-1972,1075590,497775
Sylhet,1972-1973,1038635,414990
Sylhet,1973-1974,1117485,574055
Sylhet,1974-1975,941960,443240
Sylhet,1975-1976,1110660,544495
Sylhet,1976-1977,907990,432305
Sylhet,1977-1978,905000,478980
Sylhet,1978-1979,947345,466480
Sylhet,1979-1980,1098550,492030
Sylhet,1980-1981,1142490,568470
Sylhet,1981-1982,1137590,509035
Sylhet,1982-1983,1142050,525610
Sylhet,1983-1984,1157365,564415
Sylhet,1984-1985,992270,505570
Sylhet,1985-1986,1131000,582750
Sylhet,1986-1987,1098450,552580
Sylhet,1987-1988,1048405,578830
Sylhet,1988-1989,803170,373735
Sylhet,1989-1990,980590,575960
Sylhet,1990-1991,1040900,627130
Sylhet,1991-1992,903670,580130
Sylhet,1992-1993,1028030,650460
Sylhet,1993-1994,1016850,623970
Sylhet,1994-1995,1076370,644730
Sylhet,1995-1996,1050480,661280
Sylhet,1996-1997,1061700,732580
Sylhet,1997-1998,1051260,690980
Sylhet,1998-1999,1049330,641100
Sylhet,1999-2000,1059740,750870
Sylhet,2000-2001,1007660,762830
Sylhet,2001-2002,969430,969430
Sylhet,2002-2003,1006000,800970
Sylhet,2003-2004,1006540,848410
Sylhet,2004-2005,862036,675563
Sylhet,2005-2006,951905,785891
Sylhet,2006-2007,314240,259281
Sylhet,2007-2008,239100,184106
Sylhet,2008-2009,329120,293659
Sylhet,2009-2010,356366,352260
Sylhet,2010-2011,357078,352537
Sylhet,2011-2012,366288,353419
Sylhet,2012-2013,384516,335673
Sylhet,2013-2014,351171,356986
Sylhet,2014-2015,319540,275476
Tangail,1969-1970,0,0
Tangail,1970-1971,242360,69425
Tangail,1971-1972,361820,151475
Tangail,1972-1973,378125,140885
Tangail,1973-1974,370810,166130
Tangail,1974-1975,667230,184465
Tangail,1975-1976,405820,161220
Tangail,1976-1977,451525,180125
Tangail,1977-1978,442260,211800
Tangail,1978-1979,454415,216325
Tangail,1979-1980,437225,194375
Tangail,1980-1981,454715,197820
Tangail,1981-1982,452765,184640
Tangail,1982-1983,439180,200940
Tangail,1983-1984,428845,201840
Tangail,1984-1985,380745,158900
Tangail,1985-1986,378190,177945
Tangail,1986-1987,420840,193500
Tangail,1987-1988,386730,160535
Tangail,1988-1989,88810,39530
Tangail,1989-1990,305710,170370
Tangail,1990-1991,339330,176940
Tangail,1991-1992,257520,145180
Tangail,1992-1993,335570,167900
Tangail,1993-1994,325410,173870
Tangail,1994-1995,216780,146490
Tangail,1995-1996,281000,164920
Tangail,1996-1997,309970,195140
Tangail,1997-1998,295970,151690
Tangail,1998-1999,162880,69010
Tangail,1999-2000,313510,229520
Tangail,2000-2001,365390,277650
Tangail,2001-2002,352170,352170
Tangail,2002-2003,371780,273880
Tangail,2003-2004,371510,265800
Tangail,2004-2005,318251,217327
Tangail,2005-2006,340212,234815
Tangail,2006-2007,329200,258364
Tangail,2007-2008,245975,170918
Tangail,2008-2009,317530,232731
Tangail,2009-2010,336033,250758
Tangail,2010-2011,352298,285921
Tangail,2011-2012,344271,266992
Tangail,2012-2013,321556,241394
Tangail,2013-2014,318362,259119
Tangail,2014-2015,306072,263074
Thakurgaon,2006-2007,238560,201937
Thakurgaon,2007-2008,244380,246464
Thakurgaon,2008-2009,258005,251886
Thakurgaon,2009-2010,289530,354518
Thakurgaon,2010-2011,294785,368478
Thakurgaon,2011-2012,294715,302191
Thakurgaon,2012-2013,289748,292226
Thakurgaon,2013-2014,189450,171958
Thakurgaon,2014-2015,228474,250306
