Area,Year,Item,Area Harvested,Yield,Production
Bangladesh,1970,Lemons and limes,1500,26667,4000
Bangladesh,1970,Lentils,90000,7000,63000
Bangladesh,1970,Lettuce and chicory,11483,56253,64595
Bangladesh,1970,Linseed,14600,4863,7100
Bangladesh,1970,Maize,3200,9375,3000
Bangladesh,1970,"Mangoes, mangosteens, guavas",41659,95915,399572
Bangladesh,1970,"Melons, other (inc.cantaloupes)",6408,169849,108839
Bangladesh,1970,Millet,79803,7819,62401
Bangladesh,1970,Oilseeds nes,2833,4663,1321
Bangladesh,1970,"Onions, dry",32800,55457,181900
Bangladesh,1970,Oranges,1700,71765,12200
Bangladesh,1970,"Peas, dry",70000,6571,46000
Bangladesh,1970,Pigeon peas,3327,8046,2677
Bangladesh,1970,Pineapples,9737,96025,93500
Bangladesh,1970,Potatoes,85400,101253,864700
Bangladesh,1970,Pulses nes,141917,8508,120736
Bangladesh,1970,"Rice, paddy",9912800,16862,16714900
Bangladesh,1970,Sesame seed,44900,6102,27400
Bangladesh,1970,Sorghum,1098,8324,914
Bangladesh,1970,Spices nes,29249,17463,51078
Bangladesh,1970,Spinach,1600,44375,7100
Bangladesh,1970,Sugar cane,165900,453213,7518800
Bangladesh,1970,Sugar crops nes,12977,569343,738836
Bangladesh,1970,Sweet potatoes,72741,117135,852054
Bangladesh,1970,"Tangerines, mandarins, clementines, satsumas",777,55508,4313
Bangladesh,1970,Tea,45604,6862,31295
Bangladesh,1970,Tobacco,45700,9015,41200
Bangladesh,1970,Tomatoes,8529,88591,75559
Bangladesh,1970,"Vegetables, fresh nes",67727,74212,502615
Bangladesh,1970,Wheat,119800,104700,8740
Bangladesh,1970,Roots and Tubers,158141,108558,1716754
Bangladesh,1970,Vegetables Primary,171408,67285,1153326
Bangladesh,1971,Areca nuts,40100,5828,23369
Bangladesh,1971,Bananas,37984,156843,595751
Bangladesh,1971,Barley,37200,7097,26400
Bangladesh,1971,"Bastfibres, others",23316,9234,21531
Bangladesh,1971,"Beans, dry",71460,8481,60604
Bangladesh,1971,"Beans, green",4502,53669,24162
Bangladesh,1971,Berries nes,500,44000,2200
Bangladesh,1971,Cabbages and other brassicas,6119,84610,51773
Bangladesh,1971,Castor oil seed,389,6247,243
Bangladesh,1971,Cauliflowers and broccoli,5767,73856,42593
Bangladesh,1971,Chick peas,73200,8333,61000
Bangladesh,1971,"Chillies and peppers, dry",88600,7223,64000
Bangladesh,1971,Coconuts,24836,23102,57376
Bangladesh,1971,Cucumbers and gherkins,2717,66040,17943
Bangladesh,1971,Fibre crops nes,265,7623,202
Bangladesh,1971,"Fruit, fresh nes",10077,61980,62457
Bangladesh,1971,"Fruit, tropical fresh nes",17400,109195,190000
Bangladesh,1971,Garlic,13400,37164,49800
Bangladesh,1971,Ginger,5018,72937,36600
Bangladesh,1971,Grapefruit (inc. pomelos),700,42857,3000
Bangladesh,1971,"Groundnuts, with shell",26657,13651,36390
Bangladesh,1971,Jute,694000,11205,777600
Bangladesh,1971,Lemons and limes,1500,26667,4000
Bangladesh,1971,Lentils,100000,6900,69000
Bangladesh,1971,Lettuce and chicory,11367,55987,63640
Bangladesh,1971,Linseed,14600,5137,7500
Bangladesh,1971,Maize,2800,7143,2000
Bangladesh,1971,"Mangoes, mangosteens, guavas",41700,101118,421660
Bangladesh,1971,"Melons, other (inc.cantaloupes)",6698,159370,106746
Bangladesh,1971,Millet,66632,7686,51214
Bangladesh,1971,Oilseeds nes,2251,4567,1028
Bangladesh,1971,"Onions, dry",33200,53855,178800
Bangladesh,1971,Oranges,1800,59444,10700
Bangladesh,1971,"Peas, dry",80000,6625,53000
Bangladesh,1971,Pigeon peas,3337,8043,2684
Bangladesh,1971,Pineapples,9848,92386,90982
Bangladesh,1971,Potatoes,86600,99607,862600
Bangladesh,1971,Pulses nes,145718,8182,119229
Bangladesh,1971,"Rice, paddy",9297682,16022,14896689
Bangladesh,1971,Sesame seed,47515,6098,28977
Bangladesh,1971,Sorghum,1028,7539,775
Bangladesh,1971,Spices nes,28270,18353,51885
Bangladesh,1971,Spinach,1650,43636,7200
Bangladesh,1971,Sugar cane,163500,472165,7719900
Bangladesh,1971,Sugar crops nes,12700,548875,697071
Bangladesh,1971,Sweet potatoes,72735,114374,831896
Bangladesh,1971,"Tangerines, mandarins, clementines, satsumas",647,60773,3932
Bangladesh,1971,Tea,45604,2633,12007
Bangladesh,1971,Tobacco,43700,10915,47700
Bangladesh,1971,Tomatoes,8581,85248,73151
Bangladesh,1971,"Vegetables, fresh nes",67074,74258,498078
Bangladesh,1971,Wheat,125900,111800,8880
Bangladesh,1971,Roots and Tubers,159335,106348,1694496
Bangladesh,1971,Vegetables Primary,170362,66719,1136646
Bangladesh,1972,Areca nuts,37683,5692,21448
Bangladesh,1972,Bananas,37557,156026,585987
Bangladesh,1972,Barley,28700,7422,21300
Bangladesh,1972,"Bastfibres, others",24038,9989,24012
Bangladesh,1972,"Beans, dry",87000,8046,70000
Bangladesh,1972,"Beans, green",3923,53444,20966
Bangladesh,1972,Berries nes,524,40057,2099
Bangladesh,1972,Cabbages and other brassicas,5192,79060,41048
Bangladesh,1972,Castor oil seed,350,5771,202
Bangladesh,1972,Cauliflowers and broccoli,4860,69755,33901
Bangladesh,1972,Chick peas,71669,8305,59520
Bangladesh,1972,"Chillies and peppers, dry",82335,7164,58987
Bangladesh,1972,Coconuts,25101,23233,58316
Bangladesh,1972,Cucumbers and gherkins,2363,59467,14052
Bangladesh,1972,Fibre crops nes,443,5463,242
Bangladesh,1972,"Fruit, fresh nes",9392,60845,57146
Bangladesh,1972,"Fruit, tropical fresh nes",17721,108346,192000
Bangladesh,1972,Garlic,13000,33615,43700
Bangladesh,1972,Ginger,4916,70376,34597
Bangladesh,1972,Grapefruit (inc. pomelos),700,42857,3000
Bangladesh,1972,"Groundnuts, with shell",22893,13759,31498
Bangladesh,1972,Jute,896261,13410,1201860
Bangladesh,1972,Lemons and limes,1500,26667,4000
Bangladesh,1972,Lentils,120000,6917,83000
Bangladesh,1972,Lettuce and chicory,8490,48857,41480
Bangladesh,1972,Linseed,20000,4500,9000
Bangladesh,1972,Maize,2800,7143,2000
Bangladesh,1972,"Mangoes, mangosteens, guavas",41044,89098,365692
Bangladesh,1972,"Melons, other (inc.cantaloupes)",6222,160238,99700
Bangladesh,1972,Millet,67988,7472,50802
Bangladesh,1972,Oilseeds nes,1847,4510,833
Bangladesh,1972,"Onions, dry",30800,51786,159500
Bangladesh,1972,Oranges,1200,67500,8100
Bangladesh,1972,"Peas, dry",85000,6941,59000
Bangladesh,1972,Pigeon peas,2916,7414,2162
Bangladesh,1972,Pineapples,10860,91319,99172
Bangladesh,1972,Potatoes,76236,98746,752797
Bangladesh,1972,Pulses nes,200000,6800,136000
Bangladesh,1972,"Rice, paddy",9629708,15716,15133678
Bangladesh,1972,Sesame seed,47723,5421,25869
Bangladesh,1972,Sorghum,1032,7219,745
Bangladesh,1972,Spices nes,27179,16504,44856
Bangladesh,1972,Spinach,1700,43529,7400
Bangladesh,1972,Sugar cane,140421,411396,5776860
Bangladesh,1972,Sugar crops nes,12644,455925,576471
Bangladesh,1972,Sweet potatoes,67233,111124,747117
Bangladesh,1972,"Tangerines, mandarins, clementines, satsumas",841,42949,3612
Bangladesh,1972,Tea,45604,5278,24068
Bangladesh,1972,Tobacco,41066,8456,34724
Bangladesh,1972,Tomatoes,7373,83077,61253
Bangladesh,1972,"Vegetables, fresh nes",57896,70853,410210
Bangladesh,1972,Wheat,127259,115012,9038
Bangladesh,1972,Roots and Tubers,143469,104546,1499914
Bangladesh,1972,Vegetables Primary,149488,62980,941470
Bangladesh,1973,Areca nuts,37573,5736,21550
Bangladesh,1973,Bananas,37462,157007,588181
Bangladesh,1973,Barley,25900,6293,16300
Bangladesh,1973,"Bastfibres, others",21929,10287,22558
Bangladesh,1973,"Beans, dry",105000,7619,80000
Bangladesh,1973,"Beans, green",5948,37537,22327
Bangladesh,1973,Berries nes,510,39843,2032
Bangladesh,1973,Cabbages and other brassicas,4927,73012,35973
Bangladesh,1973,Castor oil seed,346,5838,202
Bangladesh,1973,Cauliflowers and broccoli,4715,65315,30796
Bangladesh,1973,Chick peas,90000,6667,60000
Bangladesh,1973,"Chillies and peppers, dry",77662,6734,52300
Bangladesh,1973,Coconuts,25204,22910,57742
Bangladesh,1973,Cucumbers and gherkins,2388,57228,13666
Bangladesh,1973,Fibre crops nes,471,5796,273
Bangladesh,1973,"Fruit, fresh nes",9832,55525,54592
Bangladesh,1973,"Fruit, tropical fresh nes",18177,108480,197185
Bangladesh,1973,Garlic,12404,33153,41123
Bangladesh,1973,Ginger,5148,68399,35212
Bangladesh,1973,Grapefruit (inc. pomelos),771,43709,3370
Bangladesh,1973,"Groundnuts, with shell",20823,13494,28099
Bangladesh,1973,Jute,888857,12553,1115820
Bangladesh,1973,Lemons and limes,1466,27449,4024
Bangladesh,1973,Lentils,150000,6933,104000
Bangladesh,1973,Lettuce and chicory,7574,45222,34251
Bangladesh,1973,Linseed,30000,4667,14000
Bangladesh,1973,Maize,2724,8744,2382
Bangladesh,1973,"Mangoes, mangosteens, guavas",41410,82516,341698
Bangladesh,1973,"Melons, other (inc.cantaloupes)",6139,154302,94726
Bangladesh,1973,Millet,66780,7254,48443
Bangladesh,1973,Oilseeds nes,1545,4544,702
Bangladesh,1973,"Onions, dry",31160,49889,155455
Bangladesh,1973,Oranges,2096,38950,8164
Bangladesh,1973,"Peas, dry",90000,6556,59000
Bangladesh,1973,Pigeon peas,2880,7233,2083
Bangladesh,1973,Pineapples,12205,91307,111440
Bangladesh,1973,Potatoes,79554,95370,758710
Bangladesh,1973,Pulses nes,200000,7000,140000
Bangladesh,1973,"Rice, paddy",9878297,18083,17862704
Bangladesh,1973,Sesame seed,43530,5846,25447
Bangladesh,1973,Sorghum,989,7280,720
Bangladesh,1973,Spices nes,26298,15513,40796
Bangladesh,1973,Spinach,1722,43926,7564
Bangladesh,1973,Sugar cane,128327,421087,5403684
Bangladesh,1973,Sugar crops nes,12679,426790,541127
Bangladesh,1973,Sweet potatoes,63704,108528,691366
Bangladesh,1973,"Tangerines, mandarins, clementines, satsumas",838,43019,3605
Bangladesh,1973,Tea,45604,5968,27216
Bangladesh,1973,Tobacco,47086,8469,39877
Bangladesh,1973,Tomatoes,6859,77533,53180
Bangladesh,1973,"Vegetables, fresh nes",58007,66857,387816
Bangladesh,1973,Wheat,120132,90963,7572
Bangladesh,1973,Roots and Tubers,143258,101221,1450076
Bangladesh,1973,Vegetables Primary,149805,59088,885163
Bangladesh,1974,Areca nuts,37116,5771,21419
Bangladesh,1974,Bananas,36830,156155,575120
Bangladesh,1974,Barley,24453,6306,15419
Bangladesh,1974,"Bastfibres, others",15402,8648,13319
Bangladesh,1974,"Beans, dry",130000,6923,90000
Bangladesh,1974,"Beans, green",5995,37079,22229
Bangladesh,1974,Berries nes,522,46609,2433
Bangladesh,1974,Cabbages and other brassicas,5006,73260,36674
Bangladesh,1974,Castor oil seed,276,5435,150
Bangladesh,1974,Cauliflowers and broccoli,4881,66238,32331
Bangladesh,1974,Chick peas,110000,6818,75000
Bangladesh,1974,"Chillies and peppers, dry",66822,6607,44147
Bangladesh,1974,Coconuts,26542,23305,61857
Bangladesh,1974,Cucumbers and gherkins,2426,57045,13839
Bangladesh,1974,Fibre crops nes,490,6000,294
Bangladesh,1974,"Fruit, fresh nes",10265,53705,55128
Bangladesh,1974,"Fruit, tropical fresh nes",18104,106855,193451
Bangladesh,1974,Garlic,12553,32838,41222
Bangladesh,1974,Ginger,5271,68721,36223
Bangladesh,1974,Grapefruit (inc. pomelos),816,40699,3321
Bangladesh,1974,"Groundnuts, with shell",19462,13542,26356
Bangladesh,1974,Jute,583000,12449,725760
Bangladesh,1974,Lemons and limes,1506,25511,3842
Bangladesh,1974,Lentils,180000,6889,124000
Bangladesh,1974,Lettuce and chicory,7638,45202,34525
Bangladesh,1974,Linseed,40000,4500,18000
Bangladesh,1974,Maize,2656,8878,2358
Bangladesh,1974,"Mangoes, mangosteens, guavas",41600,72332,300903
Bangladesh,1974,"Melons, other (inc.cantaloupes)",5937,149412,88706
Bangladesh,1974,Millet,68682,6757,46410
Bangladesh,1974,Oilseeds nes,1391,4299,598
Bangladesh,1974,"Onions, dry",30916,48168,148916
Bangladesh,1974,Oranges,2068,37292,7712
Bangladesh,1974,"Peas, dry",100000,6600,66000
Bangladesh,1974,Pigeon peas,2947,7520,2216
Bangladesh,1974,Pineapples,12863,96597,124253
Bangladesh,1974,Potatoes,80058,91192,730067
Bangladesh,1974,Pulses nes,200000,7500,150000
Bangladesh,1974,"Rice, paddy",9792191,17289,16929568
Bangladesh,1974,Sesame seed,51062,5570,28439
Bangladesh,1974,Sorghum,909,8031,730
Bangladesh,1974,Spices nes,25016,14703,36781
Bangladesh,1974,Spinach,1766,44015,7773
Bangladesh,1974,Sugar cane,147483,436897,6443484
Bangladesh,1974,Sugar crops nes,12777,426484,544918
Bangladesh,1974,Sweet potatoes,60578,105128,636845
Bangladesh,1974,"Tangerines, mandarins, clementines, satsumas",915,40164,3675
Bangladesh,1974,Tea,43162,7453,32169
Bangladesh,1974,Tobacco,46392,8967,41599
Bangladesh,1974,Tomatoes,6835,76876,52545
Bangladesh,1974,"Vegetables, fresh nes",61845,65860,407314
Bangladesh,1974,Wheat,123437,110929,8987
Bangladesh,1974,Roots and Tubers,140636,97195,1366912
Bangladesh,1974,Vegetables Primary,152851,58236,890143
Bangladesh,1975,Areca nuts,37336,6006,22424
Bangladesh,1975,Bananas,37211,155416,578318
Bangladesh,1975,Barley,25550,6406,16367
Bangladesh,1975,"Bastfibres, others",13363,10286,13745
Bangladesh,1975,"Beans, dry",140000,7143,100000
Bangladesh,1975,"Beans, green",6632,39704,26332
Bangladesh,1975,Berries nes,522,46609,2433
Bangladesh,1975,Cabbages and other brassicas,5783,76173,44051
Bangladesh,1975,Castor oil seed,282,5887,166
Bangladesh,1975,Cauliflowers and broccoli,5381,69515,37406
Bangladesh,1975,Chick peas,130000,6923,90000
Bangladesh,1975,"Chillies and peppers, dry",78856,6365,50192
Bangladesh,1975,Coconuts,26092,23725,61903
Bangladesh,1975,Cucumbers and gherkins,2307,53997,12457
Bangladesh,1975,Fibre crops nes,434,6129,266
Bangladesh,1975,"Fruit, fresh nes",9753,50251,49010
Bangladesh,1975,"Fruit, tropical fresh nes",18500,106083,196254
Bangladesh,1975,Garlic,12719,33104,42105
Bangladesh,1975,Ginger,5405,68316,36925
Bangladesh,1975,Grapefruit (inc. pomelos),866,39584,3428
Bangladesh,1975,"Groundnuts, with shell",22250,14202,31599
Bangladesh,1975,Jute,511000,15432,788580
Bangladesh,1975,Lemons and limes,1514,23705,3589
Bangladesh,1975,Lentils,200000,6900,138000
Bangladesh,1975,Lettuce and chicory,8355,45374,37910
Bangladesh,1975,Linseed,50000,4600,23000
Bangladesh,1975,Maize,2481,9025,2239
Bangladesh,1975,"Mangoes, mangosteens, guavas",40924,69331,283732
Bangladesh,1975,"Melons, other (inc.cantaloupes)",7171,146088,104760
Bangladesh,1975,Millet,64530,6809,43939
Bangladesh,1975,Oilseeds nes,1325,4453,590
Bangladesh,1975,"Onions, dry",31145,46742,145578
Bangladesh,1975,Oranges,2185,36874,8057
Bangladesh,1975,"Peas, dry",110000,6636,73000
Bangladesh,1975,Pigeon peas,5000,7200,3600
Bangladesh,1975,Pineapples,14356,96468,138489
Bangladesh,1975,Potatoes,93864,93792,880372
Bangladesh,1975,Pulses nes,200000,7500,150000
Bangladesh,1975,"Rice, paddy",10329868,18531,19142624
Bangladesh,1975,Sesame seed,54301,5318,28876
Bangladesh,1975,Sorghum,894,7617,681
Bangladesh,1975,Spices nes,25345,14816,37551
Bangladesh,1975,Spinach,1999,44952,8986
Bangladesh,1975,Sugar cane,153602,438880,6741283
Bangladesh,1975,Sugar crops nes,12535,395020,495157
Bangladesh,1975,Sweet potatoes,66557,107979,718678
Bangladesh,1975,"Tangerines, mandarins, clementines, satsumas",931,38453,3580
Bangladesh,1975,Tea,43161,6809,29388
Bangladesh,1975,Tobacco,45624,8848,40370
Bangladesh,1975,Tomatoes,7972,77057,61430
Bangladesh,1975,"Vegetables, fresh nes",64508,74172,478468
Bangladesh,1975,Wheat,126037,116714,9260
Bangladesh,1975,Roots and Tubers,160421,99678,1599050
Bangladesh,1975,Vegetables Primary,159984,61905,990379
Bangladesh,1976,Areca nuts,37049,6414,23765
Bangladesh,1976,Bananas,37735,155989,588625
Bangladesh,1976,Barley,25558,6701,17126
Bangladesh,1976,"Bastfibres, others",14542,10287,14959
Bangladesh,1976,"Beans, dry",170000,6471,110000
Bangladesh,1976,"Beans, green",6989,41648,29108
Bangladesh,1976,Berries nes,535,47009,2515
Bangladesh,1976,Cabbages and other brassicas,5917,75623,44746
Bangladesh,1976,Castor oil seed,344,5494,189
Bangladesh,1976,Cauliflowers and broccoli,5585,68829,38441
Bangladesh,1976,Chick peas,160000,7000,112000
Bangladesh,1976,"Chillies and peppers, dry",79232,6675,52888
Bangladesh,1976,Coconuts,26533,24614,65307
Bangladesh,1976,Cucumbers and gherkins,2402,53510,12853
Bangladesh,1976,Fibre crops nes,398,6432,256
Bangladesh,1976,"Fruit, fresh nes",10152,51114,51891
Bangladesh,1976,"Fruit, tropical fresh nes",18883,109033,205887
Bangladesh,1976,Garlic,11932,32267,38501
Bangladesh,1976,Ginger,5350,66699,35684
Bangladesh,1976,Grapefruit (inc. pomelos),884,40170,3551
Bangladesh,1976,"Groundnuts, with shell",20975,11126,23336
Bangladesh,1976,Jute,650000,13415,872000
Bangladesh,1976,Lemons and limes,1588,24452,3883
Bangladesh,1976,Lentils,250000,6920,173000
Bangladesh,1976,Lettuce and chicory,8871,47138,41816
Bangladesh,1976,Linseed,55000,4545,25000
Bangladesh,1976,Maize,2398,8974,2152
Bangladesh,1976,"Mangoes, mangosteens, guavas",42820,63393,271450
Bangladesh,1976,"Melons, other (inc.cantaloupes)",7746,141934,109942
Bangladesh,1976,Millet,62572,6671,41741
Bangladesh,1976,Oilseeds nes,1248,4559,569
Bangladesh,1976,"Onions, dry",33172,45211,149975
Bangladesh,1976,Oranges,2321,36971,8581
Bangladesh,1976,"Peas, dry",115000,6261,72000
Bangladesh,1976,Pigeon peas,8000,7250,5800
Bangladesh,1976,Pineapples,14644,98212,143822
Bangladesh,1976,Potatoes,95932,94132,903025
Bangladesh,1976,Pulses nes,200000,7500,150000
Bangladesh,1976,"Rice, paddy",9882050,17839,17628320
Bangladesh,1976,Sesame seed,51568,5380,27743
Bangladesh,1976,Sorghum,832,7368,613
Bangladesh,1976,Spices nes,23194,14541,33727
Bangladesh,1976,Spinach,2088,45690,9540
Bangladesh,1976,Sugar cane,133040,449539,5980663
Bangladesh,1976,Sugar crops nes,12704,381641,484837
Bangladesh,1976,Sweet potatoes,71547,110501,790599
Bangladesh,1976,"Tangerines, mandarins, clementines, satsumas",929,38536,3580
Bangladesh,1976,Tea,43099,7911,34097
Bangladesh,1976,Tobacco,49200,9182,45176
Bangladesh,1976,Tomatoes,7752,75095,58214
Bangladesh,1976,"Vegetables, fresh nes",65500,66394,434883
Bangladesh,1976,Wheat,150102,218174,14535
Bangladesh,1976,Roots and Tubers,167479,101125,1693624
Bangladesh,1976,Vegetables Primary,163146,58291,950995
Bangladesh,1977,Areca nuts,37387,6865,25665
Bangladesh,1977,Bananas,37992,155221,589714
Bangladesh,1977,Barley,23484,6278,14744
Bangladesh,1977,"Bastfibres, others",15176,10770,16344
Bangladesh,1977,"Beans, dry",175000,6571,115000
Bangladesh,1977,"Beans, green",6479,37899,24555
Bangladesh,1977,Berries nes,528,47386,2502
Bangladesh,1977,Cabbages and other brassicas,5739,75208,43162
Bangladesh,1977,Castor oil seed,372,5780,215
Bangladesh,1977,Cauliflowers and broccoli,5573,66765,37208
Bangladesh,1977,Chick peas,191000,6545,125000
Bangladesh,1977,"Chillies and peppers, dry",77069,5887,45367
Bangladesh,1977,Coconuts,26867,25495,68497
Bangladesh,1977,Cucumbers and gherkins,2351,52965,12452
Bangladesh,1977,Fibre crops nes,393,6158,242
Bangladesh,1977,"Fruit, fresh nes",10573,47478,50198
Bangladesh,1977,"Fruit, tropical fresh nes",19114,107947,206330
Bangladesh,1977,Garlic,12939,32094,41526
Bangladesh,1977,Ginger,5306,66327,35193
Bangladesh,1977,Grapefruit (inc. pomelos),933,38017,3547
Bangladesh,1977,"Groundnuts, with shell",23472,11798,27692
Bangladesh,1977,Jute,735000,13224,972000
Bangladesh,1977,Lemons and limes,1465,23543,3449
Bangladesh,1977,Lentils,291000,5911,172000
Bangladesh,1977,Lettuce and chicory,8219,45462,37365
Bangladesh,1977,Linseed,60000,4667,28000
Bangladesh,1977,Maize,2333,8405,1961
Bangladesh,1977,"Mangoes, mangosteens, guavas",43042,62344,268339
Bangladesh,1977,"Melons, other (inc.cantaloupes)",7764,135842,105468
Bangladesh,1977,Millet,64044,6908,44243
Bangladesh,1977,Oilseeds nes,1230,4764,586
Bangladesh,1977,"Onions, dry",31912,43353,138347
Bangladesh,1977,Oranges,2333,37261,8693
Bangladesh,1977,"Peas, dry",126000,6270,79000
Bangladesh,1977,Pigeon peas,10000,7200,7200
Bangladesh,1977,Pineapples,14594,98469,143706
Bangladesh,1977,Potatoes,77377,95033,735336
Bangladesh,1977,Pulses nes,200000,7500,150000
Bangladesh,1977,"Rice, paddy",10027652,19398,19451488
Bangladesh,1977,Sesame seed,54838,5463,29958
Bangladesh,1977,Sorghum,818,7200,589
Bangladesh,1977,Spices nes,23576,14181,33432
Bangladesh,1977,Spinach,2102,45366,9536
Bangladesh,1977,Sugar cane,144590,449810,6503802
Bangladesh,1977,Sugar crops nes,12849,364507,468355
Bangladesh,1977,Sweet potatoes,70590,107036,755565
Bangladesh,1977,"Tangerines, mandarins, clementines, satsumas",925,38443,3556
Bangladesh,1977,Tea,42998,8610,37022
Bangladesh,1977,Tobacco,68053,9336,63534
Bangladesh,1977,Tomatoes,7786,68583,53399
Bangladesh,1977,"Vegetables, fresh nes",63081,64991,409969
Bangladesh,1977,Wheat,160047,259456,16211
Bangladesh,1977,Roots and Tubers,147967,100759,1490901
Bangladesh,1977,Vegetables Primary,159159,56343,896754
Bangladesh,1978,Areca nuts,37118,6958,25828
Bangladesh,1978,Bananas,38211,156079,596393
Bangladesh,1978,Barley,21327,6318,13474
Bangladesh,1978,"Bastfibres, others",16062,11617,18659
Bangladesh,1978,"Beans, dry",194000,6392,124000
Bangladesh,1978,"Beans, green",6878,47877,32930
Bangladesh,1978,Berries nes,527,43472,2291
Bangladesh,1978,Cabbages and other brassicas,5743,79667,45753
Bangladesh,1978,Castor oil seed,372,5457,203
Bangladesh,1978,Cauliflowers and broccoli,5705,68906,39311
Bangladesh,1978,Chick peas,140000,7500,105000
Bangladesh,1978,"Chillies and peppers, dry",82547,6016,49664
Bangladesh,1978,Coconuts,27355,24446,66871
Bangladesh,1978,Cucumbers and gherkins,2329,52417,12208
Bangladesh,1978,Fibre crops nes,394,6041,238
Bangladesh,1978,"Fruit, fresh nes",10423,44505,46388
Bangladesh,1978,"Fruit, tropical fresh nes",19065,101478,193467
Bangladesh,1978,Garlic,12357,31900,39419
Bangladesh,1978,Ginger,5306,65665,34842
Bangladesh,1978,Grapefruit (inc. pomelos),991,38032,3769
Bangladesh,1978,"Groundnuts, with shell",24971,11222,28023
Bangladesh,1978,Jute,835000,14012,1170000
Bangladesh,1978,Lemons and limes,1451,22915,3325
Bangladesh,1978,Lentils,293000,5973,175000
Bangladesh,1978,Lettuce and chicory,8594,50389,43304
Bangladesh,1978,Linseed,65000,4769,31000
Bangladesh,1978,Maize,2215,7991,1770
Bangladesh,1978,"Mangoes, mangosteens, guavas",43292,58864,254836
Bangladesh,1978,"Melons, other (inc.cantaloupes)",8045,139321,112084
Bangladesh,1978,Millet,56253,6841,38483
Bangladesh,1978,Oilseeds nes,1170,4342,508
Bangladesh,1978,"Onions, dry",33036,44718,147732
Bangladesh,1978,Oranges,2392,35447,8479
Bangladesh,1978,"Peas, dry",100000,6600,66000
Bangladesh,1978,Pigeon peas,15000,7333,11000
Bangladesh,1978,Pineapples,14632,95426,139627
Bangladesh,1978,Potatoes,90031,101503,913846
Bangladesh,1978,Pulses nes,200000,7500,150000
Bangladesh,1978,"Rice, paddy",10101807,19385,19582160
Bangladesh,1978,Sesame seed,80000,6500,52000
Bangladesh,1978,Sorghum,715,7203,515
Bangladesh,1978,Spices nes,23570,14465,34095
Bangladesh,1978,Spinach,2078,46059,9571
Bangladesh,1978,Sugar cane,153811,440610,6777069
Bangladesh,1978,Sugar crops nes,13004,368321,478964
Bangladesh,1978,Sweet potatoes,71839,108970,782826
Bangladesh,1978,"Tangerines, mandarins, clementines, satsumas",765,31346,2398
Bangladesh,1978,Tea,43183,8870,38305
Bangladesh,1978,Tobacco,55517,8983,49873
Bangladesh,1978,Tomatoes,8227,74225,61065
Bangladesh,1978,"Vegetables, fresh nes",65179,64892,422961
Bangladesh,1978,Wheat,188938,347997,18419
Bangladesh,1978,Roots and Tubers,161870,104817,1696672
Bangladesh,1978,Vegetables Primary,163677,58026,949758
Bangladesh,1979,Areca nuts,36661,7217,26458
Bangladesh,1979,Bananas,39044,157871,616393
Bangladesh,1979,Barley,19952,6311,12592
Bangladesh,1979,"Bastfibres, others",13740,11261,15473
Bangladesh,1979,"Beans, dry",178000,6404,114000
Bangladesh,1979,"Beans, green",6866,47553,32650
Bangladesh,1979,Berries nes,617,42609,2629
Bangladesh,1979,Cabbages and other brassicas,6192,77204,47805
Bangladesh,1979,Castor oil seed,350,5657,198
Bangladesh,1979,Cauliflowers and broccoli,5939,70657,41963
Bangladesh,1979,Chick peas,127000,7480,95000
Bangladesh,1979,"Chillies and peppers, dry",83467,6293,52523
Bangladesh,1979,Coconuts,28395,25300,71839
Bangladesh,1979,Cucumbers and gherkins,2378,52040,12375
Bangladesh,1979,Fibre crops nes,415,6265,260
Bangladesh,1979,"Fruit, fresh nes",10720,42394,45446
Bangladesh,1979,"Fruit, tropical fresh nes",19708,100661,198383
Bangladesh,1979,Garlic,12505,32261,40343
Bangladesh,1979,Ginger,5625,65940,37091
Bangladesh,1979,Grapefruit (inc. pomelos),1038,39297,4079
Bangladesh,1979,"Groundnuts, with shell",24000,11250,27000
Bangladesh,1979,Jute,760000,14211,1080000
Bangladesh,1979,Lemons and limes,1518,23254,3530
Bangladesh,1979,Lentils,295000,5966,176000
Bangladesh,1979,Lettuce and chicory,8721,51170,44625
Bangladesh,1979,Linseed,70000,4714,33000
Bangladesh,1979,Maize,2004,7265,1456
Bangladesh,1979,"Mangoes, mangosteens, guavas",43213,49545,214100
Bangladesh,1979,"Melons, other (inc.cantaloupes)",8118,136847,111092
Bangladesh,1979,Millet,59959,6678,40040
Bangladesh,1979,Oilseeds nes,988,4575,452
Bangladesh,1979,"Onions, dry",31535,42977,135527
Bangladesh,1979,Oranges,2432,35387,8606
Bangladesh,1979,"Peas, dry",68000,6471,44000
Bangladesh,1979,Pigeon peas,9600,7813,7500
Bangladesh,1979,Pineapples,14779,96170,142129
Bangladesh,1979,Potatoes,96676,94058,909319
Bangladesh,1979,Pulses nes,200000,7500,150000
Bangladesh,1979,"Rice, paddy",10159848,18809,19109472
Bangladesh,1979,Sesame seed,95000,5263,50000
Bangladesh,1979,Sorghum,1300,7692,1000
Bangladesh,1979,Spices nes,22888,14546,33294
Bangladesh,1979,Spinach,2245,45661,10251
Bangladesh,1979,Sugar cane,154901,447866,6937494
Bangladesh,1979,Sugar crops nes,12964,361925,469200
Bangladesh,1979,Sweet potatoes,72901,109045,794952
Bangladesh,1979,"Tangerines, mandarins, clementines, satsumas",782,30972,2422
