Area,Year,Item,Area Harvested,Yield,Production
Bangladesh,1962,Castor oil seed,405,5012,203
Bangladesh,1962,Cauliflowers and broccoli,5438,49437,26884
Bangladesh,1962,Chick peas,55847,6185,34544
Bangladesh,1962,"Chillies and peppers, dry",73200,6653,48700
Bangladesh,1962,Coconuts,19400,26187,50803
Bangladesh,1962,Cucumbers and gherkins,2545,42703,10868
Bangladesh,1962,Fibre crops nes,1650,9091,1500
Bangladesh,1962,"Fruit, fresh nes",9000,66667,60000
Bangladesh,1962,"Fruit, tropical fresh nes",13000,97692,127000
Bangladesh,1962,Garlic,10900,32294,35200
Bangladesh,1962,Ginger,3600,66667,24000
Bangladesh,1962,Grapefruit (inc. pomelos),600,41667,2500
Bangladesh,1962,"Groundnuts, with shell",8094,15063,12192
Bangladesh,1962,Jute,688000,16064,1105200
Bangladesh,1962,Lemons and limes,800,25000,2000
Bangladesh,1962,Lentils,72035,6770,48768
Bangladesh,1962,Lettuce and chicory,9500,56842,54000
Bangladesh,1962,Linseed,23067,4845,11176
Bangladesh,1962,Maize,5261,7725,4064
Bangladesh,1962,"Mangoes, mangosteens, guavas",41000,129512,531000
Bangladesh,1962,"Melons, other (inc.cantaloupes)",6000,166667,100000
Bangladesh,1962,Millet,51800,7066,36600
Bangladesh,1962,Oilseeds nes,5261,3862,2032
Bangladesh,1962,"Onions, dry",25500,55020,140300
Bangladesh,1962,Oranges,3500,48571,17000
Bangladesh,1962,"Peas, dry",40000,6500,26000
Bangladesh,1962,Pigeon peas,3642,8369,3048
Bangladesh,1962,Pineapples,6100,59962,36577
Bangladesh,1962,Potatoes,57871,62676,362712
Bangladesh,1962,Pulses nes,128287,6969,89408
Bangladesh,1962,"Rice, paddy",9007995,17690,15934944
Bangladesh,1962,Sesame seed,52205,4865,25400
Bangladesh,1962,Sorghum,809,12559,1016
Bangladesh,1962,Spices nes,29500,27559,81300
Bangladesh,1962,Spinach,1400,45714,6400
Bangladesh,1962,Sugar cane,128691,374928,4824984
Bangladesh,1962,Sugar crops nes,9700,371134,360000
Bangladesh,1962,Sweet potatoes,41000,90244,370000
Bangladesh,1962,"Tangerines, mandarins, clementines, satsumas",700,71429,5000
Bangladesh,1962,Tea,36000,6833,24599
Bangladesh,1962,Tobacco,41300,7046,29100
Bangladesh,1962,Tomatoes,8099,59326,48048
Bangladesh,1962,"Vegetables, fresh nes",74395,47824,355784
Bangladesh,1962,Wheat,73654,44704,6069
Bangladesh,1962,Roots and Tubers,98871,74108,732712
Bangladesh,1962,Vegetables Primary,163000,49564,807900
Bangladesh,1964,Areca nuts,79700,7139,56898
Bangladesh,1964,Bananas,36000,158639,571100
Bangladesh,1964,Barley,23877,5532,13208
Bangladesh,1964,"Bastfibres, others",37700,11910,44900
Bangladesh,1964,"Beans, dry",66773,7304,48768
Bangladesh,1964,"Beans, green",4329,37958,16432
Bangladesh,1964,Berries nes,600,50000,3000
Bangladesh,1964,Cabbages and other brassicas,5850,59299,34690
Bangladesh,1964,Castor oil seed,405,5012,203
Bangladesh,1964,Cauliflowers and broccoli,5499,52017,28604
Bangladesh,1964,Chick peas,51800,6473,33528
Bangladesh,1964,"Chillies and peppers, dry",78500,6777,53200
Bangladesh,1964,Coconuts,19000,33155,62995
Bangladesh,1964,Cucumbers and gherkins,2574,44922,11563
Bangladesh,1964,Fibre crops nes,1300,9231,1200
Bangladesh,1964,"Fruit, fresh nes",9000,66667,60000
Bangladesh,1964,"Fruit, tropical fresh nes",14000,92143,129000
Bangladesh,1964,Garlic,10500,32381,34000
Bangladesh,1964,Ginger,3900,66667,26000
Bangladesh,1964,Grapefruit (inc. pomelos),600,41667,2500
Bangladesh,1964,"Groundnuts, with shell",9308,13098,12192
Bangladesh,1964,Jute,671800,14645,983880
Bangladesh,1964,Lemons and limes,1200,25000,3000
Bangladesh,1964,Lentils,67583,7066,47752
Bangladesh,1964,Lettuce and chicory,10000,57000,57000
Bangladesh,1964,Linseed,20639,4430,9144
Bangladesh,1964,Maize,4047,7532,3048
Bangladesh,1964,"Mangoes, mangosteens, guavas",42000,127619,536000
Bangladesh,1964,"Melons, other (inc.cantaloupes)",6000,166667,100000
Bangladesh,1964,Millet,48900,7485,36600
Bangladesh,1964,Oilseeds nes,4856,4185,2032
Bangladesh,1964,"Onions, dry",25500,51804,132100
Bangladesh,1964,Oranges,3900,51282,20000
Bangladesh,1964,"Peas, dry",50000,6600,33000
Bangladesh,1964,Pigeon peas,3642,8369,3048
Bangladesh,1964,Pineapples,7300,61252,44714
Bangladesh,1964,Potatoes,55442,58458,324104
Bangladesh,1964,Pulses nes,140833,7647,107696
Bangladesh,1964,"Rice, paddy",9228955,17070,15753588
Bangladesh,1964,Sesame seed,50991,4384,22352
Bangladesh,1964,Sorghum,809,12559,1016
Bangladesh,1964,Spices nes,29900,25819,77200
Bangladesh,1964,Spinach,1400,46429,6500
Bangladesh,1964,Sugar cane,140023,389137,5448808
Bangladesh,1964,Sugar crops nes,10000,370000,370000
Bangladesh,1964,Sweet potatoes,44000,90909,400000
Bangladesh,1964,"Tangerines, mandarins, clementines, satsumas",800,75000,6000
Bangladesh,1964,Tea,37000,7631,28233
Bangladesh,1964,Tobacco,40900,6895,28200
Bangladesh,1964,Tomatoes,8190,62421,51123
Bangladesh,1964,"Vegetables, fresh nes",75231,50318,378549
Bangladesh,1964,Wheat,57466,34544,6011
Bangladesh,1964,Roots and Tubers,99442,72817,724104
Bangladesh,1964,Vegetables Primary,164400,50985,838200
Bangladesh,1965,Areca nuts,71200,6564,46738
Bangladesh,1965,Bananas,40500,153037,619800
Bangladesh,1965,Barley,20639,5907,12192
Bangladesh,1965,"Bastfibres, others",50700,10757,54540
Bangladesh,1965,"Beans, dry",67583,7216,48768
Bangladesh,1965,"Beans, green",4251,41755,17750
Bangladesh,1965,Berries nes,600,50000,3000
Bangladesh,1965,Cabbages and other brassicas,5745,65225,37472
Bangladesh,1965,Castor oil seed,405,5012,203
Bangladesh,1965,Cauliflowers and broccoli,5400,57219,30898
Bangladesh,1965,Chick peas,51396,7314,37592
Bangladesh,1965,"Chillies and peppers, dry",78500,6586,51700
Bangladesh,1965,Coconuts,21000,40642,85348
Bangladesh,1965,Cucumbers and gherkins,2528,49407,12490
Bangladesh,1965,Fibre crops nes,1100,9091,1000
Bangladesh,1965,"Fruit, fresh nes",9000,66667,60000
Bangladesh,1965,"Fruit, tropical fresh nes",17000,91765,156000
Bangladesh,1965,Garlic,10500,34762,36500
Bangladesh,1965,Ginger,4200,66667,28000
Bangladesh,1965,Grapefruit (inc. pomelos),600,41667,2500
Bangladesh,1965,"Groundnuts, with shell",10117,14060,14224
Bangladesh,1965,Jute,886000,14890,1319220
Bangladesh,1965,Lemons and limes,800,25000,2000
Bangladesh,1965,Lentils,66369,6736,44704
Bangladesh,1965,Lettuce and chicory,10500,57143,60000
Bangladesh,1965,Linseed,21448,4263,9144
Bangladesh,1965,Maize,4047,7532,3048
Bangladesh,1965,"Mangoes, mangosteens, guavas",38000,126316,480000
Bangladesh,1965,"Melons, other (inc.cantaloupes)",6000,166667,100000
Bangladesh,1965,Millet,53000,9585,50800
Bangladesh,1965,Oilseeds nes,4856,4185,2032
Bangladesh,1965,"Onions, dry",27500,52800,145200
Bangladesh,1965,Oranges,3900,51282,20000
Bangladesh,1965,"Peas, dry",50000,6600,33000
Bangladesh,1965,Pigeon peas,3642,8369,3048
Bangladesh,1965,Pineapples,7700,58652,45162
Bangladesh,1965,Potatoes,55442,72386,401320
Bangladesh,1965,Pulses nes,142046,7439,105664
Bangladesh,1965,"Rice, paddy",9360480,16827,15750540
Bangladesh,1965,Sesame seed,50182,4859,24384
Bangladesh,1965,Sorghum,809,12559,1016
Bangladesh,1965,Spices nes,12900,32326,41700
Bangladesh,1965,Spinach,1450,45517,6600
Bangladesh,1965,Sugar cane,144070,439418,6330696
Bangladesh,1965,Sugar crops nes,10500,371429,390000
Bangladesh,1965,Sweet potatoes,46000,95652,440000
Bangladesh,1965,"Tangerines, mandarins, clementines, satsumas",700,71429,5000
Bangladesh,1965,Tea,38000,6998,26592
Bangladesh,1965,Tobacco,41700,6523,27200
Bangladesh,1965,Tomatoes,8043,68657,55221
Bangladesh,1965,"Vegetables, fresh nes",73881,55346,408903
Bangladesh,1965,Wheat,53419,34544,6467
Bangladesh,1965,Roots and Tubers,101442,82936,841320
Bangladesh,1965,Vegetables Primary,164850,54941,905700
Bangladesh,1966,Areca nuts,44900,5431,24385
Bangladesh,1966,Bananas,42100,180523,760000
Bangladesh,1966,Barley,21900,5571,12200
Bangladesh,1966,"Bastfibres, others",23500,11123,26140
Bangladesh,1966,"Beans, dry",78915,7725,60960
Bangladesh,1966,"Beans, green",4222,43212,18244
Bangladesh,1966,Berries nes,800,46250,3700
Bangladesh,1966,Cabbages and other brassicas,5705,67511,38515
Bangladesh,1966,Castor oil seed,405,5012,203
Bangladesh,1966,Cauliflowers and broccoli,5363,59217,31758
Bangladesh,1966,Chick peas,54600,8004,43700
Bangladesh,1966,"Chillies and peppers, dry",77700,6795,52800
Bangladesh,1966,Coconuts,36800,25125,92461
Bangladesh,1966,Cucumbers and gherkins,2510,51147,12838
Bangladesh,1966,Fibre crops nes,900,9444,850
Bangladesh,1966,"Fruit, fresh nes",9000,66667,60000
Bangladesh,1966,"Fruit, tropical fresh nes",15800,90696,143300
Bangladesh,1966,Garlic,13800,36812,50800
Bangladesh,1966,Ginger,4400,68182,30000
Bangladesh,1966,Grapefruit (inc. pomelos),700,42857,3000
Bangladesh,1966,"Groundnuts, with shell",16600,14699,24400
Bangladesh,1966,Jute,876200,14331,1255680
Bangladesh,1966,Lemons and limes,1500,26667,4000
Bangladesh,1966,Lentils,68000,6868,46700
Bangladesh,1966,Lettuce and chicory,11000,57273,63000
Bangladesh,1966,Linseed,21900,4155,9100
Bangladesh,1966,Maize,3600,8333,3000
Bangladesh,1966,"Mangoes, mangosteens, guavas",38000,130263,495000
Bangladesh,1966,"Melons, other (inc.cantaloupes)",6000,166667,100000
Bangladesh,1966,Millet,52200,9538,49786
Bangladesh,1966,Oilseeds nes,4856,4185,2032
Bangladesh,1966,"Onions, dry",28300,53145,150400
Bangladesh,1966,Oranges,1100,81818,9000
Bangladesh,1966,"Peas, dry",55000,6545,36000
Bangladesh,1966,Pigeon peas,3642,8369,3048
Bangladesh,1966,Pineapples,8100,70247,56900
Bangladesh,1966,Potatoes,60700,81351,493800
Bangladesh,1966,Pulses nes,150100,6769,101600
Bangladesh,1966,"Rice, paddy",9075000,15827,14363000
Bangladesh,1966,Sesame seed,50200,5458,27400
Bangladesh,1966,Sorghum,809,8789,711
Bangladesh,1966,Spices nes,13400,29552,39600
Bangladesh,1966,Spinach,1450,46207,6700
Bangladesh,1966,Sugar cane,153400,500078,7671200
Bangladesh,1966,Sugar crops nes,11300,371681,420000
Bangladesh,1966,Sweet potatoes,44100,102948,454000
Bangladesh,1966,"Tangerines, mandarins, clementines, satsumas",700,57143,4000
Bangladesh,1966,Tea,39765,7192,28600
Bangladesh,1966,Tobacco,44100,6190,27300
Bangladesh,1966,Tomatoes,7987,71064,56759
Bangladesh,1966,"Vegetables, fresh nes",71000,70423,500000
Bangladesh,1966,Wheat,55000,35600,6473
Bangladesh,1966,Roots and Tubers,104800,90439,947800
Bangladesh,1966,Vegetables Primary,166284,61721,1026315
Bangladesh,1967,Areca nuts,38900,6922,26925
Bangladesh,1967,Bananas,43700,169725,741700
